Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.211-54.225.192.200-49801-443-6,54.225.192.200,443,10.42.0.211,49801,6,20/06/2017 02:53:29,5007831,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.190304744708836,0.5990617494879519,2503915.5,3455047.4765641787,4947003.0,60828.0,5007831.0,5007831.0,0.0,5007831.0,5007831.0,0,0,0,0,0,1,0,0,0,64,32,0.39937449965863464,0.19968724982931732,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,136,1686,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.72.243.207-54487-443-6,52.72.243.207,443,10.42.0.211,54487,6,20/06/2017 02:53:29,5001956,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.197575508461091,0.5997653717865571,2500978.0,3524644.461502465,4993278.0,8678.0,5001956.0,5001956.0,0.0,5001956.0,5001956.0,0,0,0,0,0,1,0,0,0,64,32,0.3998435811910381,0.19992179059551904,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,123,1595,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.100-10.42.0.211-443-33109-6,10.42.0.211,33109,172.217.2.100,443,6,20/06/2017 02:53:34,22407,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.2578212165841,22407.0,0.0,22407.0,22407.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.62891060829205,44.62891060829205,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1637,349,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.106-10.42.0.211-443-38550-6,10.42.0.211,38550,172.217.2.106,443,6,20/06/2017 02:53:34,22609,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.46034764916625,22609.0,0.0,22609.0,22609.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.230173824583126,44.230173824583126,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,357,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.65-10.42.0.211-443-46968-6,10.42.0.211,46968,172.217.10.65,443,6,20/06/2017 02:53:34,36636,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.59111256687411,36636.0,0.0,36636.0,36636.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.295556283437055,27.295556283437055,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,350,0,32,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.211-80-46422-6,10.42.0.211,46422,198.105.244.11,80,6,20/06/2017 02:53:35,67658,3,4,263.0,223.0,263.0,0.0,87.66666666666667,151.84312079687157,223.0,0.0,55.75,111.5,7183.186023825712,103.46152709213989,11276.333333333332,16320.690067110114,32450.0,26.0,35266.0,17633.0,23970.91988222396,34583.0,683.0,35208.0,11736.0,20159.464377805278,35014.0,26.0,0,0,0,0,80,84,44.34065446805995,59.12087262407994,0.0,263.0,60.75,112.99399478354086,12767.642857142857,0,0,0,1,0,0,0,0,1.0,69.42857142857143,87.66666666666667,55.75,80,0,0,0,0,0,0,3,263,4,223,65535,15544,1,20,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.211-80-46422-6,10.42.0.211,46422,198.105.244.11,80,6,20/06/2017 02:53:35,184,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,10869.565217391304,184.0,0.0,184.0,184.0,184.0,184.0,0.0,184.0,184.0,0,0,0,0,0,0,0,0,0,40,0,10869.565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.225.192.200-49801-443-6,10.42.0.211,49801,54.225.192.200,443,6,20/06/2017 02:53:34,3748265,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,8.270493148163217,0.8003703046609565,1874132.5,2650153.4843937815,3748074.0,191.0,3748265.0,1874132.5,2650153.4843937815,3748074.0,191.0,0,0,0,0,0,0,0,0,0,96,0,0.8003703046609565,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,96,0,0,0,0,0,0,3,31,0,0,1686,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-74.6.105.9-59211-443-6,10.42.0.211,59211,74.6.105.9,443,6,20/06/2017 02:53:43,383111,8,9,1774.0,5603.0,1131.0,0.0,221.75,408.6461095583107,1448.0,0.0,622.5555555555555,668.7217491436761,19255.51602538168,44.37356275335347,23944.437500000004,58138.12170680984,237909.0,1.0,356885.0,50983.571428571435,83446.04575983442,237909.0,1354.0,358135.0,44766.875,92128.74974022186,267945.0,1.0,0,0,0,0,264,296,20.8816765898134,23.491886163540073,0.0,1448.0,409.8333333333333,574.1835379859976,329686.7352941176,0,0,0,1,0,0,0,0,1.0,433.94117647058823,221.75,622.5555555555555,264,0,0,0,0,0,0,8,1774,9,5603,65535,140,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-74.6.105.9-59211-443-6,10.42.0.211,59211,74.6.105.9,443,6,20/06/2017 02:53:44,300,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,103333.33333333334,6666.666666666667,300.0,0.0,300.0,300.0,300.0,300.0,0.0,300.0,300.0,0,0,0,0,0,1,0,0,0,64,0,6666.666666666667,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1641,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
