Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.0.234-10.42.0.211-443-34016-6,10.42.0.211,34016,172.217.0.234,443,6,20/06/2017 08:38:06,22542,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.72327211427557,22542.0,0.0,22542.0,22542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.36163605713779,44.36163605713779,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4350,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.0.228-10.42.0.211-443-43351-6,10.42.0.211,43351,172.217.0.228,443,6,20/06/2017 08:38:20,22443,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.11464599206879,22443.0,0.0,22443.0,22443.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.557322996034394,44.557322996034394,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1593,349,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.161-10.42.0.211-443-39949-6,10.42.0.211,39949,172.217.1.161,443,6,20/06/2017 08:38:20,22572,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.6053517632465,22572.0,0.0,22572.0,22572.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.30267588162325,44.30267588162325,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.0.234-10.42.0.211-443-37887-6,10.42.0.211,37887,172.217.0.234,443,6,20/06/2017 08:38:20,22404,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.26977325477593,22404.0,0.0,22404.0,22404.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.634886627387964,44.634886627387964,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,357,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.204.29.149-57737-443-6,54.204.29.149,443,10.42.0.211,57737,6,20/06/2017 08:38:18,5017788,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.178021072233422,0.5978730069903312,2508894.0,3545142.0728755007,5015688.0,2100.0,5017788.0,5017788.0,0.0,5017788.0,5017788.0,0,0,0,0,0,1,0,0,0,64,32,0.39858200466022076,0.19929100233011038,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,136,1686,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.204.29.149-57737-443-6,10.42.0.211,57737,54.204.29.149,443,6,20/06/2017 08:38:23,815833,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,37.99797262429934,3.6772231571902583,407916.5,576709.9267747175,815712.0,121.0,815833.0,407916.5,576709.9267747175,815712.0,121.0,0,0,0,0,0,0,0,0,0,96,0,3.6772231571902583,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,96,0,0,0,0,0,0,3,31,0,0,1686,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-74.6.105.9-45364-80-6,10.42.0.211,45364,74.6.105.9,80,6,20/06/2017 08:38:29,54757,4,5,477.0,149.0,344.0,0.0,119.25,162.42203257768531,149.0,0.0,29.8,66.63482572949373,11432.328286794382,164.36254725423234,6844.625,11266.365441785436,25348.0,28.0,28286.0,9428.666666666668,15669.399871511778,27519.0,92.0,29409.0,7352.250000000001,13584.052227397635,27710.0,28.0,0,0,0,0,136,168,73.05002100188103,91.3125262523513,0.0,344.0,62.6,115.00647324776502,13226.488888888889,0,0,0,1,0,0,0,0,1.0,69.55555555555556,119.25,29.8,136,0,0,0,0,0,0,4,477,5,149,65535,130,2,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-74.6.105.9-45364-80-6,10.42.0.211,45364,74.6.105.9,80,6,20/06/2017 08:38:29,289,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,6920.415224913495,289.0,0.0,289.0,289.0,289.0,289.0,0.0,289.0,289.0,0,0,0,0,0,0,0,0,0,64,0,6920.415224913495,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.110-10.42.0.211-443-35244-6,10.42.0.211,35244,172.217.2.110,443,6,20/06/2017 08:38:33,22318,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1030.5582937539205,89.61376467425396,22318.0,0.0,22318.0,22318.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,44.80688233712698,44.80688233712698,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1453,486,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.0.234-10.42.0.211-443-59303-6,10.42.0.211,59303,172.217.0.234,443,6,20/06/2017 08:38:34,22455,1,1,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,1380.5388554887554,89.06702293475841,22455.0,0.0,22455.0,22455.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,44.533511467379206,44.533511467379206,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,1.0,31.0,31.0,0.0,32,0,0,0,0,0,0,1,31,1,0,1548,391,0,32,0,0,0,0,0,0,0,0,BENIGN
