Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.2.106-10.42.0.42-443-36216-6,10.42.0.42,36216,172.217.2.106,443,6,20/06/2017 12:13:23,22421,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,1382.6323535970741,133.80313099326526,11210.5,15815.857374799509,22394.0,27.0,0,0,0,0,0,27.0,27.0,0.0,27.0,27.0,1,0,0,0,32,64,44.601043664421745,89.20208732884349,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,2199,426,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.174-10.42.0.42-443-50343-6,10.42.0.42,50343,172.217.1.174,443,6,20/06/2017 12:13:38,22395,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1027.0149586961375,133.95847287340922,11197.5,15803.12945273815,22372.0,23.0,0,0,0,0,0,23.0,23.0,0.0,23.0,23.0,1,0,0,0,32,64,44.65282429113641,89.30564858227282,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1436,362,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-119.146.74.34-55331-80-6,10.42.0.42,55331,119.146.74.34,80,6,20/06/2017 12:13:41,733207,12,29,381.0,32782.0,381.0,0.0,31.750000000000004,109.9852262806237,1340.0,0.0,1130.413793103448,472.17108863823165,45230.06463386192,55.91872418021104,18330.174999999992,58064.69935047367,241702.0,3.0,496044.0,45094.90909090909,83097.54765148554,244007.0,31.0,491505.0,17553.750000000004,55126.314704823,243101.0,3.0,0,0,0,0,272,604,16.366455857622743,39.5522683225883,0.0,1340.0,789.5952380952383,648.8171999886882,420963.75900116144,0,0,0,1,0,0,0,0,2.0,808.8536585365854,31.75,1130.4137931034484,272,0,0,0,0,0,0,12,381,29,32782,65535,4380,1,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-119.146.74.34-55331-80-6,10.42.0.42,55331,119.146.74.34,80,6,20/06/2017 12:13:42,6577,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,304.0900106431504,6577.0,0.0,6577.0,6577.0,6577.0,6577.0,0.0,6577.0,6577.0,0,0,0,0,0,0,0,0,0,40,0,304.0900106431504,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,2487,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-119.146.74.34-55332-80-6,10.42.0.42,55332,119.146.74.34,80,6,20/06/2017 12:13:41,3905774,4,5,976.0,1182.0,976.0,0.0,244.0,488.0,1182.0,0.0,236.4,528.6064698809503,552.5153273077244,2.30428079044,488221.75,1119391.236898208,3245271.0,25.0,3662710.0,1220903.3333333335,1753509.7491306781,3245271.0,173391.0,3663876.0,915968.9999999999,1717645.4110904264,3489541.0,25.0,0,0,0,0,112,124,1.024124795751111,1.2801559946888887,0.0,1182.0,215.79999999999998,457.53003544394033,209333.7333333333,0,0,0,1,0,0,0,0,1.0,239.77777777777777,244.0,236.4,112,0,0,0,0,0,0,4,976,5,1182,65535,4502,1,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-119.146.74.34-55332-80-6,10.42.0.42,55332,119.146.74.34,80,6,20/06/2017 12:13:45,1467,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1363.3265167007498,1467.0,0.0,1467.0,1467.0,1467.0,1467.0,0.0,1467.0,1467.0,0,0,0,0,0,0,0,0,0,40,0,1363.3265167007498,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1415,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
175.100.207.232-10.42.0.42-80-53793-6,10.42.0.42,53793,175.100.207.232,80,6,20/06/2017 12:13:40,5515058,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7252870232733727,1838352.6666666667,2962958.799985976,5256537.0,2230.0,258521.0,258521.0,0.0,258521.0,258521.0,5258767.0,5258767.0,0.0,5258767.0,5258767.0,0,0,0,0,60,52,0.36264351163668634,0.36264351163668634,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,60,0,0,0,0,0,0,2,0,2,0,65535,29,0,20,0,0,0,0,0,0,0,0,BENIGN
175.100.207.232-10.42.0.42-80-53793-6,10.42.0.42,53793,175.100.207.232,80,6,20/06/2017 12:13:45,122394,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,16.34067029429547,122394.0,0.0,122394.0,122394.0,122394.0,122394.0,0.0,122394.0,122394.0,0,0,0,0,0,0,0,0,0,40,0,16.34067029429547,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1369,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
175.100.207.232-10.42.0.42-80-53794-6,10.42.0.42,53794,175.100.207.232,80,6,20/06/2017 12:13:40,5497867,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7275548862858996,1832622.3333333333,2959594.654003371,5247177.0,3637.0,250690.0,250690.0,0.0,250690.0,250690.0,5250814.0,5250814.0,0.0,5250814.0,5250814.0,0,0,0,0,60,52,0.3637774431429498,0.3637774431429498,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,60,0,0,0,0,0,0,2,0,2,0,65535,29,0,20,0,0,0,0,0,0,0,0,BENIGN
175.100.207.232-10.42.0.42-80-53792-6,10.42.0.42,53792,175.100.207.232,80,6,20/06/2017 12:13:40,5749288,9,17,430.0,19000.0,430.0,0.0,47.77777777777778,143.33333333333334,1460.0,0.0,1117.6470588235293,636.0536476171321,3379.5489110999483,4.522299109037502,229971.52000000002,959724.1752718642,4822305.0,5.0,926983.0,115872.875,151950.8401184292,414034.0,276.0,5499659.0,343728.6875,1198702.3550282875,4829026.0,5.0,0,0,0,0,200,352,1.565411230051443,2.9568878789860586,0.0,1460.0,719.6296296296296,731.4584560550743,535031.4729344731,0,0,0,1,0,0,0,0,1.0,747.3076923076923,47.77777777777778,1117.6470588235295,200,0,0,0,0,0,0,9,430,17,19000,65535,30,1,20,0,0,0,0,0,0,0,0,BENIGN
