Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.202-10.42.0.42-443-46816-6,10.42.0.42,46816,172.217.12.202,443,6,20/06/2017 04:56:06,36843,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.28439595038406,36843.0,0.0,36843.0,36843.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.14219797519203,27.14219797519203,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.202-10.42.0.42-443-47995-6,10.42.0.42,47995,172.217.12.202,443,6,20/06/2017 04:56:07,36538,1,1,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,848.4317696644589,54.737533526739284,36538.0,0.0,36538.0,36538.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.368766763369642,27.368766763369642,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,1.0,31.0,31.0,0.0,32,0,0,0,0,0,0,1,31,1,0,2317,426,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.106-10.42.0.42-443-50558-6,10.42.0.42,50558,172.217.2.106,443,6,20/06/2017 04:56:08,1150,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,26956.521739130436,1739.1304347826087,1150.0,0.0,1150.0,1150.0,1150.0,1150.0,0.0,1150.0,1150.0,0,0,0,0,0,1,0,0,0,64,0,1739.1304347826087,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1706,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.78-10.42.0.42-443-41254-6,10.42.0.42,41254,172.217.10.78,443,6,20/06/2017 04:56:10,327,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,70336.39143730888,6116.207951070337,327.0,0.0,327.0,327.0,327.0,327.0,0.0,327.0,327.0,0,0,0,0,0,1,0,0,0,64,0,6116.207951070337,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1770,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.46-10.42.0.42-443-39987-6,10.42.0.42,39987,172.217.11.46,443,6,20/06/2017 04:56:10,326,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,95092.0245398773,6134.9693251533745,326.0,0.0,326.0,326.0,326.0,326.0,0.0,326.0,326.0,0,0,0,0,0,1,0,0,0,64,0,6134.9693251533745,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1638,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.202-10.42.0.42-443-40673-6,10.42.0.42,40673,172.217.12.202,443,6,20/06/2017 04:56:14,36659,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.55686188930413,36659.0,0.0,36659.0,36659.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.278430944652065,27.278430944652065,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
157.56.52.23-10.42.0.42-40033-33097-6,10.42.0.42,33097,157.56.52.23,40033,6,20/06/2017 04:56:06,8751140,4,3,14.0,22.0,14.0,0.0,3.4999999999999996,7.0,19.0,0.0,7.333333333333333,10.214368964029708,4.1137497514609525,0.7998957850062963,1458523.3333333335,3251863.7111842595,8087902.0,2351.0,8751140.0,2917046.6666666665,4484540.040662513,8087902.0,91222.0,534775.0,267387.5,255383.63484080182,447971.0,86804.0,1,0,0,0,128,96,0.45708330571788364,0.34281247928841274,0.0,19.0,6.25,8.013381665332416,64.21428571428571,0,1,0,0,1,0,0,0,0.0,7.142857142857143,3.5,7.333333333333333,128,0,0,0,0,0,0,4,14,3,22,1419,33,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-40.117.145.132-58096-443-6,10.42.0.42,58096,40.117.145.132,443,6,20/06/2017 04:56:03,11974739,12,8,2652.0,4058.0,1428.0,0.0,220.99999999999997,413.35017072255295,1448.0,0.0,507.25000000000006,623.278142450979,560.3462422020222,1.670182540095446,630249.4210526315,2576967.4504891364,1.1270065E7,4.0,1.1974739E7,1088612.6363636362,3377891.824038398,1.1270065E7,539.0,607325.0,86760.71428571429,73591.66877601089,203213.0,4.0,0,0,0,0,392,264,1.0021095240572675,0.6680730160381784,0.0,1448.0,319.52380952380946,504.93956262582736,254963.96190476185,0,0,0,1,0,0,0,0,0.0,335.5,221.0,507.25,392,0,0,0,0,0,0,12,2652,8,4058,65535,513,5,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-13.107.3.128-53670-443-6,10.42.0.42,53670,13.107.3.128,443,6,20/06/2017 04:56:15,35932,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.49103862852054,17966.0,24785.506894150865,35492.0,440.0,0,0,0,0,0,440.0,440.0,0.0,440.0,440.0,0,0,0,0,32,64,27.830346209506846,55.66069241901369,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1595,1029,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-13.107.3.128-53672-443-6,10.42.0.42,53672,13.107.3.128,443,6,20/06/2017 04:56:15,36515,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.15801725318363,18257.5,25793.134057341693,36496.0,19.0,0,0,0,0,0,19.0,19.0,0.0,19.0,19.0,0,0,0,0,32,64,27.38600575106121,54.77201150212242,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,2093,1024,0,32,0,0,0,0,0,0,0,0,BENIGN
