Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.170-10.42.0.42-443-46554-6,10.42.0.42,46554,172.217.12.170,443,6,20/06/2017 05:42:14,37093,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.91852910252608,37093.0,0.0,37093.0,37093.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.95926455126304,26.95926455126304,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2090,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.42-443-53596-6,10.42.0.42,53596,172.217.12.170,443,6,20/06/2017 05:42:29,37058,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,836.5265259862917,80.95417993415727,18529.0,26145.98034115378,37017.0,41.0,0,0,0,0,0,41.0,41.0,0.0,41.0,41.0,1,0,0,0,32,64,26.98472664471909,53.96945328943818,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,2334,511,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.37-36984-443-6,31.13.71.37,443,10.42.0.42,36984,6,20/06/2017 05:42:33,29,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1448275.8620689656,68965.5172413793,29.0,0.0,29.0,29.0,29.0,29.0,0.0,29.0,29.0,0,0,0,0,0,1,0,0,0,64,0,68965.5172413793,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,132,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.37-36984-443-6,10.42.0.42,36984,31.13.71.37,443,6,20/06/2017 05:42:33,459,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,91503.26797385621,6535.9477124183,229.5,218.4959953866432,384.0,75.0,459.0,229.5,218.4959953866432,384.0,75.0,0,0,0,0,0,0,0,0,0,96,0,6535.9477124183,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1436,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.78-10.42.0.42-443-41359-6,10.42.0.42,41359,172.217.10.78,443,6,20/06/2017 05:42:33,57,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,543859.649122807,35087.71929824561,57.0,0.0,57.0,57.0,57.0,57.0,0.0,57.0,57.0,0,0,0,0,0,1,0,0,0,64,0,35087.71929824561,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1419,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.78-10.42.0.42-443-41359-6,172.217.10.78,443,10.42.0.42,41359,6,20/06/2017 05:42:33,192,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,10416.666666666666,192.0,0.0,192.0,192.0,192.0,192.0,0.0,192.0,192.0,0,0,0,0,0,0,0,0,0,64,0,10416.666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,350,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.69.228-38131-443-6,31.13.69.228,443,10.42.0.42,38131,6,20/06/2017 05:42:36,34,3,0,61.0,0.0,38.0,0.0,20.333333333333336,19.139836293274122,0,0,0,0,1794117.6470588236,88235.29411764706,17.0,11.313708498984761,25.0,9.0,34.0,17.0,11.313708498984761,25.0,9.0,0,0,0,0,0,1,0,0,0,96,0,88235.29411764706,0.0,0.0,38.0,24.75,17.95132307101624,322.25,0,1,0,0,1,0,0,0,0.0,33.0,20.333333333333332,0.0,96,0,0,0,0,0,0,3,61,0,0,118,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.69.228-38131-443-6,31.13.69.228,443,10.42.0.42,38131,6,20/06/2017 05:42:36,103043,2,0,61.0,0.0,61.0,0.0,30.5,43.1335136523794,0,0,0,0,591.9858699766118,19.409372786118418,103043.0,0.0,103043.0,103043.0,103043.0,103043.0,0.0,103043.0,103043.0,0,0,0,0,0,0,0,0,0,64,0,19.409372786118418,0.0,0.0,61.0,20.333333333333332,35.21836642056717,1240.3333333333333,0,0,0,0,1,1,0,0,0.0,30.5,30.5,0.0,64,0,0,0,0,0,0,2,61,0,0,118,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.52-33360-443-6,31.13.71.52,443,10.42.0.42,33360,6,20/06/2017 05:42:36,28,3,0,61.0,0.0,38.0,0.0,20.333333333333336,19.139836293274122,0,0,0,0,2178571.4285714286,107142.85714285714,14.0,8.48528137423857,20.0,8.0,28.0,14.0,8.48528137423857,20.0,8.0,0,0,0,0,0,1,0,0,0,96,0,107142.85714285714,0.0,0.0,38.0,24.75,17.95132307101624,322.25,0,1,0,0,1,0,0,0,0.0,33.0,20.333333333333332,0.0,96,0,0,0,0,0,0,3,61,0,0,131,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.52-33360-443-6,31.13.71.52,443,10.42.0.42,33360,6,20/06/2017 05:42:36,92827,2,0,61.0,0.0,61.0,0.0,30.5,43.1335136523794,0,0,0,0,657.1363935061996,21.545455524793432,92827.0,0.0,92827.0,92827.0,92827.0,92827.0,0.0,92827.0,92827.0,0,0,0,0,0,0,0,0,0,64,0,21.545455524793432,0.0,0.0,61.0,20.333333333333332,35.21836642056717,1240.3333333333333,0,0,0,0,1,1,0,0,0.0,30.5,30.5,0.0,64,0,0,0,0,0,0,2,61,0,0,131,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.69.228-38131-443-6,31.13.69.228,443,10.42.0.42,38131,6,20/06/2017 05:42:36,413277,2,0,122.0,0.0,61.0,61.0,61.0,0.0,0,0,0,0,295.2015234334357,4.8393692366137,413277.0,0.0,413277.0,413277.0,413277.0,413277.0,0.0,413277.0,413277.0,0,0,0,0,0,1,0,0,0,64,0,4.8393692366137,0.0,61.0,61.0,61.0,0.0,0.0,0,1,0,0,1,1,0,0,0.0,91.5,61.0,0.0,64,0,0,0,0,0,0,2,122,0,0,118,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
