Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.1.170-10.42.0.42-443-57828-6,10.42.0.42,57828,172.217.1.170,443,6,20/06/2017 06:05:15,22642,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.33141948591114,22642.0,0.0,22642.0,22642.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.16570974295557,44.16570974295557,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.0.238-10.42.0.42-443-49756-6,10.42.0.42,49756,172.217.0.238,443,6,20/06/2017 06:05:17,22465,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1023.8148230580904,89.02737591809482,22465.0,0.0,22465.0,22465.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,44.51368795904741,44.51368795904741,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,468,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.37-55716-443-6,31.13.71.37,443,10.42.0.42,55716,6,20/06/2017 06:05:22,28,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1500000.0,71428.57142857143,28.0,0.0,28.0,28.0,28.0,28.0,0.0,28.0,28.0,0,0,0,0,0,1,0,0,0,64,0,71428.57142857143,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,132,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.37-55716-443-6,31.13.71.37,443,10.42.0.42,55716,6,20/06/2017 06:05:22,17826,1,4,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,10.5,21.0,2356.1090541905082,280.48917311791763,4456.5,8513.297422268295,17226.0,116.0,0,0,0,0,0,600.0,200.0,87.1550342780037,290.0,116.0,0,0,0,0,32,140,56.09783462358352,224.3913384943341,0.0,42.0,7.0,17.146428199482248,294.0,0,0,0,0,1,1,0,0,4.0,8.4,0.0,10.5,32,0,0,0,0,0,0,1,0,4,42,132,1436,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.170-10.42.0.42-443-45491-6,10.42.0.42,45491,172.217.1.170,443,6,20/06/2017 06:05:24,283,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,81272.0848056537,7067.137809187279,283.0,0.0,283.0,283.0,283.0,283.0,0.0,283.0,283.0,0,0,0,0,0,1,0,0,0,64,0,7067.137809187279,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1593,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.170-10.42.0.42-443-55692-6,10.42.0.42,55692,172.217.1.170,443,6,20/06/2017 06:05:34,22402,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.27774305865549,22402.0,0.0,22402.0,22402.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.638871529327744,44.638871529327744,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1637,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.170-10.42.0.42-443-42595-6,10.42.0.42,42595,172.217.1.170,443,6,20/06/2017 06:05:53,22474,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,1379.3717184301859,133.48758565453412,11237.0,15642.616213408804,22298.0,176.0,0,0,0,0,0,176.0,176.0,0.0,176.0,176.0,1,0,0,0,32,64,44.49586188484471,88.99172376968941,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,1703,426,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.170-10.42.0.42-443-59700-6,10.42.0.42,59700,172.217.1.170,443,6,20/06/2017 06:05:55,22386,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.3415527561869,22386.0,0.0,22386.0,22386.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.67077637809345,44.67077637809345,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4351,383,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-88.212.201.205-41130-443-6,10.42.0.42,41130,88.212.201.205,443,6,20/06/2017 06:06:15,17948105,11,8,1467.0,4131.0,493.0,0.0,133.36363636363635,198.6072872415676,1448.0,0.0,516.3750000000001,593.1321070626437,311.8992227870296,1.058607580020286,997116.9444444443,3984832.526728016,1.6961966E7,63.0,983329.0,98332.89999999998,97540.64643288172,240882.0,1209.0,1.7796389E7,2542341.2857142854,6376538.535392895,1.700129E7,63.0,0,0,0,0,360,264,0.6128780726433236,0.4457295073769626,0.0,1448.0,279.9000000000001,436.4327765201104,190473.56842105262,0,0,0,1,0,0,0,0,0.0,294.63157894736844,133.36363636363637,516.375,360,0,0,0,0,0,0,11,1467,8,4131,65535,543,4,32,983329.0,0.0,983329.0,983329.0,1.6961966E7,0.0,1.6961966E7,1.6961966E7,BENIGN
10.42.0.42-88.212.201.205-41131-443-6,10.42.0.42,41131,88.212.201.205,443,6,20/06/2017 06:06:15,41441061,8,6,522.0,3090.0,318.0,0.0,65.25,124.60193761391858,1448.0,0.0,515.0,705.3189349507072,87.15993058189316,0.3378291883019115,3187773.923076923,7663454.606070582,2.0860324E7,62.0,2.1400488E7,3057212.571428572,7854499.82618942,2.0868421E7,65.0,4.1295427E7,8259085.4,1.1154271954047104E7,2.0897918E7,62.0,0,0,0,0,264,188,0.19304525045823515,0.14478393784367635,0.0,1448.0,240.79999999999995,489.2920833787757,239406.74285714282,0,0,0,1,0,0,0,0,0.0,258.0,65.25,515.0,264,0,0,0,0,0,0,8,522,6,3090,65535,543,2,32,532067.0,0.0,532067.0,532067.0,2.0860324E7,0.0,2.0860324E7,2.0860324E7,BENIGN
