Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.6.227-10.42.0.151-443-43923-6,10.42.0.151,43923,172.217.6.227,443,6,20/06/2017 11:10:10,392042,63,204,609.0,284156.0,261.0,0.0,9.666666666666664,45.32926136044873,1418.0,0.0,1392.921568627451,176.82393270658469,726363.5018696976,681.0494793925141,1473.8421052631588,5878.864983307263,56379.0,4.0,387935.0,6257.016129032256,12401.587959522294,56379.0,5.0,355361.0,1750.5467980295566,8315.978868784263,96153.0,4.0,0,0,0,0,2024,6536,160.69706817126738,520.3524112212467,0.0,1418.0,1062.555970149254,611.0980237313964,373440.7946084183,0,0,0,1,0,0,0,0,3.0,1066.5355805243446,9.666666666666666,1392.921568627451,2024,0,0,0,0,0,0,63,609,204,284156,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.227-10.42.0.151-443-43923-6,10.42.0.151,43923,172.217.6.227,443,6,20/06/2017 11:10:10,54279,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,571.1232705097735,55.26999392030067,27139.5,38364.07841327613,54267.0,12.0,54279.0,27139.5,38364.07841327613,54267.0,12.0,0,0,0,0,0,0,0,0,0,96,0,55.26999392030067,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,96,0,0,0,0,0,0,3,31,0,0,4178,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.227-10.42.0.151-443-40341-6,10.42.0.151,40341,172.217.6.227,443,6,20/06/2017 11:10:10,469590,66,337,609.0,472894.0,261.0,0.0,9.227272727272727,44.317315752699585,1418.0,0.0,1403.2462908011876,134.98814495856908,1008332.8009540237,858.1954470921441,1168.1343283582087,4917.930607807279,47200.0,2.0,462986.0,7122.861538461536,13932.227142578597,70158.0,5.0,432895.0,1288.3779761904775,7491.89402252643,117487.0,3.0,0,0,0,0,2120,10792,140.54813773717498,717.6473093549693,0.0,1418.0,1172.0371287128714,533.9107564832433,285060.69588850916,0,0,0,1,0,0,0,0,5.0,1174.9454094292803,9.227272727272727,1403.246290801187,2120,0,0,0,0,0,0,66,609,337,472894,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.227-10.42.0.151-443-40847-6,10.42.0.151,40847,172.217.6.227,443,6,20/06/2017 11:10:10,363277,93,114,829.0,153590.0,517.0,0.0,8.913978494623656,59.94755967654936,1418.0,0.0,1347.2807017543855,302.5204888482012,425072.32772787707,569.8131178136794,1763.4805825242718,7338.511723717096,77017.0,4.0,359354.0,3906.0217391304363,11866.946649864529,82253.0,5.0,326263.0,2887.283185840708,9962.011234173755,79939.0,4.0,0,0,0,0,2984,3656,256.00299495976896,313.81012285391034,0.0,1418.0,742.3990384615382,705.2869491056682,497429.68057878135,0,0,0,1,0,0,0,0,1.0,745.9855072463768,8.913978494623656,1347.280701754386,2984,0,0,0,0,0,0,93,829,114,153590,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.227-10.42.0.151-443-40341-6,10.42.0.151,40341,172.217.6.227,443,6,20/06/2017 11:10:10,155766,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,199.01647342809088,19.259658718847504,77883.0,109765.59985715014,155499.0,267.0,155766.0,77883.0,109765.59985715014,155499.0,267.0,0,0,0,0,0,0,0,0,0,96,0,19.259658718847504,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,96,0,0,0,0,0,0,3,31,0,0,4304,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.227-10.42.0.151-443-60460-6,10.42.0.151,60460,172.217.6.227,443,6,20/06/2017 11:10:10,209407,6,13,829.0,8759.0,517.0,0.0,138.16666666666666,211.40994930860438,1418.0,0.0,673.7692307692307,718.5003077993024,45786.435028437445,90.732401495652,11633.72222222222,21313.457074057987,77008.0,12.0,170950.0,34190.0,36037.78422711363,88335.0,223.0,172688.0,14390.666666666664,27400.433225949128,82495.0,12.0,0,0,0,0,200,424,28.65233731441642,62.080064181235585,0.0,1418.0,479.4,642.2813287517845,412525.3052631579,0,0,0,1,0,0,0,0,2.0,504.63157894736844,138.16666666666666,673.7692307692307,200,0,0,0,0,0,0,6,829,13,8759,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.227-10.42.0.151-443-41524-6,10.42.0.151,41524,172.217.6.227,443,6,20/06/2017 11:10:10,793350,171,851,609.0,1186570.0,261.0,0.0,3.5614035087719267,27.771346348684204,1418.0,0.0,1394.3243243243242,152.46998735136452,1496412.6804058738,1288.2082309195184,777.0323212536719,3142.0147785397444,38012.0,3.0,786648.0,4627.341176470591,9513.77751561585,55763.0,5.0,755981.0,889.3894117647055,4507.371473186614,68687.0,3.0,0,0,0,0,5480,27240,215.54169030062394,1072.6665406188945,0.0,1418.0,1160.4877810361693,538.7617204170637,290264.1913867543,0,0,0,1,0,0,0,0,4.0,1161.623287671233,3.56140350877193,1394.3243243243244,5480,0,0,0,0,0,0,171,609,851,1186570,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.227-10.42.0.151-443-40847-6,10.42.0.151,40847,172.217.6.227,443,6,20/06/2017 11:10:10,367628,11,0,31.0,0.0,31.0,0.0,2.8181818181818183,9.346851681910673,0,0,0,0,84.3243713754121,29.921551133210745,36762.799999999996,104678.1069807181,334135.0,5.0,367628.0,36762.799999999996,104678.1069807181,334135.0,5.0,0,0,0,0,0,0,0,0,0,352,0,29.921551133210745,0.0,0.0,31.0,2.5833333333333335,8.9489291724392,80.08333333333334,0,0,0,0,1,0,0,0,0.0,2.8181818181818183,2.8181818181818183,0.0,352,0,0,0,0,0,0,11,31,0,0,5159,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.227-10.42.0.151-443-41524-6,10.42.0.151,41524,172.217.6.227,443,6,20/06/2017 11:10:11,85314,16,0,31.0,0.0,31.0,0.0,1.9375000000000002,7.750000000000001,0,0,0,0,363.3635745598612,187.54249009541223,5687.6,17838.33595218055,69825.0,8.0,85314.0,5687.6,17838.33595218055,69825.0,8.0,0,0,0,0,0,0,0,0,0,512,0,187.54249009541223,0.0,0.0,31.0,1.8235294117647058,7.518604376126322,56.529411764705884,0,0,0,0,1,0,0,0,0.0,1.9375,1.9375,0.0,512,0,0,0,0,0,0,16,31,0,0,3451,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.227-10.42.0.151-443-33280-6,10.42.0.151,33280,172.217.6.227,443,6,20/06/2017 11:10:11,240461,6,10,829.0,5137.0,517.0,0.0,138.16666666666666,211.40994930860438,1418.0,0.0,513.7,663.4375211309988,24810.676159543542,66.53885661292267,16030.733333333334,24217.784523145874,76465.0,4.0,202831.0,40566.2,49761.076171039545,123020.0,457.0,203708.0,22634.222222222223,35632.69281775438,83034.0,4.0,0,0,0,0,200,328,24.952071229846002,41.58678538307667,0.0,1418.0,350.94117647058823,550.2565845344601,302782.3088235294,0,0,0,1,0,0,0,0,1.0,372.875,138.16666666666666,513.7,200,0,0,0,0,0,0,6,829,10,5137,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
