Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.138-10.42.0.211-443-33277-6,10.42.0.211,33277,172.217.12.138,443,6,21/06/2017 12:42:31,36764,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.401044500054404,36764.0,0.0,36764.0,36764.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.200522250027202,27.200522250027202,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2994,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.161-10.42.0.211-443-42200-6,10.42.0.211,42200,172.217.12.161,443,6,21/06/2017 12:42:31,36663,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.55090963641818,36663.0,0.0,36663.0,36663.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.27545481820909,27.27545481820909,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.138-10.42.0.211-443-33798-6,10.42.0.211,33798,172.217.12.138,443,6,21/06/2017 12:42:31,36960,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.112554112554115,36960.0,0.0,36960.0,36960.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.056277056277057,27.056277056277057,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,357,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.196-10.42.0.211-443-41318-6,10.42.0.211,41318,172.217.12.196,443,6,21/06/2017 12:42:31,37040,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.99568034557236,37040.0,0.0,37040.0,37040.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.99784017278618,26.99784017278618,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1593,349,0,32,0,0,0,0,0,0,0,0,BENIGN
180.149.134.142-10.42.0.211-80-35582-6,10.42.0.211,35582,180.149.134.142,80,6,21/06/2017 12:42:32,4263377,5,4,736.0,470.0,368.0,0.0,147.2,201.56190116190112,470.0,0.0,117.5,235.0,282.87435054418125,2.1110026160013526,532922.125,647299.4191609668,1868965.0,115.0,3895471.0,973867.75,1051098.6107292296,2383559.0,115.0,3893833.0,1297944.3333333333,701822.2305714841,1868965.0,514432.0,0,0,0,0,120,84,1.1727792311118628,0.9382233848894902,0.0,470.0,120.6,196.15877922404255,38478.26666666667,0,0,0,1,0,0,0,0,0.0,134.0,147.2,117.5,120,0,0,0,0,0,0,5,736,4,470,65535,15544,2,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-114.134.80.163-45630-80-6,10.42.0.211,45630,114.134.80.163,80,6,21/06/2017 12:42:36,518633,3,4,384.0,498.0,384.0,0.0,128.0,221.70250336881628,498.0,0.0,124.5,249.0,1700.624526399207,13.497020050787357,86438.83333333333,118480.53561900649,238117.0,33.0,280087.0,140043.5,197856.25555058906,279949.0,138.0,280851.0,93617.0,161777.97736713116,280422.0,33.0,0,0,0,0,80,92,5.784437164623154,7.7125828861642045,0.0,498.0,110.25,206.4044227100905,42602.78571428572,0,0,0,1,0,0,0,0,1.0,126.0,128.0,124.5,80,0,0,0,0,0,0,3,384,4,498,65535,123,1,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-114.134.80.163-45630-80-6,10.42.0.211,45630,114.134.80.163,80,6,21/06/2017 12:42:36,6029,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,331.72997180295243,6029.0,0.0,6029.0,6029.0,6029.0,6029.0,0.0,6029.0,6029.0,0,0,0,0,0,0,0,0,0,40,0,331.72997180295243,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1386,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
180.149.134.142-10.42.0.211-80-35583-6,10.42.0.211,35583,180.149.134.142,80,6,21/06/2017 12:42:32,10351502,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38641735276677724,3450500.6666666665,5677957.23700085,1.0004107E7,9742.0,1.0351502E7,5175751.0,6828326.539165508,1.0004107E7,347395.0,0,0,0,0,0,0,0,0,0,80,32,0.2898130145750829,0.09660433819169431,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,3,0,1,0,65535,14600,0,20,0,0,0,0,0,0,0,0,BENIGN
180.149.134.142-10.42.0.211-80-35582-6,10.42.0.211,35582,180.149.134.142,80,6,21/06/2017 12:42:36,6210189,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.32205139006236366,6210189.0,0.0,6210189.0,6210189.0,6210189.0,6210189.0,0.0,6210189.0,6210189.0,0,0,0,0,0,0,0,0,0,40,0,0.32205139006236366,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
172.217.7.14-10.42.0.211-443-32944-6,10.42.0.211,32944,172.217.7.14,443,6,21/06/2017 12:42:43,36932,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,622.7661648434962,54.15357955160836,36932.0,0.0,36932.0,36932.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.07678977580418,27.07678977580418,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.14-10.42.0.211-443-53526-6,10.42.0.211,53526,172.217.7.14,443,6,21/06/2017 12:42:45,123,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,186991.86991869917,16260.162601626014,123.0,0.0,123.0,123.0,123.0,123.0,0.0,123.0,123.0,0,0,0,0,0,1,0,0,0,64,0,16260.162601626014,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1520,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
