Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.9.234-10.42.0.211-443-34991-6,10.42.0.211,34991,172.217.9.234,443,6,21/06/2017 05:37:27,37426,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.43878587078501,37426.0,0.0,37426.0,37426.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.719392935392506,26.719392935392506,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-91.190.216.51-32780-12350-6,10.42.0.211,32780,91.190.216.51,12350,6,21/06/2017 05:37:18,11323914,3,1,5.0,5.0,5.0,0.0,1.6666666666666665,2.886751345948129,5.0,5.0,5.0,0.0,0.8830868902748643,0.3532347561099457,3774638.0,6388895.25782173,1.1151785E7,50579.0,1.1323914E7,5661957.0,7763789.212695563,1.1151785E7,172129.0,0,0,0,0,0,1,0,0,0,96,32,0.2649260670824593,0.08830868902748643,0.0,5.0,3.0,2.7386127875258306,7.5,0,1,0,0,1,0,0,0,0.0,3.75,1.6666666666666667,5.0,96,0,0,0,0,0,0,3,5,1,5,1386,9,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-111.221.77.148-41378-40010-6,10.42.0.211,41378,111.221.77.148,40010,6,21/06/2017 05:37:18,11324193,3,2,284.0,4.0,284.0,0.0,94.66666666666666,163.96747644985373,4.0,0.0,2.0,2.8284271247461903,25.432275836344367,0.4415325666032008,2831048.25,5503012.873744913,1.1084029E7,46.0,1.1324193E7,5662096.5,7667770.475771462,1.1084029E7,240164.0,46.0,46.0,0.0,46.0,46.0,1,0,0,0,96,64,0.26491953996192047,0.1766130266412803,0.0,284.0,95.33333333333334,146.14878263833288,21359.466666666667,0,1,0,0,1,0,0,0,0.0,114.4,94.66666666666667,2.0,96,0,0,0,0,0,0,3,284,2,4,1417,35,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-40.117.100.83-53915-443-6,10.42.0.211,53915,40.117.100.83,443,6,21/06/2017 05:37:29,46127,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.358553558653284,46127.0,0.0,46127.0,46127.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,21.679276779326642,21.679276779326642,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1641,513,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-65.52.108.74-41111-443-6,10.42.0.211,41111,65.52.108.74,443,6,21/06/2017 05:37:29,50003,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.996400215987045,25001.5,35298.06341005127,49961.0,42.0,0,0,0,0,0,42.0,42.0,0.0,42.0,42.0,0,0,0,0,32,64,19.99880007199568,39.99760014399136,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1595,514,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.101.158.111-48379-443-6,10.42.0.211,48379,23.101.158.111,443,6,21/06/2017 05:37:29,50155,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.87638321204267,50155.0,0.0,50155.0,50155.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,19.938191606021334,19.938191606021334,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2048,1025,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-104.209.188.76-48048-443-6,10.42.0.211,48048,104.209.188.76,443,6,21/06/2017 05:37:29,50200,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.8406374501992,50200.0,0.0,50200.0,50200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,19.9203187250996,19.9203187250996,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1641,514,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.179.153.195-37701-443-6,10.42.0.211,37701,52.179.153.195,443,6,21/06/2017 05:37:29,142121,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.108773509896498,71060.5,4185.365037843175,74020.0,68101.0,0,0,0,0,0,68101.0,68101.0,0.0,68101.0,68101.0,0,0,0,0,32,64,7.036257836632165,14.07251567326433,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1550,510,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-98.139.180.181-45335-443-6,10.42.0.211,45335,98.139.180.181,443,6,21/06/2017 05:37:27,5449704,7,9,337.0,5024.0,211.0,0.0,48.142857142857146,85.8029303528898,1460.0,0.0,558.2222222222222,642.8290553828789,983.7231526703102,2.935939273032077,363313.6,1355947.5767317957,5264420.0,9.0,185228.0,30871.333333333336,27285.577484573543,71157.0,103.0,5424376.0,678047.0,1869457.3691914685,5304218.0,9.0,0,0,0,0,160,192,1.2844734319515336,1.6514658410805432,0.0,1460.0,315.3529411764706,529.1580507249785,280008.24264705885,0,0,0,1,0,0,0,0,1.0,335.0625,48.142857142857146,558.2222222222222,160,0,0,0,0,0,0,7,337,9,5024,65535,62,2,20,185228.0,0.0,185228.0,185228.0,5264420.0,0.0,5264420.0,5264420.0,BENIGN
10.42.0.211-98.139.180.181-45335-443-6,10.42.0.211,45335,98.139.180.181,443,6,21/06/2017 05:37:33,36719,2,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,844.2495710667501,108.93542852474195,12239.666666666666,6130.179143657494,19220.0,7732.0,17499.0,17499.0,0.0,17499.0,17499.0,26952.0,26952.0,0.0,26952.0,26952.0,0,0,0,0,52,40,54.467714262370976,54.467714262370976,0.0,31.0,6.2,13.863621460498697,192.20000000000002,0,0,0,0,1,0,0,0,1.0,7.75,0.0,15.5,52,0,0,0,0,0,0,2,0,2,31,1597,62,0,20,0,0,0,0,0,0,0,0,BENIGN
