Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.211-104.19.195.102-34120-80-6,104.19.195.102,80,10.42.0.211,34120,6,21/06/2017 09:13:14,7104851,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4222467156594839,3552425.5,4736645.990552861,6901740.0,203111.0,0,0,0,0,0,6901740.0,6901740.0,0.0,6901740.0,6901740.0,0,0,0,0,20,40,0.14074890521982797,0.28149781043965594,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,2,0,30,2327,0,20,0,0,0,0,0,0,0,0,BENIGN
216.58.219.202-10.42.0.211-443-52511-6,10.42.0.211,52511,216.58.219.202,443,6,21/06/2017 09:13:29,37244,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.69992482010525,37244.0,0.0,37244.0,37244.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.849962410052626,26.849962410052626,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4350,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.225-10.42.0.211-443-60410-6,10.42.0.211,60410,172.217.9.225,443,6,21/06/2017 09:13:31,37147,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84014859881013,37147.0,0.0,37147.0,37147.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.920074299405066,26.920074299405066,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.132-10.42.0.211-443-57301-6,10.42.0.211,57301,172.217.12.132,443,6,21/06/2017 09:13:31,37232,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.717232488182205,37232.0,0.0,37232.0,37232.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.858616244091102,26.858616244091102,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1593,349,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.202-10.42.0.211-443-49025-6,10.42.0.211,49025,216.58.219.202,443,6,21/06/2017 09:13:31,37679,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.07996496722313,37679.0,0.0,37679.0,37679.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.539982483611563,26.539982483611563,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,357,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-108.174.11.1-58266-80-6,10.42.0.211,58266,108.174.11.1,80,6,21/06/2017 09:13:31,84020,3,4,371.0,170.0,371.0,0.0,123.66666666666667,214.19694986935116,170.0,0.0,42.5,85.0,6438.943108783623,83.31349678647942,14003.333333333334,20004.41303979366,39843.0,39.0,42836.0,21418.0,29978.49909518487,42616.0,220.0,44177.0,14725.666666666668,24275.748440230083,42746.0,39.0,0,0,0,0,104,136,35.7057843370626,47.60771244941681,0.0,371.0,67.625,136.25389902678015,18565.125000000004,0,0,0,1,0,0,0,0,1.0,77.28571428571429,123.66666666666667,42.5,104,0,0,0,0,0,0,3,371,4,170,65535,16,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-108.174.11.1-58266-80-6,10.42.0.211,58266,108.174.11.1,80,6,21/06/2017 09:13:31,5262,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,380.08361839604714,5262.0,0.0,5262.0,5262.0,5262.0,5262.0,0.0,5262.0,5262.0,0,0,0,0,0,0,0,0,0,64,0,380.08361839604714,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.211-80-44609-6,10.42.0.211,44609,198.105.244.11,80,6,21/06/2017 09:13:32,67492,3,4,266.0,223.0,266.0,0.0,88.66666666666667,153.57517160444047,223.0,0.0,55.75,111.5,7245.30314703965,103.71599596989273,11248.666666666666,16146.598894710509,32102.0,37.0,35092.0,17546.0,24666.712954911523,34988.0,104.0,35390.0,11796.666666666668,20083.22957926173,34986.0,37.0,0,0,0,0,80,84,44.449712558525455,59.266283411367276,0.0,266.0,61.125,113.76346074201506,12942.125,0,0,0,1,0,0,0,0,1.0,69.85714285714286,88.66666666666667,55.75,80,0,0,0,0,0,0,3,266,4,223,65535,15544,1,20,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.211-80-44610-6,10.42.0.211,44610,198.105.244.11,80,6,21/06/2017 09:13:32,67607,3,4,262.0,223.0,262.0,0.0,87.33333333333333,151.26577052768195,223.0,0.0,55.75,111.5,7173.813362521632,103.53957430443593,11267.833333333334,16274.863728052123,32232.0,21.0,35315.0,17657.5,24831.46883492799,35216.0,99.0,35375.0,11791.666666666668,20364.014494527677,35306.0,21.0,0,0,0,0,80,84,44.37410327332969,59.16547103110624,0.0,262.0,60.62499999999999,112.7385565938164,12709.982142857143,0,0,0,1,0,0,0,0,1.0,69.28571428571429,87.33333333333333,55.75,80,0,0,0,0,0,0,3,262,4,223,65535,15544,1,20,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.211-80-44609-6,10.42.0.211,44609,198.105.244.11,80,6,21/06/2017 09:13:32,70,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,28571.428571428572,70.0,0.0,70.0,70.0,70.0,70.0,0.0,70.0,70.0,0,0,0,0,0,0,0,0,0,40,0,28571.428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
