Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.11.42-10.42.0.211-443-46154-6,10.42.0.211,46154,172.217.11.42,443,6,21/06/2017 12:25:55,37167,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.81117658137595,37167.0,0.0,37167.0,37167.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.905588290687977,26.905588290687977,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4306,383,0,32,0,0,0,0,0,0,0,0,BENIGN
198.11.132.221-10.42.0.211-443-48716-6,10.42.0.211,48716,198.11.132.221,443,6,21/06/2017 12:26:03,5378430,9,9,739.0,3637.0,402.0,0.0,82.11111111111111,142.00391230917234,1452.0,0.0,404.1111111111111,610.0236561897507,813.6203315837522,3.346701546733898,316378.23529411765,1206312.8026590745,4995773.0,6.0,382441.0,47805.125,42529.290566914,93349.0,81.0,5290989.0,661373.6249999999,1753833.2243876501,4999130.0,6.0,0,0,0,0,200,200,1.673350773366949,1.673350773366949,0.0,1452.0,230.31578947368428,450.9817750236797,203384.56140350885,0,0,0,1,0,0,0,0,1.0,243.11111111111111,82.11111111111111,404.1111111111111,200,0,0,0,0,0,0,9,739,9,3637,65535,16616,3,20,0,0,0,0,0,0,0,0,BENIGN
198.11.132.221-10.42.0.211-443-48716-6,10.42.0.211,48716,198.11.132.221,443,6,21/06/2017 12:26:09,1321941,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.5129268250247174,1321941.0,0.0,1321941.0,1321941.0,1321941.0,1321941.0,0.0,1321941.0,1321941.0,0,0,0,0,0,0,0,0,0,40,0,1.5129268250247174,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
140.205.94.6-10.42.0.211-443-42480-6,10.42.0.211,42480,140.205.94.6,443,6,21/06/2017 12:26:04,5852749,8,9,1053.0,3803.0,715.0,0.0,131.625,248.8384085534799,1452.0,0.0,422.5555555555555,612.4226708554949,829.6955840751073,2.9046179837884725,365796.8125,1238712.0758400217,4994996.0,19.0,857705.0,122529.28571428571,139452.22821897862,281015.0,59.0,5581963.0,697745.375,1742567.9925944218,4999098.0,19.0,0,0,0,0,180,200,1.3668790511945754,1.5377389325938973,0.0,1452.0,269.7777777777777,477.09137804673844,227616.18300653592,0,0,0,1,0,0,0,0,1.0,285.6470588235294,131.625,422.55555555555554,180,0,0,0,0,0,0,8,1053,9,3803,65535,16445,3,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-106.11.92.14-33049-443-6,10.42.0.211,33049,106.11.92.14,443,6,21/06/2017 12:26:05,6008978,9,9,941.0,4088.0,600.0,0.0,104.55555555555556,201.1573458210706,1452.0,0.0,454.22222222222223,594.5449473710498,836.9143638069569,2.995517707004419,353469.29411764705,1199588.4215846057,4985553.0,9.0,1023378.0,127922.25,163806.12098780507,334355.0,90.0,5701195.0,712649.375,1739033.1425829646,4999881.0,9.0,0,0,0,0,200,200,1.4977588535022095,1.4977588535022095,0.0,1452.0,264.6842105263158,457.9989146798857,209763.0058479532,0,0,0,1,0,0,0,0,1.0,279.3888888888889,104.55555555555556,454.22222222222223,200,0,0,0,0,0,0,9,941,9,4088,65535,16800,3,20,0,0,0,0,0,0,0,0,BENIGN
172.217.6.206-10.42.0.211-443-43286-6,10.42.0.211,43286,172.217.6.206,443,6,21/06/2017 12:26:15,37214,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,618.0469715698393,53.74321491911647,37214.0,0.0,37214.0,37214.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.871607459558234,26.871607459558234,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1453,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.206-10.42.0.211-443-55019-6,10.42.0.211,55019,172.217.6.206,443,6,21/06/2017 12:26:16,36618,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,628.1063957616473,54.61794745753455,36618.0,0.0,36618.0,36618.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.308973728767274,27.308973728767274,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
198.11.132.221-10.42.0.211-443-48717-6,10.42.0.211,48717,198.11.132.221,443,6,21/06/2017 12:26:03,15178109,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2635374406653688,5059369.666666667,8684937.615342459,1.5087752E7,2726.0,90357.0,90357.0,0.0,90357.0,90357.0,1.5090478E7,1.5090478E7,0.0,1.5090478E7,1.5090478E7,0,0,0,0,60,60,0.1317687203326844,0.1317687203326844,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,60,0,0,0,0,0,0,2,0,2,0,65535,14600,0,20,0,0,0,0,0,0,0,0,BENIGN
198.11.188.78-10.42.0.211-443-48528-6,10.42.0.211,48528,198.11.188.78,443,6,21/06/2017 12:26:02,16472157,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2428340137845942,5490719.0,9315466.831994573,1.624654E7,2544.0,1.6472157E7,8236078.5,1.1328503294167526E7,1.624654E7,225617.0,0,0,0,0,0,0,0,0,0,80,40,0.18212551033844568,0.06070850344614855,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,3,0,1,0,65535,12960,0,20,0,0,0,0,0,0,0,0,BENIGN
198.11.132.221-10.42.0.211-443-48717-6,10.42.0.211,48717,198.11.132.221,443,6,21/06/2017 12:26:18,376377,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,5.313820982684914,376377.0,0.0,376377.0,376377.0,376377.0,376377.0,0.0,376377.0,376377.0,0,0,0,0,0,0,0,0,0,40,0,5.313820982684914,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
