Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.211-52.84.40.232-46274-443-6,52.84.40.232,443,10.42.0.211,46274,6,21/06/2017 10:26:40,44,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,704545.4545454546,45454.545454545456,44.0,0.0,44.0,44.0,44.0,44.0,0.0,44.0,44.0,0,0,0,0,0,1,0,0,0,64,0,45454.545454545456,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,118,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.84.40.232-46274-443-6,52.84.40.232,443,10.42.0.211,46274,6,21/06/2017 10:26:40,240147,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,129.08760051135346,8.328232291055063,240147.0,0.0,240147.0,240147.0,240147.0,240147.0,0.0,240147.0,240147.0,0,0,0,0,0,0,0,0,0,64,0,8.328232291055063,0.0,0.0,31.0,10.333333333333334,17.8978583448784,320.33333333333337,0,0,0,0,1,1,0,0,0.0,15.5,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,118,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-34.192.33.47-55373-443-6,34.192.33.47,443,10.42.0.211,55373,6,21/06/2017 10:26:43,5003853,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.195225958876089,0.5995379960202667,2501926.5,3315348.6324458397,4846232.0,157621.0,5003853.0,5003853.0,0.0,5003853.0,5003853.0,0,0,0,0,0,1,0,0,0,64,32,0.3996919973468445,0.19984599867342226,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,125,1550,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.194.246.135-34361-443-6,54.194.246.135,443,10.42.0.211,34361,6,21/06/2017 10:26:46,5000342,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.199575949005088,0.599958962806944,2500171.0,3438323.694082336,4931433.0,68909.0,5000342.0,5000342.0,0.0,5000342.0,5000342.0,0,0,0,0,0,1,0,0,0,64,32,0.399972641871296,0.199986320935648,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,114,1731,0,32,0,0,0,0,0,0,0,0,BENIGN
180.149.138.197-10.42.0.211-80-42151-6,10.42.0.211,42151,180.149.138.197,80,6,21/06/2017 10:26:56,845778,3,4,370.0,437.0,370.0,0.0,123.33333333333333,213.61959960016154,437.0,0.0,109.25,218.5,954.151089292935,8.276403500682212,140963.0,167280.48772645302,341334.0,33.0,504083.0,252041.5,355724.91551829764,503577.0,506.0,504444.0,168148.0,290669.45415884344,503784.0,33.0,0,0,0,0,80,84,3.5470300717209478,4.729373428961264,0.0,437.0,100.875,187.64056635721695,35208.98214285714,0,0,0,1,0,0,0,0,1.0,115.28571428571429,123.33333333333333,109.25,80,0,0,0,0,0,0,3,370,4,437,65535,15544,1,20,0,0,0,0,0,0,0,0,BENIGN
180.149.138.197-10.42.0.211-80-42151-6,10.42.0.211,42151,180.149.138.197,80,6,21/06/2017 10:26:57,1079,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1853.5681186283593,1079.0,0.0,1079.0,1079.0,1079.0,1079.0,0.0,1079.0,1079.0,0,0,0,0,0,0,0,0,0,40,0,1853.5681186283593,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-123.59.190.237-39032-80-6,10.42.0.211,39032,123.59.190.237,80,6,21/06/2017 10:26:57,800822,3,6,386.0,5776.0,386.0,0.0,128.66666666666666,222.85720390719553,1460.0,0.0,962.6666666666666,746.0902537003594,7694.593804865501,11.238452490066456,100102.74999999997,178183.9041446064,389681.0,13.0,394097.0,197048.5,278296.7229783707,393834.0,263.0,411141.0,82228.2,173333.01398377633,391962.0,13.0,0,0,0,0,80,124,3.746150830022152,7.492301660044304,0.0,1460.0,616.2,722.31015191229,521731.9555555555,0,0,0,1,0,0,0,0,2.0,684.6666666666666,128.66666666666666,962.6666666666666,80,0,0,0,0,0,0,3,386,6,5776,65535,8190,1,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-123.59.190.237-39032-80-6,10.42.0.211,39032,123.59.190.237,80,6,21/06/2017 10:26:58,2316882,5,1,0.0,1460.0,0.0,0.0,0.0,0.0,1460.0,1460.0,1460.0,0.0,630.1572544480038,2.589687347046591,463376.4,1021477.236702708,2290577.0,65.0,2316882.0,579220.5,1155707.0925655572,2312779.0,65.0,0,0,0,0,0,0,0,0,0,100,20,2.1580727892054923,0.4316145578410985,0.0,1460.0,208.57142857142858,551.8281305934718,304514.28571428574,0,0,0,0,1,0,0,0,0.0,243.33333333333334,0.0,1460.0,100,0,0,0,0,0,0,5,0,1,1460,65535,15544,0,20,0,0,0,0,0,0,0,0,BENIGN
174.35.73.108-10.42.0.211-80-43511-6,10.42.0.211,43511,174.35.73.108,80,6,21/06/2017 10:26:56,6917203,8,26,355.0,32225.0,355.0,0.0,44.37499999999999,125.51145366061218,1448.0,0.0,1239.423076923077,498.34383095023236,4709.996222461594,4.915281509014554,209612.21212121213,1192215.7432927869,6850758.0,5.0,66445.0,9492.142857142857,14052.159684885588,30712.0,493.0,6893869.0,275754.76,1371979.4592621543,6861195.0,5.0,0,0,0,0,264,840,1.1565368256504833,3.7587446833640707,0.0,1448.0,930.8571428571427,684.8738030107592,469052.12605042016,0,0,0,1,0,0,0,0,3.0,958.2352941176471,44.375,1239.423076923077,264,0,0,0,0,0,0,8,355,26,32225,65535,676,1,32,0,0,0,0,0,0,0,0,BENIGN
174.35.73.108-10.42.0.211-80-43509-6,10.42.0.211,43509,174.35.73.108,80,6,21/06/2017 10:26:56,6918324,5,7,370.0,4197.0,370.0,0.0,74.0,165.46903033498444,1448.0,0.0,599.5714285714286,662.8372995798334,660.1309796997076,1.73452414197427,628938.5454545454,2067169.6867019099,6861632.0,21.0,56692.0,14173.0,16269.903687483833,29761.0,104.0,6895140.0,1149190.0,2800830.168090454,6866320.0,21.0,0,0,0,0,168,232,0.7227183924892792,1.0118057494849908,0.0,1448.0,351.30769230769226,554.1509097432131,307083.2307692307,0,0,0,1,0,0,0,0,1.0,380.5833333333333,74.0,599.5714285714286,168,0,0,0,0,0,0,5,370,7,4197,65535,676,1,32,0,0,0,0,0,0,0,0,BENIGN
174.35.73.108-10.42.0.211-80-43510-6,10.42.0.211,43510,174.35.73.108,80,6,21/06/2017 10:26:56,6917614,16,20,349.0,22166.0,349.0,0.0,21.812500000000004,87.25,1448.0,0.0,1108.3,552.6361799307217,3254.734941845555,5.20410650261781,197646.11428571428,1154040.7343744738,6829877.0,8.0,87737.0,5849.133333333333,11308.28526136394,27899.0,8.0,6894231.0,362854.2631578947,1567803.7564820782,6836976.0,12.0,0,0,0,0,684,648,2.312936223385693,2.891170279232117,0.0,1448.0,608.5135135135134,682.9353565317886,466400.7012012012,0,0,0,1,0,0,0,0,1.0,625.4166666666666,21.8125,1108.3,684,0,0,0,0,0,0,16,349,20,22166,65535,677,1,32,0,0,0,0,0,0,0,0,BENIGN
