Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.42-63.251.88.56-46372-443-6,10.42.0.42,46372,63.251.88.56,443,6,21/06/2017 02:09:05,205076,8,11,901.0,4995.0,384.0,0.0,112.625,163.31646535834304,1448.0,0.0,454.0909090909092,655.2122487477558,28750.316955665217,92.64857906337163,11393.111111111111,12554.269739527284,28705.0,2.0,175082.0,25011.714285714286,16263.96298276536,44490.0,629.0,176783.0,17678.3,23825.589259589502,67613.0,2.0,0,0,0,0,264,360,39.009928026682786,53.638651036688834,0.0,1448.0,294.79999999999995,518.6650475778634,269013.4315789474,0,0,0,1,0,0,0,0,1.0,310.3157894736842,112.625,454.09090909090907,264,0,0,0,0,0,0,8,901,11,4995,65535,5281,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-63.251.88.56-46372-443-6,10.42.0.42,46372,63.251.88.56,443,6,21/06/2017 02:09:06,17056,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,117.2607879924953,17056.0,0.0,17056.0,17056.0,17056.0,17056.0,0.0,17056.0,17056.0,0,0,0,0,0,0,0,0,0,64,0,117.2607879924953,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,65535,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.194.141.104-35669-443-6,10.42.0.42,35669,23.194.141.104,443,6,21/06/2017 02:09:06,172822,8,10,831.0,5771.0,498.0,0.0,103.875,177.44571604537862,1448.0,0.0,577.1,619.1547015443267,38201.154945550916,104.15340639501915,10166.0,14069.065849408767,41983.0,2.0,135479.0,19354.14285714286,23304.440173699168,65145.0,528.0,149615.0,16623.88888888889,29738.69495474055,87447.0,2.0,0,0,0,0,264,328,46.29040284223073,57.86300355278842,0.0,1448.0,347.4736842105263,516.0385825822041,266295.8187134503,0,0,0,1,0,0,0,0,1.0,366.77777777777777,103.875,577.1,264,0,0,0,0,0,0,8,831,10,5771,65535,972,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.194.141.104-35669-443-6,10.42.0.42,35669,23.194.141.104,443,6,21/06/2017 02:09:06,43968,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,68.23144104803494,21984.0,23357.15119615404,38500.0,5468.0,43968.0,21984.0,23357.15119615404,38500.0,5468.0,0,0,0,0,0,0,0,0,0,96,0,68.23144104803494,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,0,0,1641,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
162.208.22.39-10.42.0.42-443-48892-6,10.42.0.42,48892,162.208.22.39,443,6,21/06/2017 02:09:06,5389391,10,10,1201.0,5107.0,486.0,0.0,120.10000000000001,181.86469329330163,1460.0,0.0,510.7,570.3122049466513,1170.4476442700113,3.7109944333228,283652.15789473685,1132285.3374366995,4958570.0,3.0,430812.0,47868.0,28301.65499577719,81155.0,3660.0,5350548.0,594505.3333333334,1653051.2031491948,5000488.0,3.0,0,0,0,0,220,212,1.8554972166614,1.8554972166614,0.0,1460.0,300.38095238095235,451.8052098183991,204127.9476190476,0,0,0,1,0,0,0,0,1.0,315.4,120.1,510.7,220,0,0,0,0,0,0,10,1201,10,5107,65535,64,4,20,0,0,0,0,0,0,0,0,BENIGN
162.208.22.39-10.42.0.42-443-48892-6,162.208.22.39,443,10.42.0.42,48892,6,21/06/2017 02:09:11,251815,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,123.10624863491054,7.942338621607131,251815.0,0.0,251815.0,251815.0,251815.0,251815.0,0.0,251815.0,251815.0,0,0,0,0,0,0,0,0,0,40,0,7.942338621607131,0.0,0.0,31.0,10.333333333333334,17.8978583448784,320.33333333333337,0,0,0,0,1,1,0,0,0.0,15.5,15.5,0.0,40,0,0,0,0,0,0,2,31,0,0,64,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-54.197.246.53-48608-443-6,10.42.0.42,48608,54.197.246.53,443,6,21/06/2017 02:09:06,7936941,12,10,728.0,5800.0,399.0,0.0,60.66666666666667,125.08930143434864,1448.0,0.0,580.0,645.4734696329509,822.483120386053,2.7718487513010364,377949.5714285714,1178461.2486699158,4899885.0,2.0,3037056.0,276096.0,802302.6158951496,2693611.0,2.0,7886098.0,876233.1111111111,1762383.2643237994,4996847.0,3.0,0,0,0,0,392,328,1.5119175007096564,1.2599312505913802,0.0,1448.0,283.8260869565217,498.96225510133553,248963.33201581024,0,0,0,1,0,0,0,0,0.0,296.72727272727275,60.666666666666664,580.0,392,0,0,0,0,0,0,12,728,10,5800,65535,79,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-52.84.29.112-56582-443-6,10.42.0.42,56582,52.84.29.112,443,6,21/06/2017 02:09:05,10595380,6,4,568.0,156.0,517.0,0.0,94.66666666666666,207.9035032573205,156.0,0.0,39.0,78.0,68.3316690859601,0.9438075840602225,1177264.4444444445,3464472.5163229075,1.0415686E7,1930.0,1.059538E7,2119076.0,4675399.885343124,1.0482665E7,10494.0,148171.0,49390.333333333336,41802.69053940588,80743.0,1930.0,0,0,0,0,200,136,0.5662845504361335,0.37752303362408896,0.0,517.0,65.81818181818183,157.02663352553807,24657.36363636364,0,0,0,1,0,0,0,0,0.0,72.4,94.66666666666667,39.0,200,0,0,0,0,0,0,6,568,4,156,65535,118,2,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-54.197.246.53-48608-443-6,54.197.246.53,443,10.42.0.42,48608,6,21/06/2017 02:09:14,1471037,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0393776635122025,735518.5,1032139.0197606619,1465351.0,5686.0,0,0,0,0,0,1465351.0,1465351.0,0.0,1465351.0,1465351.0,0,0,0,0,32,76,0.6797925545040676,1.3595851090081352,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,79,1595,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-72.21.207.79-35508-443-6,10.42.0.42,35508,72.21.207.79,443,6,21/06/2017 02:09:04,11076997,6,5,288.0,156.0,237.0,0.0,48.0,94.81139172061552,156.0,0.0,31.2,69.76532089799343,40.08306583453981,0.9930489283331935,1107699.7,3424324.4251142135,1.085307E7,520.0,1.1076997E7,2215399.4,4883274.7015321385,1.0950744E7,526.0,173507.0,43376.75,56176.5043849888,119102.0,520.0,0,0,0,0,140,108,0.5416630518181056,0.45138587651508794,0.0,237.0,37.0,77.85651137596884,6061.636363636364,0,0,0,1,0,0,0,0,0.0,40.36363636363637,48.0,31.2,140,0,0,0,0,0,0,6,288,5,156,65535,300,2,20,0,0,0,0,0,0,0,0,BENIGN
