Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.170-10.42.0.42-443-45822-6,10.42.0.42,45822,172.217.12.170,443,6,21/06/2017 02:53:58,37078,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.940341981768164,37078.0,0.0,37078.0,37078.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.970170990884082,26.970170990884082,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1903,378,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.42-443-60804-6,10.42.0.42,60804,172.217.12.170,443,6,21/06/2017 02:53:58,37190,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.77789728421619,37190.0,0.0,37190.0,37190.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.888948642108094,26.888948642108094,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.42-443-54147-6,10.42.0.42,54147,172.217.12.170,443,6,21/06/2017 02:54:09,36790,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.36259853220984,36790.0,0.0,36790.0,36790.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.18129926610492,27.18129926610492,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,357,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.206-10.42.0.42-443-55438-6,10.42.0.42,55438,172.217.6.206,443,6,21/06/2017 02:54:14,237937,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8.405586352689998,237937.0,0.0,237937.0,237937.0,237937.0,237937.0,0.0,237937.0,237937.0,0,0,0,0,0,0,0,0,0,64,0,8.405586352689998,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.42-443-60782-6,10.42.0.42,60782,172.217.12.170,443,6,21/06/2017 02:54:14,253918,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7.876558574027836,253918.0,0.0,253918.0,253918.0,253918.0,253918.0,0.0,253918.0,253918.0,0,0,0,0,0,0,0,0,0,64,0,7.876558574027836,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.227-10.42.0.42-443-56444-6,10.42.0.42,56444,172.217.9.227,443,6,21/06/2017 02:54:14,253944,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7.875752134328828,253944.0,0.0,253944.0,253944.0,253944.0,253944.0,0.0,253944.0,253944.0,0,0,0,0,0,0,0,0,0,64,0,7.875752134328828,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.42-443-49512-6,10.42.0.42,49512,172.217.11.14,443,6,21/06/2017 02:54:15,289,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,79584.7750865052,6920.415224913495,289.0,0.0,289.0,289.0,289.0,289.0,0.0,289.0,289.0,0,0,0,0,0,1,0,0,0,64,0,6920.415224913495,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1726,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.206-10.42.0.42-443-55438-6,10.42.0.42,55438,172.217.6.206,443,6,21/06/2017 02:54:15,969386,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.063161630145267,969386.0,0.0,969386.0,969386.0,969386.0,969386.0,0.0,969386.0,969386.0,0,0,0,0,0,0,0,0,0,64,0,2.063161630145267,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.42-443-60782-6,10.42.0.42,60782,172.217.12.170,443,6,21/06/2017 02:54:15,1044149,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.915435440727329,1044149.0,0.0,1044149.0,1044149.0,1044149.0,1044149.0,0.0,1044149.0,1044149.0,0,0,0,0,0,0,0,0,0,64,0,1.915435440727329,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.227-10.42.0.42-443-56444-6,10.42.0.42,56444,172.217.9.227,443,6,21/06/2017 02:54:15,1044294,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.9151694829233912,1044294.0,0.0,1044294.0,1044294.0,1044294.0,1044294.0,0.0,1044294.0,1044294.0,0,0,0,0,0,0,0,0,0,64,0,1.9151694829233912,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
