Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.14-10.42.0.42-443-51078-6,10.42.0.42,51078,172.217.10.14,443,6,21/06/2017 08:58:12,36745,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,625.9355014287659,54.429174037283985,36745.0,0.0,36745.0,36745.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.214587018641993,27.214587018641993,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1436,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.14-10.42.0.42-443-46187-6,10.42.0.42,46187,172.217.10.14,443,6,21/06/2017 08:58:15,126,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,246031.74603174604,15873.015873015873,126.0,0.0,126.0,126.0,126.0,126.0,0.0,126.0,126.0,0,0,0,0,0,1,0,0,0,64,0,15873.015873015873,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1638,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.4-10.42.0.42-443-41651-6,10.42.0.42,41651,172.217.10.4,443,6,21/06/2017 08:58:16,36954,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,622.3954105103642,54.1213400443795,36954.0,0.0,36954.0,36954.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.06067002218975,27.06067002218975,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1481,361,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.1-10.42.0.42-443-34829-6,10.42.0.42,34829,172.217.11.1,443,6,21/06/2017 08:58:17,331854,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,6.0267467018628675,331854.0,0.0,331854.0,331854.0,331854.0,331854.0,0.0,331854.0,331854.0,0,0,0,0,0,0,0,0,0,64,0,6.0267467018628675,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.33-10.42.0.42-443-47338-6,10.42.0.42,47338,172.217.10.33,443,6,21/06/2017 08:58:17,353500,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,5.657708628005658,353500.0,0.0,353500.0,353500.0,353500.0,353500.0,0.0,353500.0,353500.0,0,0,0,0,0,0,0,0,0,64,0,5.657708628005658,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.1-10.42.0.42-443-34829-6,10.42.0.42,34829,172.217.11.1,443,6,21/06/2017 08:58:18,1039431,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.924129644007154,1039431.0,0.0,1039431.0,1039431.0,1039431.0,1039431.0,0.0,1039431.0,1039431.0,0,0,0,0,0,0,0,0,0,64,0,1.924129644007154,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.33-10.42.0.42-443-47338-6,10.42.0.42,47338,172.217.10.33,443,6,21/06/2017 08:58:18,1429938,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.3986620398926388,1429938.0,0.0,1429938.0,1429938.0,1429938.0,1429938.0,0.0,1429938.0,1429938.0,0,0,0,0,0,0,0,0,0,64,0,1.3986620398926388,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.99.112.73-58038-443-6,10.42.0.42,58038,23.99.112.73,443,6,21/06/2017 08:58:21,133263,2,0,85.0,0.0,85.0,0.0,42.5,60.10407640085654,0,0,0,0,637.8364587319811,15.007916676046616,133263.0,0.0,133263.0,133263.0,133263.0,133263.0,0.0,133263.0,133263.0,0,0,0,0,0,1,0,0,0,64,0,15.007916676046616,0.0,0.0,85.0,56.66666666666667,49.074772881118186,2408.333333333333,0,1,0,0,1,0,0,0,0.0,85.0,42.5,0.0,64,0,0,0,0,0,0,2,85,0,0,1550,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.99.112.73-58038-443-6,23.99.112.73,443,10.42.0.42,58038,6,21/06/2017 08:58:22,82146,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,24.34689455359969,82146.0,0.0,82146.0,82146.0,82146.0,82146.0,0.0,82146.0,82146.0,0,0,0,0,0,0,0,0,0,64,0,24.34689455359969,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,509,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.1-10.42.0.42-443-34829-6,10.42.0.42,34829,172.217.11.1,443,6,21/06/2017 08:58:21,4170355,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.4795754797852941,4170355.0,0.0,4170355.0,4170355.0,4170355.0,4170355.0,0.0,4170355.0,4170355.0,0,0,0,0,0,0,0,0,0,64,0,0.4795754797852941,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
