Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.11.42-10.42.0.42-443-49808-6,10.42.0.42,49808,172.217.11.42,443,6,21/06/2017 01:59:01,37274,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.65670440521543,37274.0,0.0,37274.0,37274.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.828352202607714,26.828352202607714,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4395,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.35-10.42.0.42-80-55444-6,10.42.0.42,55444,172.217.3.35,80,6,21/06/2017 01:58:27,52483113,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07621499128681639,1.7494371E7,3.0258640462993823E7,5.2434033E7,6178.0,5.2483113E7,2.62415565E7,3.7041755498438574E7,5.2434033E7,49080.0,0,0,0,0,0,0,0,0,0,104,40,0.05716124346511229,0.019053747821704096,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,65535,42408,0,32,0,0,0,0,0,0,0,0,BENIGN
131.253.61.68-10.42.0.42-443-55966-6,10.42.0.42,55966,131.253.61.68,443,6,21/06/2017 01:59:20,276791,9,12,997.0,11904.0,613.0,0.0,110.77777777777777,205.9282507196243,1460.0,0.0,991.9999999999999,654.1227296574745,46609.17443124957,75.86951887886528,13839.550000000001,20075.666646793026,52079.0,3.0,224241.0,28030.125000000004,33338.853131519085,87040.0,33.0,230797.0,20981.54545454546,36014.31799260854,93607.0,3.0,0,0,0,0,200,244,32.51550809094226,43.354010787923016,0.0,1460.0,586.4090909090909,669.0378065401735,447611.5865800866,0,0,0,1,0,0,0,0,1.0,614.3333333333334,110.77777777777777,992.0,200,0,0,0,0,0,0,9,997,12,11904,65535,63445,3,20,0,0,0,0,0,0,0,0,BENIGN
131.253.61.68-10.42.0.42-443-55966-6,10.42.0.42,55966,131.253.61.68,443,6,21/06/2017 01:59:20,4507,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,665.6312402928778,2253.5,3106.3200897525035,4450.0,57.0,4507.0,2253.5,3106.3200897525035,4450.0,57.0,0,0,0,0,0,0,0,0,0,60,0,665.6312402928778,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,60,0,0,0,0,0,0,3,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
131.253.61.68-10.42.0.42-443-55965-6,10.42.0.42,55965,131.253.61.68,443,6,21/06/2017 01:59:20,11601545,10,6,384.0,5643.0,202.0,0.0,38.4,81.09144358205877,1460.0,0.0,940.4999999999999,707.7467767499899,519.499773521544,1.3791266594233786,773436.3333333334,2939717.26785329,1.1399641E7,3.0,1.1601545E7,1289060.5555555555,3791545.9975406835,1.1399641E7,266.0,153738.0,30747.6,43620.26484674296,93514.0,3.0,0,0,0,0,220,124,0.8619541621396116,0.5171724972837669,0.0,1460.0,354.52941176470586,599.4241108813378,359309.26470588235,0,0,0,1,0,0,0,0,0.0,376.6875,38.4,940.5,220,0,0,0,0,0,0,10,384,6,5643,65535,64058,2,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-65.55.118.92-49710-80-6,10.42.0.42,49710,65.55.118.92,80,6,21/06/2017 01:59:19,12117495,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33010122966834315,4039165.0,6951657.688479202,1.2066213E7,5149.0,1.2117495E7,6058747.5,8495839.185588466,1.2066213E7,51282.0,0,0,0,0,0,0,0,0,0,104,40,0.24757592225125738,0.08252530741708579,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,65535,4380,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-65.55.118.92-49710-80-6,65.55.118.92,80,10.42.0.42,49710,6,21/06/2017 01:59:31,8,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,250000.0,8.0,0.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,0,0,0,0,0,0,0,0,0,64,0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,4380,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-103.235.46.39-34797-80-6,10.42.0.42,34797,103.235.46.39,80,6,21/06/2017 01:59:58,6560602,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6097001464194901,2186867.333333333,3547068.853445099,6279548.0,2067.0,281054.0,281054.0,0.0,281054.0,281054.0,6281615.0,6281615.0,0.0,6281615.0,6281615.0,0,0,0,0,60,60,0.30485007320974505,0.30485007320974505,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,60,0,0,0,0,0,0,2,0,2,0,65535,776,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-103.235.46.39-34797-80-6,10.42.0.42,34797,103.235.46.39,80,6,21/06/2017 02:00:04,5765,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,346.9210754553339,5765.0,0.0,5765.0,5765.0,5765.0,5765.0,0.0,5765.0,5765.0,0,0,0,0,0,0,0,0,0,40,0,346.9210754553339,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1369,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-103.235.46.39-34797-80-6,103.235.46.39,80,10.42.0.42,34797,6,21/06/2017 02:00:04,91952,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.50095702105446,30650.666666666664,49978.56048680608,88329.0,149.0,91952.0,45976.0,64809.16492287182,91803.0,149.0,0,0,0,0,0,0,0,0,0,60,32,32.625717765790846,10.875239255263615,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,60,0,0,0,0,0,0,3,0,1,0,776,1369,0,20,0,0,0,0,0,0,0,0,BENIGN
