Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
216.58.209.99-10.42.0.42-443-33482-6,10.42.0.42,33482,216.58.209.99,443,6,21/06/2017 09:51:54,140625,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.222222222222221,140625.0,0.0,140625.0,140625.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,7.111111111111111,7.111111111111111,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,349,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.42-443-58153-6,10.42.0.42,58153,172.217.12.206,443,6,21/06/2017 09:51:54,279,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,82437.27598566309,7168.458781362007,279.0,0.0,279.0,279.0,279.0,279.0,0.0,279.0,279.0,0,0,0,0,0,1,0,0,0,64,0,7168.458781362007,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1637,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.193-10.42.0.42-443-58789-6,10.42.0.42,58789,172.217.12.193,443,6,21/06/2017 09:51:54,269265,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7.427627058845376,269265.0,0.0,269265.0,269265.0,269265.0,269265.0,0.0,269265.0,269265.0,0,0,0,0,0,0,0,0,0,64,0,7.427627058845376,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.237-10.42.0.42-443-53260-6,10.42.0.42,53260,172.217.9.237,443,6,21/06/2017 09:51:54,269044,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7.433728312097649,269044.0,0.0,269044.0,269044.0,269044.0,269044.0,0.0,269044.0,269044.0,0,0,0,0,0,0,0,0,0,64,0,7.433728312097649,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.1-10.42.0.42-443-41358-6,10.42.0.42,41358,172.217.11.1,443,6,21/06/2017 09:51:54,269171,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7.4302209376195805,269171.0,0.0,269171.0,269171.0,269171.0,269171.0,0.0,269171.0,269171.0,0,0,0,0,0,0,0,0,0,64,0,7.4302209376195805,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.193-10.42.0.42-443-58788-6,10.42.0.42,58788,172.217.12.193,443,6,21/06/2017 09:51:54,269189,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7.42972409719565,269189.0,0.0,269189.0,269189.0,269189.0,269189.0,0.0,269189.0,269189.0,0,0,0,0,0,0,0,0,0,64,0,7.42972409719565,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.33-10.42.0.42-443-40281-6,10.42.0.42,40281,172.217.10.33,443,6,21/06/2017 09:51:54,384756,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,5.198099574795455,384756.0,0.0,384756.0,384756.0,384756.0,384756.0,0.0,384756.0,384756.0,0,0,0,0,0,0,0,0,0,64,0,5.198099574795455,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.42-443-52839-6,10.42.0.42,52839,172.217.11.14,443,6,21/06/2017 09:51:55,36558,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,629.1372613381476,54.70758794244762,36558.0,0.0,36558.0,36558.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.35379397122381,27.35379397122381,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.193-10.42.0.42-443-58789-6,10.42.0.42,58789,172.217.12.193,443,6,21/06/2017 09:51:55,1070688,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.8679577990974026,1070688.0,0.0,1070688.0,1070688.0,1070688.0,1070688.0,0.0,1070688.0,1070688.0,0,0,0,0,0,0,0,0,0,64,0,1.8679577990974026,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.237-10.42.0.42-443-53260-6,10.42.0.42,53260,172.217.9.237,443,6,21/06/2017 09:51:55,1070060,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.8690540717342952,1070060.0,0.0,1070060.0,1070060.0,1070060.0,1070060.0,0.0,1070060.0,1070060.0,0,0,0,0,0,0,0,0,0,64,0,1.8690540717342952,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
