Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.9.238-10.42.0.42-443-52927-6,10.42.0.42,52927,172.217.9.238,443,6,21/06/2017 10:15:22,36704,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,626.6346992153443,81.73496076721884,18352.0,25916.87774404934,36678.0,26.0,0,0,0,0,0,26.0,26.0,0.0,26.0,26.0,1,0,0,0,32,64,27.244986922406277,54.48997384481255,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.168-10.42.0.42-443-34145-6,10.42.0.42,34145,172.217.12.168,443,6,21/06/2017 10:15:22,242,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,95041.32231404958,8264.462809917355,242.0,0.0,242.0,242.0,242.0,242.0,0.0,242.0,242.0,0,0,0,0,0,1,0,0,0,64,0,8264.462809917355,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1593,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.238-10.42.0.42-443-60612-6,10.42.0.42,60612,172.217.9.238,443,6,21/06/2017 10:15:28,48,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,479166.6666666666,41666.666666666664,48.0,0.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,0,0,0,0,0,1,0,0,0,64,0,41666.666666666664,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1419,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.216.67-10.42.0.42-443-57360-6,10.42.0.42,57360,216.58.216.67,443,6,21/06/2017 10:15:37,2670591,4,4,310.0,118.0,264.0,0.0,77.5,126.21014222319853,72.0,0.0,29.5,35.679125549822544,160.26415126838967,2.9955916124932647,381512.99999999994,949567.3983009314,2534038.0,278.0,2670591.0,890197.0,1490099.9244654702,2610475.0,385.0,100021.0,33340.33333333333,41375.9073173427,79740.0,278.0,1,0,0,0,128,128,1.4977958062466323,1.4977958062466323,0.0,264.0,76.88888888888887,109.31656375458896,11950.111111111111,0,1,0,0,1,0,0,0,1.0,86.5,77.5,29.5,128,0,0,0,0,0,0,4,310,4,118,1594,357,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.23.100.7-52475-443-6,23.23.100.7,443,10.42.0.42,52475,6,21/06/2017 10:16:09,5000606,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.199248651063491,0.5999272888125958,2500303.0,3340923.977614576,4862693.0,137913.0,5000606.0,5000606.0,0.0,5000606.0,5000606.0,0,0,0,0,0,1,0,0,0,64,32,0.39995152587506394,0.19997576293753197,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,114,1550,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.42-10.42.0.42-443-59444-6,10.42.0.42,59444,172.217.10.42,443,6,21/06/2017 10:16:25,36721,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,844.203589226873,81.69712153808449,18360.5,25712.523884286427,36542.0,179.0,0,0,0,0,0,179.0,179.0,0.0,179.0,179.0,1,0,0,0,32,64,27.23237384602816,54.46474769205632,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,2153,426,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.14-10.42.0.42-443-51660-6,10.42.0.42,51660,172.217.7.14,443,6,21/06/2017 10:16:25,200111,8,8,979.0,4575.0,724.0,0.0,122.375,250.85450393177544,1418.0,0.0,571.875,679.5322840012827,27754.596199109492,79.95562462833128,13340.733333333334,18299.586605270884,53699.0,8.0,146382.0,20911.714285714286,20069.805759849678,44007.0,8.0,163028.0,23289.714285714286,29116.78314256966,60539.0,11.0,0,0,0,0,264,264,39.97781231416564,39.97781231416564,0.0,1418.0,326.7058823529411,535.8669103315069,287153.3455882353,0,0,0,1,0,0,0,0,1.0,347.125,122.375,571.875,264,0,0,0,0,0,0,8,979,8,4575,65535,351,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.14-10.42.0.42-443-51660-6,10.42.0.42,51660,172.217.7.14,443,6,21/06/2017 10:16:25,102,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,225490.19607843139,19607.843137254902,102.0,0.0,102.0,102.0,102.0,102.0,0.0,102.0,102.0,0,0,0,0,0,1,0,0,0,64,0,19607.843137254902,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1594,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.174-10.42.0.42-80-39693-6,172.217.12.174,80,10.42.0.42,39693,6,21/06/2017 10:17:20,239828,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.50896475807662,119914.0,154443.43471964097,229122.0,10706.0,239828.0,239828.0,0.0,239828.0,239828.0,0,0,0,0,0,0,0,0,0,64,32,8.339309838717748,4.169654919358874,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,1,0,340,1369,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.227-10.42.0.42-80-41743-6,10.42.0.42,41743,172.217.9.227,80,6,21/06/2017 10:16:20,61801631,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06472321094567876,2.0600543666666668E7,3.5645810796842374E7,6.1760776E7,3603.0,6.1801631E7,3.09008155E7,4.3642574673398E7,6.1760776E7,40855.0,0,0,0,0,0,0,0,0,0,104,40,0.04854240820925907,0.01618080273641969,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,65535,42408,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.141-10.42.0.42-443-39228-6,172.217.12.141,443,10.42.0.42,39228,6,21/06/2017 10:17:23,25,2,0,55.0,0.0,55.0,0.0,27.5,38.890872965260115,0,0,0,0,2200000.0,80000.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,0,0,0,0,0,1,0,0,0,64,0,80000.0,0.0,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,0,1,0,0,1,0,0,0,0.0,55.0,27.5,0.0,64,0,0,0,0,0,0,2,55,0,0,349,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.141-10.42.0.42-443-39228-6,10.42.0.42,39228,172.217.12.141,443,6,21/06/2017 10:17:23,1217,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1643.3853738701725,1217.0,0.0,1217.0,1217.0,1217.0,1217.0,0.0,1217.0,1217.0,0,0,0,0,0,0,0,0,0,64,0,1643.3853738701725,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1548,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
