Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.6.206-10.42.0.151-443-48856-6,10.42.0.151,48856,172.217.6.206,443,6,21/06/2017 03:20:24,36660,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,627.3867975995636,54.55537370430988,36660.0,0.0,36660.0,36660.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.27768685215494,27.27768685215494,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1768,404,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.234-10.42.0.151-443-60772-6,10.42.0.151,60772,172.217.9.234,443,6,21/06/2017 03:20:26,36718,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.46919766871834,36718.0,0.0,36718.0,36718.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.23459883435917,27.23459883435917,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,340,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.234-10.42.0.151-443-53279-6,10.42.0.151,53279,172.217.9.234,443,6,21/06/2017 03:20:27,37047,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.98547790644317,37047.0,0.0,37047.0,37047.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.992738953221586,26.992738953221586,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1857,378,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.206-10.42.0.151-443-60520-6,10.42.0.151,60520,172.217.6.206,443,6,21/06/2017 03:20:27,37163,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,618.8951376368968,53.816968490164946,37163.0,0.0,37163.0,37163.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.908484245082473,26.908484245082473,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1403,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.100-10.42.0.151-443-40923-6,10.42.0.151,40923,172.217.3.100,443,6,21/06/2017 03:20:28,37094,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,620.0463686849625,53.917075537822825,37094.0,0.0,37094.0,37094.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.958537768911413,26.958537768911413,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,357,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.234-10.42.0.151-443-45394-6,10.42.0.151,45394,172.217.9.234,443,6,21/06/2017 03:20:28,672940,12,10,1585.0,5298.0,1308.0,0.0,132.08333333333334,373.9016541414293,1418.0,0.0,529.8,556.8657927284735,10228.252147293964,32.69236484679169,32044.76190476191,59186.392924307154,269869.0,11.0,647616.0,58874.181818181816,84611.0575750217,269869.0,11.0,635546.0,70616.22222222222,107837.57920221711,341210.0,18.0,0,0,0,0,404,328,17.832199007340922,14.860165839450769,0.0,1418.0,299.2608695652173,490.1364575662303,240233.74703557312,0,0,0,1,0,0,0,0,0.0,312.8636363636364,132.08333333333334,529.8,404,0,0,0,0,0,0,12,1585,10,5298,65535,362,4,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.234-10.42.0.151-443-48684-6,10.42.0.151,48684,172.217.9.234,443,6,21/06/2017 03:20:32,36712,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,844.410546960122,81.71714970581826,18356.0,25898.49296773849,36669.0,43.0,0,0,0,0,0,43.0,43.0,0.0,43.0,43.0,1,0,0,0,32,64,27.23904990193942,54.47809980387884,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,3984,468,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.14-10.42.0.151-443-37002-6,10.42.0.151,37002,172.217.10.14,443,6,21/06/2017 03:20:34,37339,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,615.9779319210478,53.563298427917196,37339.0,0.0,37339.0,37339.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.781649213958598,26.781649213958598,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1768,404,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.14-10.42.0.151-443-43428-6,10.42.0.151,43428,172.217.10.14,443,6,21/06/2017 03:20:35,672333,9,9,1146.0,6009.0,787.0,0.0,127.33333333333333,260.6746055909551,1418.0,0.0,667.6666666666666,699.9764281745494,10642.047913757024,26.772447581778675,39549.0,75774.76291945756,252593.0,8.0,615920.0,76990.0,110234.15982612391,253135.0,19.0,635968.0,79496.0,126382.89057011296,291158.0,8.0,0,0,0,0,296,296,13.386223790889337,13.386223790889337,0.0,1418.0,376.5789473684211,573.8203663739176,329269.812865497,0,0,0,1,0,0,0,0,1.0,397.5,127.33333333333333,667.6666666666666,296,0,0,0,0,0,0,9,1146,9,6009,65535,352,3,32,0,0,0,0,0,0,0,0,BENIGN
206.126.112.141-10.42.0.151-443-43895-6,10.42.0.151,43895,206.126.112.141,443,6,21/06/2017 03:20:36,693295,136,1006,1030.0,1440711.0,641.0,0.0,7.573529411764706,59.238455021859835,1448.0,0.0,1432.1182902584503,129.24670737247476,2079549.1096863528,1647.20645612618,607.6205083260292,2836.012634006716,51337.0,-5.0,693295.0,5135.518518518517,10564.128455657834,69663.0,6.0,621157.0,618.0666666666658,3335.4451028904336,50295.0,3.0,0,0,0,0,4360,32200,196.16469179786384,1451.0417643283163,0.0,1448.0,1261.3657042869636,478.95802251779605,229400.78733415762,0,0,0,1,0,0,0,0,7.0,1262.470227670753,7.573529411764706,1432.1182902584494,4360,0,0,0,0,0,0,136,1030,1006,1440711,65535,123,4,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.14-10.42.0.151-443-49243-6,10.42.0.151,49243,172.217.10.14,443,6,21/06/2017 03:20:26,13963735,14,13,2888.0,2056.0,895.0,0.0,206.28571428571428,365.0412892497818,450.0,0.0,158.15384615384613,186.0321863521857,354.0599989902415,1.9335800915729209,537066.7307692308,2323649.4634721745,1.1822002E7,16.0,1.3926763E7,1071289.4615384615,3260567.6711831335,1.1822002E7,109.0,1.3926626E7,1160552.1666666665,3405821.575250098,1.1861184E7,16.0,0,0,0,0,456,436,1.0025970845192924,0.9309830070536286,0.0,895.0,176.57142857142858,285.1614784347086,81317.06878306878,0,0,0,1,0,0,0,0,0.0,183.11111111111111,206.28571428571428,158.15384615384616,456,0,0,0,0,0,0,14,2888,13,2056,65535,383,6,32,2104761.0,0.0,2104761.0,2104761.0,1.1822002E7,0.0,1.1822002E7,1.1822002E7,BENIGN
172.217.9.234-10.42.0.151-443-34944-6,10.42.0.151,34944,172.217.9.234,443,6,21/06/2017 03:20:46,36523,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.7600142376037,36523.0,0.0,36523.0,36523.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.38000711880185,27.38000711880185,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2034,349,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.3-40648-443-6,10.42.0.151,40648,31.13.71.3,443,6,21/06/2017 03:21:00,225056,6,7,1080.0,201.0,537.0,0.0,180.0,260.24373191298963,137.0,0.0,28.714285714285715,50.07898523237828,5691.916678515569,57.7634011090573,18754.666666666668,31634.098419077458,109774.0,14.0,85297.0,17059.4,24106.99635582998,52408.0,14.0,195069.0,32511.499999999996,43586.85419596142,109774.0,35.0,0,0,0,0,200,232,26.660031281103368,31.10336982795393,0.0,537.0,91.50000000000001,183.26976753493113,33587.807692307695,0,0,0,1,0,0,0,0,1.0,98.53846153846153,180.0,28.714285714285715,200,0,0,0,0,0,0,6,1080,7,201,65535,122,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.3-40648-443-6,10.42.0.151,40648,31.13.71.3,443,6,21/06/2017 03:21:01,1542,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,20103.761348897537,1945.5252918287938,771.0,725.4915574973977,1284.0,258.0,258.0,258.0,0.0,258.0,258.0,0,0,0,0,0,1,0,0,0,64,32,1297.0168612191958,648.5084306095979,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,1369,122,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.227-10.42.0.151-443-45930-6,10.42.0.151,45930,216.58.219.227,443,6,21/06/2017 03:21:20,421355,64,205,609.0,285503.0,261.0,0.0,9.515624999999998,44.98429785571214,1418.0,0.0,1392.6975609756093,176.41916508063255,679028.3727498191,638.4165371242776,1572.2201492537308,6025.319071853783,58144.0,4.0,415973.0,6602.746031746031,15002.716772217058,95617.0,10.0,384505.0,1884.8284313725492,8037.621517593024,78168.0,4.0,0,0,0,0,2068,6568,151.89092333068317,486.5256137935945,0.0,1418.0,1059.674074074074,612.4980337378905,375153.84133278206,0,0,0,1,0,0,0,0,3.0,1063.6133828996283,9.515625,1392.6975609756098,2068,0,0,0,0,0,0,64,609,205,285503,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.227-10.42.0.151-443-45930-6,10.42.0.151,45930,216.58.219.227,443,6,21/06/2017 03:21:21,97132,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,319.1533171354446,30.88580488407528,48566.0,67660.21946461599,96409.0,723.0,97132.0,48566.0,67660.21946461599,96409.0,723.0,0,0,0,0,0,0,0,0,0,96,0,30.88580488407528,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,96,0,0,0,0,0,0,3,31,0,0,4178,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.227-10.42.0.151-443-37892-6,10.42.0.151,37892,216.58.219.227,443,6,21/06/2017 03:21:21,408424,72,337,609.0,472893.0,261.0,0.0,8.458333333333332,42.48112671246565,1418.0,0.0,1403.2433234421367,134.98941809803333,1159339.3140461873,1001.4102991009343,1001.0392156862749,4113.132046491285,37397.0,-1.0,390457.0,5499.394366197184,10539.035634221776,40712.0,6.0,371707.0,1106.2708333333335,5126.597471703635,61004.0,3.0,0,0,0,0,2312,10792,176.2873876167904,825.1229114841439,0.0,1418.0,1154.8829268292689,548.3928293721721,300734.6953068162,0,0,0,1,0,0,0,0,4.0,1157.7066014669927,8.458333333333334,1403.2433234421364,2312,0,0,0,0,0,0,72,609,337,472893,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.227-10.42.0.151-443-51216-6,10.42.0.151,51216,216.58.219.227,443,6,21/06/2017 03:21:21,367443,86,114,829.0,153590.0,517.0,0.0,9.63953488372093,62.31040188692843,1418.0,0.0,1347.2807017543855,302.5204888482012,420252.93719025806,544.3021094428251,1846.4472361809057,7480.050114344894,77285.0,4.0,364880.0,4292.70588235294,12402.34187162087,81038.0,5.0,330838.0,2927.769911504423,10220.7654023988,81169.0,4.0,0,0,0,0,2760,3656,234.0499070604148,310.2522023824103,0.0,1418.0,768.2537313432837,703.4752591943142,494877.44029850746,0,0,0,1,0,0,0,0,1.0,772.095,9.63953488372093,1347.280701754386,2760,0,0,0,0,0,0,86,829,114,153590,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
