Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.151-31.13.71.37-50115-443-6,31.13.71.37,443,10.42.0.151,50115,6,21/06/2017 05:11:09,44,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,954545.4545454546,45454.545454545456,44.0,0.0,44.0,44.0,44.0,44.0,0.0,44.0,44.0,0,0,0,0,0,1,0,0,0,64,0,45454.545454545456,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,133,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.37-50115-443-6,31.13.71.37,443,10.42.0.151,50115,6,21/06/2017 05:11:09,5831,1,3,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,14.0,24.24871130596428,7202.881152460984,685.9886811867603,1943.6666666666665,3194.455404812115,5631.0,15.0,0,0,0,0,0,200.0,100.0,120.20815280171308,185.0,15.0,0,0,0,0,32,108,171.4971702966901,514.4915108900703,0.0,42.0,8.4,18.782971010998235,352.8,0,0,0,0,1,1,0,0,3.0,10.5,0.0,14.0,32,0,0,0,0,0,0,1,0,3,42,133,1631,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.37-50120-443-6,31.13.71.37,443,10.42.0.151,50120,6,21/06/2017 05:11:11,17,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,2470588.2352941176,117647.05882352941,17.0,0.0,17.0,17.0,17.0,17.0,0.0,17.0,17.0,0,0,0,0,0,1,0,0,0,64,0,117647.05882352941,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,121,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.37-50120-443-6,31.13.71.37,443,10.42.0.151,50120,6,21/06/2017 05:11:11,44293,1,3,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,14.0,24.24871130596428,948.2310974646107,90.30772356805817,14764.333333333334,12542.997661377975,24918.0,743.0,0,0,0,0,0,19375.0,9687.5,12649.433208646149,18632.0,743.0,0,0,0,0,32,108,22.57693089201454,67.73079267604362,0.0,42.0,8.4,18.782971010998235,352.8,0,0,0,0,1,1,0,0,3.0,10.5,0.0,14.0,32,0,0,0,0,0,0,1,0,3,42,121,7398,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.234-10.42.0.151-443-33009-6,10.42.0.151,33009,216.58.219.234,443,6,21/06/2017 05:11:11,36690,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.510765876260564,36690.0,0.0,36690.0,36690.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.255382938130282,27.255382938130282,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,362,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-23.99.112.73-34099-443-6,10.42.0.151,34099,23.99.112.73,443,6,21/06/2017 05:11:13,13117,2,0,85.0,0.0,85.0,0.0,42.5,60.10407640085654,0,0,0,0,6480.140275977738,152.47388884653503,13117.0,0.0,13117.0,13117.0,13117.0,13117.0,0.0,13117.0,13117.0,0,0,0,0,0,1,0,0,0,64,0,152.47388884653503,0.0,0.0,85.0,56.66666666666667,49.074772881118186,2408.333333333333,0,1,0,0,1,0,0,0,0.0,85.0,42.5,0.0,64,0,0,0,0,0,0,2,85,0,0,1550,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.234-10.42.0.151-443-45715-6,10.42.0.151,45715,216.58.219.234,443,6,21/06/2017 05:11:13,36615,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.62242250443807,36615.0,0.0,36615.0,36615.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.311211252219035,27.311211252219035,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2034,350,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-23.99.112.73-34099-443-6,23.99.112.73,443,10.42.0.151,34099,6,21/06/2017 05:11:13,43,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,46511.62790697674,43.0,0.0,43.0,43.0,43.0,43.0,0.0,43.0,43.0,0,0,0,0,0,0,0,0,0,64,0,46511.62790697674,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,509,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.55.130.167-10.42.0.151-40019-43144-6,10.42.0.151,43144,157.55.130.167,40019,6,21/06/2017 05:11:15,10656177,5,4,28.0,22.0,14.0,0.0,5.6,7.6681158050723255,19.0,0.0,5.5,9.1104335791443,4.692114254483573,0.8445805658070432,1332022.125,3420029.3634441392,9776983.0,3428.0,1.0656177E7,2664044.25,4753488.574114901,9776983.0,49629.0,792213.0,264071.0,367036.6162265013,687202.0,31625.0,1,0,0,0,160,140,0.46921142544835737,0.37536914035868585,0.0,19.0,6.3999999999999995,7.805980613179444,60.93333333333333,0,1,0,0,1,0,0,0,0.0,7.111111111111111,5.6,5.5,160,0,0,0,0,0,0,5,28,4,22,1402,33,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-40.78.98.202-48127-443-6,10.42.0.151,48127,40.78.98.202,443,6,21/06/2017 05:11:12,13265321,5,2,2506.0,437.0,1428.0,0.0,501.2,584.6167120430274,437.0,0.0,218.5,309.00566337852126,221.85667425612993,0.5276917158657525,2210886.8333333335,5236088.955527415,1.2898723E7,227.0,1.3265321E7,3316330.25,6388862.068371246,1.2898723E7,227.0,167077.0,167077.0,0.0,167077.0,167077.0,1,0,0,0,160,64,0.37692265418982324,0.1507690616759293,0.0,1428.0,430.5,475.4609793212718,226063.14285714287,0,1,0,0,1,0,0,0,0.0,492.0,501.2,218.5,160,0,0,0,0,0,0,5,2506,2,437,1550,512,2,32,0,0,0,0,0,0,0,0,BENIGN
