Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.78-10.42.0.151-443-57194-6,172.217.10.78,443,10.42.0.151,57194,6,21/06/2017 07:01:52,454328,9,8,6009.0,1146.0,1418.0,0.0,667.6666666666666,699.9764281745494,787.0,0.0,143.25,273.95763488956777,15748.534098712824,37.41790072370622,28395.499999999993,40821.277237898044,129083.0,15.0,454328.0,56790.999999999985,89604.61887967287,221958.0,15.0,268075.0,38296.42857142857,51146.681560185774,141680.0,67.0,0,0,0,0,296,256,19.80947685372682,17.608423869979397,0.0,1418.0,397.5,582.9522480696097,339833.32352941175,0,0,0,1,1,0,0,0,0.0,420.88235294117646,667.6666666666666,143.25,296,0,0,0,0,0,0,9,6009,8,1146,42408,1502,6,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.234-10.42.0.151-443-51733-6,10.42.0.151,51733,172.217.6.234,443,6,21/06/2017 07:01:53,37529,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,826.0278717791574,79.93818113991847,18764.5,26090.118905440046,37213.0,316.0,0,0,0,0,0,316.0,316.0,0.0,316.0,316.0,1,0,0,0,32,64,26.64606037997282,53.29212075994564,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,4028,468,0,32,0,0,0,0,0,0,0,0,BENIGN
206.126.112.141-10.42.0.151-443-34218-6,10.42.0.151,34218,206.126.112.141,443,6,21/06/2017 07:01:52,431885,349,999,1030.0,1440711.0,641.0,0.0,2.9512893982808017,37.08107659101564,1448.0,0.0,1442.1531531531527,85.23635397907906,3338252.0809937827,3121.2012457019805,320.6273199703039,1663.4887007251596,38719.0,-4.0,431885.0,1241.0488505747123,4291.481565094196,42784.0,5.0,364207.0,364.93687374749453,2213.0137683348394,42476.0,3.0,0,0,0,0,11176,31976,808.0854857195781,2313.115759982403,0.0,1448.0,1068.747961452927,635.6148477254368,404006.23464903014,0,0,0,1,0,0,0,0,2.0,1069.5408011869436,2.951289398280802,1442.1531531531532,11176,0,0,0,0,0,0,349,1030,999,1440711,65535,123,4,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.234-10.42.0.151-443-41298-6,10.42.0.151,41298,172.217.6.234,443,6,21/06/2017 07:01:53,36458,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.85764441274892,36458.0,0.0,36458.0,36458.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.42882220637446,27.42882220637446,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1857,378,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.234-10.42.0.151-443-36135-6,10.42.0.151,36135,172.217.6.234,443,6,21/06/2017 07:01:55,36944,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.135989605889996,36944.0,0.0,36944.0,36944.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.067994802944998,27.067994802944998,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2034,350,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.3-54495-443-6,10.42.0.151,54495,31.13.71.3,443,6,21/06/2017 07:02:13,293940,7,8,1080.0,338.0,537.0,0.0,154.28571428571428,247.1185372014237,137.0,0.0,42.25,60.127839998266545,4824.113764713888,51.03082261686059,20995.714285714286,35011.78767529274,119525.0,41.0,160741.0,26790.166666666668,40185.073011836954,105145.0,701.0,264066.0,37723.71428571428,49704.375031158925,119525.0,41.0,0,0,0,0,244,264,23.814383887868274,27.216438728992312,0.0,537.0,88.62500000000001,172.61744794004264,29796.78333333333,0,0,0,1,0,0,0,0,1.0,94.53333333333333,154.28571428571428,42.25,244,0,0,0,0,0,0,7,1080,8,338,65535,122,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.195-10.42.0.151-443-55806-6,10.42.0.151,55806,172.217.12.195,443,6,21/06/2017 07:02:28,410083,54,204,609.0,284155.0,261.0,0.0,11.277777777777775,48.83797496561603,1418.0,0.0,1392.916666666666,176.8252258842929,694405.7666374856,629.1409300068523,1595.6536964980546,5621.100861159151,37687.0,3.0,409152.0,7719.8490566037735,14162.9094446839,68341.0,4.0,372797.0,1836.4384236453209,8307.503055058327,95653.0,3.0,0,0,0,0,1736,6536,131.68065976887607,497.46027023797626,0.0,1418.0,1099.4749034749036,587.9733903001535,345712.7077010566,0,0,0,1,0,0,0,0,3.0,1103.7364341085272,11.277777777777779,1392.9166666666667,1736,0,0,0,0,0,0,54,609,204,284155,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.195-10.42.0.151-443-39122-6,10.42.0.151,39122,172.217.12.195,443,6,21/06/2017 07:02:28,414916,55,337,609.0,472895.0,261.0,0.0,11.07272727272727,48.40755012486078,1418.0,0.0,1403.249258160236,134.98689378967018,1141204.484763181,944.7695437148724,1061.1662404092062,4356.173215397854,37258.0,3.0,404339.0,7487.759259259259,12287.284195590764,42782.0,28.0,378179.0,1125.5327380952388,5443.199185411032,68241.0,3.0,0,0,0,0,1768,10792,132.55695128652548,812.212592428347,0.0,1418.0,1204.8447837150134,503.4230417945829,253434.75900971034,0,0,0,1,0,0,0,0,6.0,1207.9183673469388,11.072727272727272,1403.2492581602373,1768,0,0,0,0,0,0,55,609,337,472895,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.195-10.42.0.151-443-55806-6,10.42.0.151,55806,172.217.12.195,443,6,21/06/2017 07:02:28,82042,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,377.85524487457644,36.56663660076546,41021.0,57385.95793397545,81599.0,443.0,82042.0,41021.0,57385.95793397545,81599.0,443.0,0,0,0,0,0,0,0,0,0,96,0,36.56663660076546,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,96,0,0,0,0,0,0,3,31,0,0,3342,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.195-10.42.0.151-443-39122-6,10.42.0.151,39122,172.217.12.195,443,6,21/06/2017 07:02:28,159377,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,194.5073630448559,18.82329319788928,79688.5,112046.01922647675,158917.0,460.0,159377.0,79688.5,112046.01922647675,158917.0,460.0,0,0,0,0,0,0,0,0,0,96,0,18.82329319788928,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,96,0,0,0,0,0,0,3,31,0,0,4254,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.195-10.42.0.151-443-48503-6,10.42.0.151,48503,172.217.12.195,443,6,21/06/2017 07:02:28,343680,50,114,829.0,153590.0,517.0,0.0,16.580000000000002,81.34910658917615,1418.0,0.0,1347.2807017543855,302.5204888482012,449310.40502793295,477.1880819366853,2108.466257668713,8128.2085944014325,76479.0,4.0,336958.0,6876.693877551018,14703.963036094612,78551.0,6.0,306919.0,2716.0973451327445,9789.562662569148,81523.0,4.0,0,0,0,0,1608,3656,145.48417132216017,331.70391061452517,0.0,1418.0,935.8727272727277,667.5945640847935,445682.5019955655,0,0,0,1,0,0,0,0,2.0,941.579268292683,16.58,1347.280701754386,1608,0,0,0,0,0,0,50,829,114,153590,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.195-10.42.0.151-443-56805-6,10.42.0.151,56805,172.217.12.195,443,6,21/06/2017 07:02:29,219953,6,13,829.0,8759.0,517.0,0.0,138.16666666666666,211.40994930860438,1418.0,0.0,673.7692307692307,718.5003077993024,43591.130832496034,86.38209071938095,12219.611111111113,21116.793972177657,76134.0,13.0,181246.0,36249.2,30304.688501946363,83360.0,6938.0,182667.0,15222.25,29388.4253347996,89562.0,13.0,0,0,0,0,200,424,27.27855496401504,59.10353575536592,0.0,1418.0,479.4,642.2813287517845,412525.3052631579,0,0,0,1,0,0,0,0,2.0,504.63157894736844,138.16666666666666,673.7692307692307,200,0,0,0,0,0,0,6,829,13,8759,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.195-10.42.0.151-443-48503-6,10.42.0.151,48503,172.217.12.195,443,6,21/06/2017 07:02:28,519730,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,59.646354838089,5.772227887557,259865.0,367388.64187396975,519648.0,82.0,519730.0,259865.0,367388.64187396975,519648.0,82.0,0,0,0,0,0,0,0,0,0,96,0,5.772227887557,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,96,0,0,0,0,0,0,3,31,0,0,4822,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.195-10.42.0.151-443-56805-6,10.42.0.151,56805,172.217.12.195,443,6,21/06/2017 07:02:29,201431,6,0,31.0,0.0,31.0,0.0,5.166666666666667,12.655697004379753,0,0,0,0,153.89885370176387,29.786874910018817,40286.2,71911.72624266504,166117.0,10.0,201431.0,40286.2,71911.72624266504,166117.0,10.0,0,0,0,0,0,0,0,0,0,192,0,29.786874910018817,0.0,0.0,31.0,4.428571428571429,11.716898663286045,137.2857142857143,0,0,0,0,1,0,0,0,0.0,5.166666666666667,5.166666666666667,0.0,192,0,0,0,0,0,0,6,31,0,0,1458,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.195-10.42.0.151-443-59822-6,10.42.0.151,59822,172.217.12.195,443,6,21/06/2017 07:02:28,1180026,183,863,829.0,1205293.0,517.0,0.0,4.530054644808741,42.85521142988673,1418.0,0.0,1396.631517960604,148.22957058155743,1022114.7669627619,886.4211466527008,1129.2114832535892,4529.441268971638,75976.0,1.0,1163187.0,6391.1373626373625,12032.260985263383,78628.0,3.0,1143181.0,1326.1960556844554,6222.0908804317105,83541.0,3.0,0,0,0,0,6500,27624,155.0813287164859,731.3398179362149,0.0,1418.0,1151.9789875835734,547.1994329705884,299427.2194433335,0,0,0,1,0,0,0,0,4.0,1153.0803059273424,4.530054644808743,1396.6315179606027,6500,0,0,0,0,0,0,183,829,863,1205293,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.195-10.42.0.151-443-55054-6,10.42.0.151,55054,172.217.12.195,443,6,21/06/2017 07:02:29,202755,6,10,829.0,5137.0,517.0,0.0,138.16666666666666,211.40994930860438,1418.0,0.0,513.7,663.4375211309988,29424.675100490742,78.91297378609653,13517.0,22908.317129686453,76583.0,12.0,164741.0,32948.2,32385.128681232687,78395.0,1115.0,165493.0,18388.111111111113,30288.183613599398,84702.0,12.0,0,0,0,0,200,328,29.592365169786195,49.32060861631033,0.0,1418.0,350.94117647058823,550.2565845344601,302782.3088235294,0,0,0,1,0,0,0,0,1.0,372.875,138.16666666666666,513.7,200,0,0,0,0,0,0,6,829,10,5137,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.195-10.42.0.151-443-59822-6,10.42.0.151,59822,172.217.12.195,443,6,21/06/2017 07:02:29,190531,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,162.70318215933364,15.745469241225837,95265.5,133443.07042518168,189624.0,907.0,190531.0,95265.5,133443.07042518168,189624.0,907.0,0,0,0,0,0,0,0,0,0,96,0,15.745469241225837,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,96,0,0,0,0,0,0,3,31,0,0,1269,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.195-10.42.0.151-443-55054-6,10.42.0.151,55054,172.217.12.195,443,6,21/06/2017 07:02:29,1437019,5,0,31.0,0.0,31.0,0.0,6.2,13.863621460498695,0,0,0,0,21.57243571588128,3.479425115464722,359254.75,690393.2468356349,1394583.0,2464.0,1437019.0,359254.75,690393.2468356349,1394583.0,2464.0,0,0,0,0,0,0,0,0,0,160,0,3.479425115464722,0.0,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666669,0,0,0,0,1,0,0,0,0.0,6.2,6.2,0.0,160,0,0,0,0,0,0,5,31,0,0,1458,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.195-10.42.0.151-443-49509-6,10.42.0.151,49509,172.217.12.195,443,6,21/06/2017 07:02:28,2504056,406,2881,829.0,4057193.0,517.0,0.0,2.0418719211822673,28.81693124473531,1418.0,0.0,1408.2585907670916,100.33199810483119,1620579.5717028694,1312.670323666883,762.0377358490578,3032.2090441564947,83502.0,-2.0,2483860.0,6132.987654320988,11087.11133411204,87206.0,3.0,2467064.0,856.6194444444446,3835.688956688172,85908.0,2.0,0,0,0,0,13972,92200,162.13694901391983,1150.5333746529632,0.0,1418.0,1234.191605839416,472.7209483480657,223465.0950070946,0,0,0,1,0,0,0,0,7.0,1234.5670824459994,2.041871921182266,1408.2585907670948,13972,0,0,0,0,0,0,406,829,2881,4057193,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.195-10.42.0.151-443-49509-6,10.42.0.151,49509,172.217.12.195,443,6,21/06/2017 07:02:31,139646,6,0,31.0,0.0,31.0,0.0,5.166666666666667,12.655697004379753,0,0,0,0,221.9898887186171,42.96578491328073,27929.2,55133.85452423946,126205.0,66.0,139646.0,27929.2,55133.85452423946,126205.0,66.0,0,0,0,0,0,0,0,0,0,192,0,42.96578491328073,0.0,0.0,31.0,4.428571428571429,11.716898663286045,137.2857142857143,0,0,0,0,1,0,0,0,0.0,5.166666666666667,5.166666666666667,0.0,192,0,0,0,0,0,0,6,31,0,0,4623,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.195-10.42.0.151-443-39177-6,10.42.0.151,39177,172.217.12.195,443,6,21/06/2017 07:02:31,202584,6,9,829.0,4320.0,517.0,0.0,138.16666666666666,211.40994930860438,1418.0,0.0,480.0,686.1648854320658,25416.617304426807,74.0433597914939,14470.285714285712,23359.0382093513,76504.0,12.0,164948.0,32989.6,32983.92087517796,79376.0,13.0,165473.0,20684.124999999996,31030.64958777508,82657.0,12.0,0,0,0,0,200,296,29.617343916597562,44.42601587489634,0.0,1418.0,321.8125,549.0098018250676,301411.7625,0,0,0,1,0,0,0,0,1.0,343.26666666666665,138.16666666666666,480.0,200,0,0,0,0,0,0,6,829,9,4320,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.195-10.42.0.151-443-37966-6,10.42.0.151,37966,172.217.12.195,443,6,21/06/2017 07:02:31,296137,48,54,829.0,68262.0,517.0,0.0,17.270833333333336,82.98852511894907,1418.0,0.0,1264.1111111111109,439.71417245651696,233307.55697531888,344.4351769620142,2932.049504950497,10203.931906256761,77105.0,10.0,296062.0,6299.1914893617,15133.678624954486,79105.0,10.0,259553.0,4897.226415094338,14188.290740609245,81492.0,11.0,0,0,0,0,1544,1736,162.0871420997714,182.34803486224283,0.0,1418.0,670.7864077669905,703.8475025687479,495401.30687226355,0,0,0,1,0,0,0,0,1.0,677.3627450980392,17.270833333333332,1264.111111111111,1544,0,0,0,0,0,0,48,829,54,68262,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
