Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.142-10.42.0.151-443-51721-6,10.42.0.151,51721,172.217.12.142,443,6,21/06/2017 09:20:32,36680,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,627.0447110141768,54.525627044711015,36680.0,0.0,36680.0,36680.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.262813522355508,27.262813522355508,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1403,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.142-10.42.0.151-443-47234-6,10.42.0.151,47234,172.217.12.142,443,6,21/06/2017 09:20:32,118,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,262711.8644067797,16949.15254237288,118.0,0.0,118.0,118.0,118.0,118.0,0.0,118.0,118.0,0,0,0,0,0,1,0,0,0,64,0,16949.15254237288,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1635,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.142-10.42.0.151-443-47234-6,172.217.12.142,443,10.42.0.151,47234,6,21/06/2017 09:20:32,44,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,45454.545454545456,44.0,0.0,44.0,44.0,44.0,44.0,0.0,44.0,44.0,0,0,0,0,0,0,0,0,0,64,0,45454.545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,357,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.142-10.42.0.151-443-58431-6,10.42.0.151,58431,172.217.12.142,443,6,21/06/2017 09:20:33,36962,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,622.2607001785617,54.10962610248363,36962.0,0.0,36962.0,36962.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.054813051241815,27.054813051241815,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1403,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.74-10.42.0.151-443-46158-6,10.42.0.151,46158,172.217.10.74,443,6,21/06/2017 09:20:33,486367,13,11,1585.0,5665.0,1308.0,0.0,121.92307692307696,359.85308611952127,1418.0,0.0,515.0,527.6587912657194,14906.438964814635,49.34545312490362,21146.39130434783,29369.707304603886,112200.0,6.0,449363.0,37446.916666666664,52265.1491139317,173320.0,114.0,448991.0,44899.1,43937.77595759713,112200.0,6.0,0,0,0,0,448,360,26.728787109322795,22.616666015580826,0.0,1418.0,289.9999999999999,471.9812849397033,222766.33333333337,0,0,0,1,0,0,0,0,0.0,302.0833333333333,121.92307692307692,515.0,448,0,0,0,0,0,0,13,1585,11,5665,65535,362,4,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.142-10.42.0.151-443-43774-6,10.42.0.151,43774,172.217.12.142,443,6,21/06/2017 09:20:35,36829,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,624.5078606532895,54.30503136115561,36829.0,0.0,36829.0,36829.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.152515680577807,27.152515680577807,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1470,404,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.142-10.42.0.151-443-43337-6,10.42.0.151,43337,172.217.12.142,443,6,21/06/2017 09:20:35,477078,9,9,1146.0,6011.0,787.0,0.0,127.33333333333333,260.6746055909551,1418.0,0.0,667.8888888888889,700.2186166556207,15001.739757440084,37.729679423490495,28063.411764705885,54005.998442370765,218372.0,6.0,419700.0,52462.50000000001,75949.74396082113,218372.0,180.0,440627.0,55078.37500000001,94323.64933709815,256773.0,6.0,0,0,0,0,296,296,18.864839711745248,18.864839711745248,0.0,1418.0,376.6842105263159,574.0080383323699,329485.22807017545,0,0,0,1,0,0,0,0,1.0,397.6111111111111,127.33333333333333,667.8888888888889,296,0,0,0,0,0,0,9,1146,9,6011,65535,352,3,32,0,0,0,0,0,0,0,0,BENIGN
206.126.112.141-10.42.0.151-443-43664-6,10.42.0.151,43664,206.126.112.141,443,6,21/06/2017 09:20:36,456721,352,1002,1030.0,1445055.0,641.0,0.0,2.9261363636363624,36.92326992497907,1448.0,0.0,1442.1706586826342,85.10913143201594,3166232.776684234,2964.610779885313,337.56171470805657,1616.6409096311131,42750.0,0.0,456721.0,1301.1994301994303,4169.988041791655,46380.0,5.0,430055.0,429.62537462537426,2347.021563283022,46746.0,2.0,0,0,0,0,12192,32072,770.7112219495053,2193.8995579358075,0.0,1448.0,1067.2214022140215,636.445661037123,405063.0794529805,0,0,0,1,0,0,0,0,2.0,1068.0096011816838,2.9261363636363638,1442.1706586826347,12192,0,0,0,0,0,0,352,1030,1002,1445055,65535,123,4,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.74-10.42.0.151-443-49416-6,10.42.0.151,49416,172.217.10.74,443,6,21/06/2017 09:20:38,37107,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,835.421888053467,80.84727948904519,18553.5,26199.01334974277,37079.0,28.0,0,0,0,0,0,28.0,28.0,0.0,28.0,28.0,1,0,0,0,32,64,26.949093163015064,53.89818632603013,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,3984,468,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-13.107.3.128-58213-443-6,10.42.0.151,58213,13.107.3.128,443,6,21/06/2017 09:20:39,35736,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.948959032908,17868.0,25206.942535738046,35692.0,44.0,0,0,0,0,0,44.0,44.0,0.0,44.0,44.0,0,0,0,0,32,64,27.982986344302667,55.96597268860533,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1550,1025,0,32,0,0,0,0,0,0,0,0,BENIGN
