Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.6.206-10.42.0.211-443-39567-6,10.42.0.211,39567,172.217.6.206,443,6,22/06/2017 12:18:40,226070,7,9,1146.0,5978.0,787.0,0.0,163.71428571428572,289.2281188990876,1418.0,0.0,664.2222222222222,695.6667265612496,31512.363427257045,70.77453885964525,15071.333333333334,18848.720224334545,57184.0,14.0,168827.0,28137.833333333332,20817.931380583104,53508.0,1189.0,189024.0,23628.0,29694.006273512983,67650.0,14.0,0,0,0,0,232,296,30.963860751094796,39.81067810855045,0.0,1418.0,419.05882352941177,588.7750494234019,346656.0588235294,0,0,0,1,0,0,0,0,1.0,445.25,163.71428571428572,664.2222222222222,232,0,0,0,0,0,0,7,1146,9,5978,65535,352,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.71.37-55623-443-6,31.13.71.37,443,10.42.0.211,55623,6,22/06/2017 12:18:40,22,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1909090.9090909092,90909.09090909091,22.0,0.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,0,0,0,0,0,1,0,0,0,64,0,90909.09090909091,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,133,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.71.37-55623-443-6,10.42.0.211,55623,31.13.71.37,443,6,22/06/2017 12:18:40,455,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,92307.69230769231,6593.406593406593,227.5,184.55486988968892,358.0,97.0,455.0,227.5,184.55486988968892,358.0,97.0,0,0,0,0,0,0,0,0,0,96,0,6593.406593406593,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1678,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
206.126.112.141-10.42.0.211-443-53187-6,10.42.0.211,53187,206.126.112.141,443,6,22/06/2017 12:18:40,444063,193,1011,1030.0,1440714.0,641.0,0.0,5.33678756476684,49.79359003302045,1448.0,0.0,1425.0385756676533,148.7341554771264,3246710.4892774224,2711.326996394656,369.12967581047377,1817.3807352654412,43328.0,1.0,444063.0,2312.828124999998,5419.213351333169,46857.0,8.0,374253.0,370.54752475247585,2348.276654697193,47421.0,4.0,0,0,0,0,6184,32360,434.62301520279783,2276.703981191858,0.0,1448.0,1196.4680497925285,539.8543269889582,291442.694368701,0,0,0,1,0,0,0,0,5.0,1197.4617940199334,5.33678756476684,1425.0385756676558,6184,0,0,0,0,0,0,193,1030,1011,1440714,65535,123,4,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.10-10.42.0.211-443-49884-6,10.42.0.211,49884,172.217.10.10,443,6,22/06/2017 12:18:42,37241,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,832.4158857173544,80.55637603716333,18620.5,25926.070132204764,36953.0,288.0,0,0,0,0,0,288.0,288.0,0.0,288.0,288.0,1,0,0,0,32,64,26.852125345721113,53.704250691442226,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,1419,426,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.10-10.42.0.211-443-35820-6,10.42.0.211,35820,172.217.10.10,443,6,22/06/2017 12:19:11,36832,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.30060816681147,36832.0,0.0,36832.0,36832.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.150304083405736,27.150304083405736,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4396,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.4-10.42.0.211-443-37105-6,10.42.0.211,37105,172.217.10.4,443,6,22/06/2017 12:19:11,36873,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.2402299785751,36873.0,0.0,36873.0,36873.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.12011498928755,27.12011498928755,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1593,349,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.1-10.42.0.211-443-36905-6,10.42.0.211,36905,172.217.11.1,443,6,22/06/2017 12:19:11,37359,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.5346235177601,37359.0,0.0,37359.0,37359.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.76731175888005,26.76731175888005,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.10-10.42.0.211-443-33542-6,10.42.0.211,33542,172.217.10.10,443,6,22/06/2017 12:19:11,37365,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.52602703064365,37365.0,0.0,37365.0,37365.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.763013515321823,26.763013515321823,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,357,0,32,0,0,0,0,0,0,0,0,BENIGN
183.79.248.124-10.42.0.211-80-46699-6,10.42.0.211,46699,183.79.248.124,80,6,22/06/2017 12:19:12,10187557,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39263583997615914,3395852.3333333335,5720469.5829323605,1.0000444E7,2458.0,1.0187557E7,5093778.5,6939072.896128164,1.0000444E7,187113.0,0,0,0,0,0,0,0,0,0,104,40,0.29447687998211936,0.09815895999403979,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,65535,65160,0,32,0,0,0,0,0,0,0,0,BENIGN
