Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.211-52.19.67.20-38640-443-6,10.42.0.211,38640,52.19.67.20,443,6,22/06/2017 02:35:00,1056645,11,8,1903.0,3624.0,1448.0,0.0,173.0,430.4560372442231,1448.0,0.0,453.0,633.3495987886266,5230.706623321929,17.981441259836558,58702.49999999999,103140.52925313912,423433.0,3.0,1056645.0,105664.5,127783.05212025053,423433.0,106.0,772532.0,110361.71428571429,194836.4951027008,534468.0,3.0,0,0,0,0,360,264,10.410308097800112,7.571133162036445,0.0,1448.0,276.35,518.3146042196462,268650.02894736844,0,0,0,1,0,0,0,0,0.0,290.89473684210526,173.0,453.0,360,0,0,0,0,0,0,11,1903,8,3624,65535,130,5,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.19.67.20-38640-443-6,52.19.67.20,443,10.42.0.211,38640,6,22/06/2017 02:35:01,16,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,1937500.0,125000.0,16.0,0.0,16.0,16.0,16.0,16.0,0.0,16.0,16.0,0,0,0,0,0,1,0,0,0,64,0,125000.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,130,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.19.67.20-53255-443-6,10.42.0.211,53255,52.19.67.20,443,6,22/06/2017 02:35:01,562827,10,5,1863.0,373.0,1448.0,0.0,186.3,450.4005747973439,228.0,0.0,74.6,106.28170115311478,3972.801589120636,26.651173451167057,40201.92857142858,45769.31581052678,105099.0,36.0,562827.0,62536.333333333336,59542.10635970145,143769.0,36.0,350175.0,87543.75,58378.52157186465,119458.0,45.0,0,0,0,0,328,168,17.767448967444704,8.883724483722352,0.0,1448.0,139.75,359.0126274473736,128890.06666666665,0,0,0,1,0,0,0,0,0.0,149.06666666666666,186.3,74.6,328,0,0,0,0,0,0,10,1863,5,373,65535,130,5,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.129-10.42.0.211-443-51759-6,10.42.0.211,51759,172.217.10.129,443,6,22/06/2017 02:35:02,36931,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.1550458964014,36931.0,0.0,36931.0,36931.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.0775229482007,27.0775229482007,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.42-10.42.0.211-443-53090-6,10.42.0.211,53090,172.217.11.42,443,6,22/06/2017 02:35:02,36646,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.57621568520439,36646.0,0.0,36646.0,36646.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.288107842602194,27.288107842602194,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,357,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.196-10.42.0.211-443-46650-6,10.42.0.211,46650,172.217.6.196,443,6,22/06/2017 02:35:02,37176,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.79814934366258,37176.0,0.0,37176.0,37176.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.89907467183129,26.89907467183129,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1593,349,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.19.67.20-53255-443-6,52.19.67.20,443,10.42.0.211,53255,6,22/06/2017 02:35:02,38,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,815789.4736842104,52631.57894736842,38.0,0.0,38.0,38.0,38.0,38.0,0.0,38.0,38.0,0,0,0,0,0,1,0,0,0,64,0,52631.57894736842,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,130,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.84.152.61-53780-443-6,10.42.0.211,53780,54.84.152.61,443,6,22/06/2017 02:35:03,273,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,113553.11355311354,7326.007326007325,273.0,0.0,273.0,273.0,273.0,273.0,0.0,273.0,273.0,0,0,0,0,0,1,0,0,0,64,0,7326.007326007325,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1595,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.84.152.61-53780-443-6,54.84.152.61,443,10.42.0.211,53780,6,22/06/2017 02:35:03,181,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,171270.7182320442,11049.723756906076,181.0,0.0,181.0,181.0,181.0,181.0,0.0,181.0,181.0,0,0,0,0,0,1,0,0,0,64,0,11049.723756906076,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,123,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.211-80-58445-6,10.42.0.211,58445,198.105.244.11,80,6,22/06/2017 02:35:03,67739,3,4,263.0,223.0,263.0,0.0,87.66666666666667,151.84312079687157,223.0,0.0,55.75,111.5,7174.5966134722985,103.33781130515656,11289.833333333334,16130.364712760425,32196.0,41.0,35166.0,17583.0,23853.540156546995,34450.0,716.0,35543.0,11847.666666666668,20015.715883608395,34958.0,41.0,0,0,0,0,80,84,44.28763341649567,59.0501778886609,0.0,263.0,60.75,112.99399478354086,12767.642857142857,0,0,0,1,0,0,0,0,1.0,69.42857142857143,87.66666666666667,55.75,80,0,0,0,0,0,0,3,263,4,223,65535,15544,1,20,0,0,0,0,0,0,0,0,BENIGN
