Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.3.106-10.42.0.211-443-59856-6,172.217.3.106,443,10.42.0.211,59856,6,22/06/2017 01:32:05,38,2,0,55.0,0.0,55.0,0.0,27.5,38.890872965260115,0,0,0,0,1447368.4210526315,52631.57894736842,38.0,0.0,38.0,38.0,38.0,38.0,0.0,38.0,38.0,0,0,0,0,0,1,0,0,0,64,0,52631.57894736842,0.0,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,0,1,0,0,1,0,0,0,0.0,55.0,27.5,0.0,64,0,0,0,0,0,0,2,55,0,0,362,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.211-443-59856-6,10.42.0.211,59856,172.217.3.106,443,6,22/06/2017 01:32:05,5629,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.3028957186001,5629.0,0.0,5629.0,5629.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,177.65144785930005,177.65144785930005,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1866,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.211-443-59856-6,10.42.0.211,59856,172.217.3.106,443,6,22/06/2017 01:32:05,20232,4,0,61.0,0.0,38.0,0.0,15.25,18.64358692240668,0,0,0,0,3015.025701858442,197.70660340055358,6744.0,8092.014026186559,15829.0,310.0,20232.0,6744.0,8092.014026186559,15829.0,310.0,0,0,0,0,0,0,0,0,0,140,0,197.70660340055358,0.0,0.0,38.0,12.2,17.527121840165314,307.2,0,0,0,0,1,0,0,0,0.0,15.25,15.25,0.0,140,0,0,0,0,0,0,4,61,0,0,1866,-1,2,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.71.1-60261-443-6,31.13.71.1,443,10.42.0.211,60261,6,22/06/2017 01:32:11,42,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1000000.0,47619.04761904762,42.0,0.0,42.0,42.0,42.0,42.0,0.0,42.0,42.0,0,0,0,0,0,1,0,0,0,64,0,47619.04761904762,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,114,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.71.1-60262-443-6,31.13.71.1,443,10.42.0.211,60262,6,22/06/2017 01:32:11,32,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1312500.0,62500.0,32.0,0.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,0,0,0,0,0,1,0,0,0,64,0,62500.0,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,114,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.71.37-51962-443-6,31.13.71.37,443,10.42.0.211,51962,6,22/06/2017 01:32:12,48,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,875000.0,41666.666666666664,48.0,0.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,0,0,0,0,0,1,0,0,0,64,0,41666.666666666664,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,122,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.71.37-51962-443-6,10.42.0.211,51962,31.13.71.37,443,6,22/06/2017 01:32:12,957,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,43887.1473354232,3134.7962382445144,478.5,494.26764004939673,828.0,129.0,957.0,478.5,494.26764004939673,828.0,129.0,0,0,0,0,0,0,0,0,0,96,0,3134.7962382445144,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1403,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
202.77.129.185-10.42.0.211-80-39131-6,10.42.0.211,39131,202.77.129.185,80,6,22/06/2017 01:32:12,552726,4,4,1509.0,290.0,1097.0,0.0,377.25,517.6494148230698,290.0,0.0,72.5,145.0,3254.7772313949404,14.473717538165383,78960.85714285713,103421.59430607094,228802.0,149.0,251404.0,83801.33333333334,144601.8009028011,250773.0,149.0,329906.0,109968.66666666667,132301.49933138827,257386.0,1550.0,0,0,0,0,100,92,7.2368587690826915,7.2368587690826915,0.0,1097.0,199.88888888888889,370.4141076027088,137206.61111111112,0,0,0,1,0,0,0,0,1.0,224.875,377.25,72.5,100,0,0,0,0,0,0,4,1509,4,290,65535,140,2,20,0,0,0,0,0,0,0,0,BENIGN
202.77.129.185-10.42.0.211-80-39130-6,10.42.0.211,39130,202.77.129.185,80,6,22/06/2017 01:32:12,554006,4,3,1639.0,290.0,1227.0,0.0,409.75,578.415291983191,290.0,0.0,96.66666666666667,167.43157806499147,3481.911748248214,12.635242217593312,92334.33333333333,107981.82901334218,231942.0,10.0,251674.0,83891.33333333334,144752.72220698764,251037.0,10.0,330528.0,165264.0,134172.09751658503,260138.0,70390.0,0,0,0,0,100,72,7.220138410053321,5.415103807539991,0.0,1227.0,241.12499999999997,429.99051069263646,184891.8392857143,0,0,0,1,0,0,0,0,0.0,275.57142857142856,409.75,96.66666666666667,100,0,0,0,0,0,0,4,1639,3,290,65535,142,2,20,0,0,0,0,0,0,0,0,BENIGN
202.77.129.185-10.42.0.211-80-39135-6,10.42.0.211,39135,202.77.129.185,80,6,22/06/2017 01:32:12,1526662,4,4,1635.0,290.0,1223.0,0.0,408.75,576.53180022152,290.0,0.0,72.5,145.0,1260.9208849110018,5.240190690539229,218094.57142857142,351079.6252375697,982107.0,910.0,1225296.0,408432.0,511265.10027479875,982107.0,910.0,1297940.0,432646.6666666666,681847.4197284414,1218713.0,1004.0,0,0,0,0,100,92,2.6200953452696143,2.6200953452696143,0.0,1223.0,213.88888888888889,408.9371725719137,167229.61111111112,0,0,0,1,0,0,0,0,1.0,240.625,408.75,72.5,100,0,0,0,0,0,0,4,1635,4,290,65535,142,2,20,0,0,0,0,0,0,0,0,BENIGN
