Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.10-10.42.0.211-443-59239-6,10.42.0.211,59239,172.217.10.10,443,6,22/06/2017 04:25:06,36922,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.1682465738584,36922.0,0.0,36922.0,36922.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.0841232869292,27.0841232869292,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.211-443-50778-6,10.42.0.211,50778,172.217.12.206,443,6,22/06/2017 04:25:06,36529,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.75101973774262,36529.0,0.0,36529.0,36529.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.37550986887131,27.37550986887131,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2357,391,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.10-10.42.0.211-443-38115-6,10.42.0.211,38115,172.217.10.10,443,6,22/06/2017 04:25:06,37010,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.03944879762226,37010.0,0.0,37010.0,37010.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.01972439881113,27.01972439881113,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2124,425,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.10-10.42.0.211-443-55234-6,10.42.0.211,55234,172.217.10.10,443,6,22/06/2017 04:25:07,36937,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.14624901859924,36937.0,0.0,36937.0,36937.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.07312450929962,27.07312450929962,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.10-10.42.0.211-443-42081-6,10.42.0.211,42081,172.217.10.10,443,6,22/06/2017 04:25:09,37192,1,1,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,833.5125833512583,53.775005377500534,37192.0,0.0,37192.0,37192.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.887502688750267,26.887502688750267,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,1.0,31.0,31.0,0.0,32,0,0,0,0,0,0,1,31,1,0,1403,383,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.71.37-52691-443-6,31.13.71.37,443,10.42.0.211,52691,6,22/06/2017 04:25:11,42,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1000000.0,47619.04761904762,42.0,0.0,42.0,42.0,42.0,42.0,0.0,42.0,42.0,0,0,0,0,0,1,0,0,0,64,0,47619.04761904762,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,133,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.71.37-52691-443-6,10.42.0.211,52691,31.13.71.37,443,6,22/06/2017 04:25:11,1505,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,27906.976744186046,1993.3554817275747,752.5,525.3803384216048,1124.0,381.0,1505.0,752.5,525.3803384216048,1124.0,381.0,0,0,0,0,0,0,0,0,0,96,0,1993.3554817275747,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1678,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.211-443-49516-6,10.42.0.211,49516,172.217.12.206,443,6,22/06/2017 04:25:11,36635,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,627.8149310768391,54.592602702333835,36635.0,0.0,36635.0,36635.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.296301351166917,27.296301351166917,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.211-443-58373-6,10.42.0.211,58373,172.217.12.206,443,6,22/06/2017 04:25:12,232968,8,9,1146.0,5977.0,787.0,0.0,143.25,273.95763488956777,1418.0,0.0,664.1111111111111,695.5505812743679,30575.01459427904,72.97139521307648,14560.499999999996,19359.504005354407,57222.0,8.0,175684.0,25097.714285714286,22264.69745070497,53316.0,1281.0,196229.0,24528.625,31986.051133658246,78949.0,8.0,0,0,0,0,264,296,34.33948010027128,38.63191511280519,0.0,1418.0,395.72222222222223,579.5800513714325,335913.03594771243,0,0,0,1,0,0,0,0,1.0,419.0,143.25,664.1111111111111,264,0,0,0,0,0,0,8,1146,9,5977,65535,352,3,32,0,0,0,0,0,0,0,0,BENIGN
206.126.112.141-10.42.0.211-443-56772-6,10.42.0.211,56772,206.126.112.141,443,6,22/06/2017 04:25:12,574093,166,1004,1030.0,1440714.0,641.0,0.0,6.204819277108434,53.662866577933414,1448.0,0.0,1434.974103585657,119.45938929035403,2511342.2389752185,2037.997327959059,491.09751924721996,2473.935419114171,55095.0,1.0,574093.0,3479.3515151515157,9544.656532683783,98877.0,8.0,531367.0,529.7776669990023,3155.9168684960673,59808.0,5.0,0,0,0,0,5320,32136,289.1517576420545,1748.8455703170046,0.0,1448.0,1231.2075149444922,512.3234593362016,262475.32698621263,0,0,0,1,0,0,0,0,6.0,1232.2598290598291,6.204819277108434,1434.9741035856573,5320,0,0,0,0,0,0,166,1030,1004,1440714,65535,123,4,32,0,0,0,0,0,0,0,0,BENIGN
