Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.202-10.42.0.211-443-38981-6,10.42.0.211,38981,172.217.12.202,443,6,22/06/2017 11:28:20,36688,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.513737461840385,36688.0,0.0,36688.0,36688.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.256868730920193,27.256868730920193,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,3040,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.14-10.42.0.211-443-36871-6,10.42.0.211,36871,172.217.7.14,443,6,22/06/2017 11:28:31,36717,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,626.4128332924803,81.70602173380178,18358.5,25718.18073853592,36544.0,173.0,0,0,0,0,0,173.0,173.0,0.0,173.0,173.0,1,0,0,0,32,64,27.23534057793393,54.47068115586786,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.14-10.42.0.211-443-52654-6,10.42.0.211,52654,172.217.7.14,443,6,22/06/2017 11:28:31,36736,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,626.0888501742161,81.6637630662021,18368.0,25911.220889799846,36690.0,46.0,0,0,0,0,0,46.0,46.0,0.0,46.0,46.0,1,0,0,0,32,64,27.2212543554007,54.4425087108014,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-95.213.11.133-38196-443-6,10.42.0.211,38196,95.213.11.133,443,6,22/06/2017 11:28:19,13312589,6,4,568.0,152.0,517.0,0.0,94.66666666666666,207.9035032573205,152.0,0.0,38.0,76.0,54.08414546561905,0.7511686870224868,1479176.5555555555,4256847.131819662,1.2829164E7,85.0,1.3312589E7,2662517.8,5781958.758969982,1.3004733E7,1772.0,343704.0,114568.0,101542.55392198879,193744.0,85.0,0,0,0,0,200,136,0.4507012122134921,0.3004674748089947,0.0,517.0,65.45454545454545,156.80137986405836,24586.672727272726,0,0,0,1,0,0,0,0,0.0,72.0,94.66666666666667,38.0,200,0,0,0,0,0,0,6,568,4,152,65535,110,2,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-95.213.11.133-59947-80-6,10.42.0.211,59947,95.213.11.133,80,6,22/06/2017 11:28:18,19550882,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20459435027023332,6516960.666666667,1.1159440008230222E7,1.9402558E7,9840.0,1.9550882E7,9775441.0,1.3614799427952584E7,1.9402558E7,148324.0,0,0,0,0,0,0,0,0,0,104,40,0.153445762702675,0.05114858756755833,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,65535,27960,0,32,0,0,0,0,0,0,0,0,BENIGN
184.29.141.182-10.42.0.211-443-41738-6,10.42.0.211,41738,184.29.141.182,443,6,22/06/2017 11:28:20,17091444,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35105284258018227,3418288.8,6523973.74369377,1.4996882E7,2799.0,1.7091444E7,5697148.0,8223629.384069238,1.5128779E7,26695.0,1.4999681E7,1.4999681E7,0.0,1.4999681E7,1.4999681E7,0,0,0,0,148,80,0.23403522838678817,0.11701761419339408,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,148,0,0,0,0,0,0,4,0,2,0,65535,28960,0,32,26695.0,0.0,26695.0,26695.0,1.4996882E7,0.0,1.4996882E7,1.4996882E7,BENIGN
10.42.0.211-87.240.165.80-44870-80-6,10.42.0.211,44870,87.240.165.80,80,6,22/06/2017 11:28:17,19955925,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20044172344804864,6651975.0,1.1398181385140877E7,1.9813261E7,8467.0,1.9955925E7,9977962.5,1.3909212528687758E7,1.9813261E7,142664.0,0,0,0,0,0,0,0,0,0,104,40,0.15033129258603647,0.05011043086201216,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,65535,27960,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-87.240.165.80-44870-80-6,87.240.165.80,80,10.42.0.211,44870,6,22/06/2017 11:28:37,292,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,6849.315068493151,292.0,0.0,292.0,292.0,292.0,292.0,0.0,292.0,292.0,0,0,0,0,0,0,0,0,0,64,0,6849.315068493151,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,110,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-88.212.201.196-37355-443-6,10.42.0.211,37355,88.212.201.196,443,6,22/06/2017 11:28:19,18456809,11,8,1453.0,4131.0,481.0,0.0,132.09090909090907,194.92380795862496,1448.0,0.0,516.3750000000001,593.1321070626437,302.54417218057574,1.0294303852849103,1025378.2777777779,3986976.377613592,1.6990126E7,153.0,1464709.0,146470.9,181831.63862665804,612967.0,452.0,1.8308511E7,2615501.5714285714,6347926.1666814685,1.6999029E7,153.0,0,0,0,0,360,264,0.5959860125333691,0.4334443727515412,0.0,1448.0,279.20000000000005,435.8061616433569,189927.01052631575,0,0,0,1,0,0,0,0,0.0,293.89473684210526,132.0909090909091,516.375,360,0,0,0,0,0,0,11,1453,8,4131,65535,543,4,32,1464709.0,0.0,1464709.0,1464709.0,1.6990126E7,0.0,1.6990126E7,1.6990126E7,BENIGN
217.69.133.148-10.42.0.211-443-44565-6,10.42.0.211,44565,217.69.133.148,443,6,22/06/2017 11:28:20,60856082,10,9,1499.0,4314.0,476.0,0.0,149.89999999999998,204.35179361961949,1448.0,0.0,479.33333333333326,586.7978783192726,95.52044444793538,0.31221201522634995,3380893.4444444445,1.4121646023143575E7,5.9964876E7,53.0,891153.0,99017.0,84550.37241638856,191389.0,96.0,6.0706606E7,7588325.75,2.1177825947818607E7,6.0000318E7,53.0,0,0,0,0,328,296,0.16432211327702628,0.14788990194932364,0.0,1448.0,290.65000000000003,443.2824067175046,196499.29210526316,0,0,0,1,0,0,0,0,0.0,305.94736842105266,149.9,479.3333333333333,328,0,0,0,0,0,0,10,1499,9,4314,65535,5592,4,32,891153.0,0.0,891153.0,891153.0,5.9964876E7,0.0,5.9964876E7,5.9964876E7,BENIGN
