Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.6.238-10.42.0.211-443-57839-6,10.42.0.211,57839,172.217.6.238,443,6,22/06/2017 11:51:35,141,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,219858.15602836877,14184.397163120566,141.0,0.0,141.0,141.0,141.0,141.0,0.0,141.0,141.0,0,0,0,0,0,1,0,0,0,64,0,14184.397163120566,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1683,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.238-10.42.0.211-443-57839-6,172.217.6.238,443,10.42.0.211,57839,6,22/06/2017 11:51:35,46,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,43478.260869565216,46.0,0.0,46.0,46.0,46.0,46.0,0.0,46.0,46.0,0,0,0,0,0,0,0,0,0,64,0,43478.260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,349,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.227-10.42.0.211-443-53770-6,10.42.0.211,53770,172.217.10.227,443,6,22/06/2017 11:51:36,37093,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.91852910252608,37093.0,0.0,37093.0,37093.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.95926455126304,26.95926455126304,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1775,349,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.238-10.42.0.211-443-39692-6,10.42.0.211,39692,172.217.6.238,443,6,22/06/2017 11:51:36,36548,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.722556637846125,36548.0,0.0,36548.0,36548.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.361278318923063,27.361278318923063,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2224,370,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.211-443-45244-6,10.42.0.211,45244,172.217.12.206,443,6,22/06/2017 11:51:42,458283,11,10,6695.0,5520.0,1368.0,0.0,608.6363636363636,649.1453262139801,1418.0,0.0,551.9999999999999,666.8786329693816,26653.8361667354,45.823214040232784,22914.15,39991.415018561696,150701.0,6.0,386966.0,38696.59999999999,51963.29528127416,150701.0,10.0,420990.0,46776.666666666664,72679.94111341864,191142.0,6.0,0,0,0,0,360,328,24.00263592583622,21.820578114396564,0.0,1418.0,555.2272727272727,638.3087722604074,407438.0887445887,0,0,0,1,0,0,0,0,0.0,581.6666666666666,608.6363636363636,552.0,360,0,0,0,0,0,0,11,6695,10,5520,65535,447,7,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.211-443-45244-6,10.42.0.211,45244,172.217.12.206,443,6,22/06/2017 11:51:42,172098,4,0,31.0,0.0,31.0,0.0,7.75,15.500000000000002,0,0,0,0,180.12992597241106,23.24257109321433,57366.0,66836.33509551523,131323.0,1286.0,172098.0,57366.0,66836.33509551523,131323.0,1286.0,0,0,0,0,0,0,0,0,0,128,0,23.24257109321433,0.0,0.0,31.0,6.2,13.863621460498695,192.2,0,0,0,0,1,0,0,0,0.0,7.75,7.75,0.0,128,0,0,0,0,0,0,4,31,0,0,1594,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.238-10.42.0.211-443-45178-6,10.42.0.211,45178,172.217.6.238,443,6,22/06/2017 11:51:44,36686,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,626.9421577713568,54.51670937142234,36686.0,0.0,36686.0,36686.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.25835468571117,27.25835468571117,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1436,362,0,32,0,0,0,0,0,0,0,0,BENIGN
137.116.195.37-10.42.0.211-443-53562-6,10.42.0.211,53562,137.116.195.37,443,6,22/06/2017 11:51:41,2952838,12,7,1391.0,4224.0,885.0,0.0,115.91666666666667,255.45946425761542,1448.0,0.0,603.4285714285714,632.8685638010622,1901.5604648815818,6.434487770748006,164046.55555555556,272625.8041347953,952982.0,8.0,2952838.0,268439.8181818182,312440.651781044,952982.0,10.0,1769912.0,294985.3333333333,361931.35498415533,918140.0,8.0,0,0,0,0,392,232,4.0638870131040035,2.3706007576440022,0.0,1448.0,280.75000000000006,473.2141915165179,223931.67105263163,0,0,0,1,0,0,0,0,0.0,295.5263157894737,115.91666666666667,603.4285714285714,392,0,0,0,0,0,0,12,1391,7,4224,65535,510,4,32,0,0,0,0,0,0,0,0,BENIGN
137.116.195.37-10.42.0.211-443-53562-6,137.116.195.37,443,10.42.0.211,53562,6,22/06/2017 11:51:44,37836,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,52.85971032878739,37836.0,0.0,37836.0,37836.0,37836.0,37836.0,0.0,37836.0,37836.0,0,0,0,0,0,0,0,0,0,64,0,52.85971032878739,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,510,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-104.46.105.95-38548-443-6,10.42.0.211,38548,104.46.105.95,443,6,22/06/2017 11:51:42,2702390,11,7,1406.0,4404.0,901.0,0.0,127.81818181818181,269.73053893907456,1448.0,0.0,629.1428571428571,635.304763760782,2149.9487490702677,6.6607706511643405,158964.11764705883,367745.5699348876,1525316.0,6.0,2702390.0,270239.0,456131.13055640773,1525316.0,4329.0,2611211.0,435201.8333333334,602958.7663538583,1611596.0,6.0,0,0,0,0,360,232,4.070470953489319,2.590299697675021,0.0,1448.0,305.78947368421046,490.07024201155406,240168.84210526317,0,0,0,1,0,0,0,0,0.0,322.77777777777777,127.81818181818181,629.1428571428571,360,0,0,0,0,0,0,11,1406,7,4404,65535,510,4,32,0,0,0,0,0,0,0,0,BENIGN
