Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.234-10.42.0.42-443-37486-6,10.42.0.42,37486,172.217.10.234,443,6,22/06/2017 06:13:24,37572,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,825.0825082508251,79.84669434685404,18786.0,26458.521538438235,37495.0,77.0,0,0,0,0,0,77.0,77.0,0.0,77.0,77.0,1,0,0,0,32,64,26.61556478228468,53.23112956456936,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,1538,426,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.234-10.42.0.42-443-35576-6,10.42.0.42,35576,172.217.10.234,443,6,22/06/2017 06:13:25,37063,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.96217251706554,37063.0,0.0,37063.0,37063.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.98108625853277,26.98108625853277,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1903,378,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.142-10.42.0.42-443-34247-6,10.42.0.42,34247,172.217.12.142,443,6,22/06/2017 06:13:28,29,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,1068965.5172413792,68965.5172413793,29.0,0.0,29.0,29.0,29.0,29.0,0.0,29.0,29.0,0,0,0,0,0,1,0,0,0,64,0,68965.5172413793,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1638,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.142-10.42.0.42-443-34247-6,172.217.12.142,443,10.42.0.42,34247,6,22/06/2017 06:13:29,259,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7722.007722007722,259.0,0.0,259.0,259.0,259.0,259.0,0.0,259.0,259.0,0,0,0,0,0,0,0,0,0,64,0,7722.007722007722,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,350,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.142-10.42.0.42-443-38628-6,10.42.0.42,38628,172.217.12.142,443,6,22/06/2017 06:13:30,36604,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,628.3466287837396,81.95825592831385,18302.0,25523.72637370962,36350.0,254.0,0,0,0,0,0,254.0,254.0,0.0,254.0,254.0,1,0,0,0,32,64,27.319418642771282,54.638837285542564,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1594,362,0,32,0,0,0,0,0,0,0,0,BENIGN
184.86.37.99-10.42.0.42-443-37277-6,10.42.0.42,37277,184.86.37.99,443,6,22/06/2017 06:13:30,22242,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,1393.7595539969427,134.8799568384138,11121.0,15400.785694243004,22011.0,231.0,0,0,0,0,0,231.0,231.0,0.0,231.0,231.0,0,0,0,0,32,64,44.9599856128046,89.9199712256092,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,1641,972,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.9.107.127-39255-443-6,10.42.0.42,39255,23.9.107.127,443,6,22/06/2017 06:13:30,22254,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,1393.0079985620564,134.80722566729577,11127.0,15726.054813588817,22247.0,7.0,0,0,0,0,0,7.0,7.0,0.0,7.0,7.0,0,0,0,0,32,64,44.93574188909859,89.87148377819717,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,2093,972,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-13.68.82.180-50377-443-6,10.42.0.42,50377,13.68.82.180,443,6,22/06/2017 06:13:30,49766,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.188080215408114,49766.0,0.0,49766.0,49766.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20.094040107704057,20.094040107704057,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1595,511,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-65.52.108.74-45484-443-6,10.42.0.42,45484,65.52.108.74,443,6,22/06/2017 06:13:30,50168,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.79907510763834,25084.0,35450.091368006375,50151.0,17.0,0,0,0,0,0,17.0,17.0,0.0,17.0,17.0,0,0,0,0,32,64,19.933025035879446,39.86605007175889,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1641,514,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-104.208.28.54-49347-443-6,10.42.0.42,49347,104.208.28.54,443,6,22/06/2017 06:13:30,54156,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.93034936110495,54156.0,0.0,54156.0,54156.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,18.465174680552476,18.465174680552476,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1686,514,0,32,0,0,0,0,0,0,0,0,BENIGN
157.56.52.23-10.42.0.42-40033-47429-6,10.42.0.42,47429,157.56.52.23,40033,6,22/06/2017 06:13:30,84266,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.734364987064772,84266.0,0.0,84266.0,84266.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,11.867182493532386,11.867182493532386,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1431,35,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-91.190.218.51-33335-12350-6,10.42.0.42,33335,91.190.218.51,12350,6,22/06/2017 06:13:30,97766,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4570095943375,97766.0,0.0,97766.0,97766.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,10.22850479716875,10.22850479716875,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1386,9,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-103.235.46.39-47791-80-6,10.42.0.42,47791,103.235.46.39,80,6,22/06/2017 06:13:25,6545305,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6111250736214737,2181768.333333333,3544697.9520269893,6271880.0,2089.0,273425.0,273425.0,0.0,273425.0,273425.0,6273969.0,6273969.0,0.0,6273969.0,6273969.0,0,0,0,0,60,60,0.30556253681073686,0.30556253681073686,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,60,0,0,0,0,0,0,2,0,2,0,65535,776,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-103.235.46.39-47791-80-6,10.42.0.42,47791,103.235.46.39,80,6,22/06/2017 06:13:31,192523,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.388369181863984,192523.0,0.0,192523.0,192523.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,5.194184590931992,5.194184590931992,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,1,0,1369,776,0,20,0,0,0,0,0,0,0,0,BENIGN
