Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.170-10.42.0.42-443-33430-6,10.42.0.42,33430,172.217.12.170,443,6,22/06/2017 10:31:49,36607,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.63435954872019,36607.0,0.0,36607.0,36607.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.317179774360095,27.317179774360095,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4352,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.132-10.42.0.42-443-51741-6,10.42.0.42,51741,172.217.12.132,443,6,22/06/2017 10:31:50,36531,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,629.6022556185158,54.74802222769702,36531.0,0.0,36531.0,36531.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.37401111384851,27.37401111384851,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1431,351,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.19.195-10.42.0.42-443-33424-6,10.42.0.42,33424,172.217.19.195,443,6,22/06/2017 10:32:04,119477,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.739623525866904,119477.0,0.0,119477.0,119477.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8.369811762933452,8.369811762933452,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,349,0,32,0,0,0,0,0,0,0,0,BENIGN
209.85.201.100-10.42.0.42-443-44004-6,10.42.0.42,44004,209.85.201.100,443,6,22/06/2017 10:32:11,87,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,264367.816091954,22988.505747126437,87.0,0.0,87.0,87.0,87.0,87.0,0.0,87.0,87.0,0,0,0,0,0,1,0,0,0,64,0,22988.505747126437,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1638,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.14-10.42.0.42-443-43996-6,10.42.0.42,43996,172.217.7.14,443,6,22/06/2017 10:32:26,36435,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,631.2611499931385,54.89227391244682,36435.0,0.0,36435.0,36435.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.44613695622341,27.44613695622341,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1594,362,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.3-46132-443-6,10.42.0.42,46132,31.13.71.3,443,6,22/06/2017 10:33:32,129331,1,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,239.69504604464512,30.928393038018726,43110.33333333333,37554.36675452448,68904.0,25.0,0,0,0,0,0,60427.0,30213.5,42692.98612770018,60402.0,25.0,0,0,0,0,32,96,7.732098259504681,23.196294778514044,0.0,31.0,6.2,13.863621460498695,192.2,0,0,0,0,1,1,0,0,3.0,7.75,0.0,10.333333333333334,32,0,0,0,0,0,0,1,0,3,31,1550,122,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.1-58934-443-6,10.42.0.42,58934,31.13.71.1,443,6,22/06/2017 10:33:32,218357,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,9.1593125020036,218357.0,0.0,218357.0,218357.0,218357.0,218357.0,0.0,218357.0,218357.0,0,0,0,0,0,0,0,0,0,64,0,9.1593125020036,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1547,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-104.244.43.35-56916-443-6,10.42.0.42,56916,104.244.43.35,443,6,22/06/2017 10:33:22,10283193,46,99,791.0,136631.0,467.0,0.0,17.195652173913047,75.94840926290172,1448.0,0.0,1380.1111111111115,276.26148102059335,13363.748010953406,14.100678651076567,71411.0625,829495.110059776,9955775.0,2.0,327394.0,7275.422222222223,15094.953615648708,69658.0,3.0,1.0259467E7,104688.43877551019,1006863.821437176,9969692.0,2.0,0,0,0,0,1492,3176,4.473318744479463,9.627359906597103,0.0,1448.0,941.2465753424658,679.6071031436937,461865.8146433632,0,0,0,1,0,0,0,0,2.0,947.7379310344828,17.195652173913043,1380.111111111111,1492,0,0,0,0,0,0,46,791,99,136631,65535,61,3,32,327394.0,0.0,327394.0,327394.0,9955775.0,0.0,9955775.0,9955775.0,BENIGN
10.42.0.42-104.244.43.35-56913-443-6,10.42.0.42,56913,104.244.43.35,443,6,22/06/2017 10:33:22,10295597,17,25,794.0,28808.0,470.0,0.0,46.705882352941174,122.19235077628753,1448.0,0.0,1152.32,524.5561393533902,2875.209664869361,4.07941375327725,251112.1219512195,1564528.836885712,1.0024271E7,4.0,271302.0,16956.375,22110.144446610928,70560.0,5.0,1.0271607E7,427983.625,2045916.2010144014,1.0032645E7,4.0,0,0,0,0,564,808,1.6511912810884108,2.4282224721888395,0.0,1448.0,688.4186046511629,684.8229952942007,468982.5348837209,0,0,0,1,0,0,0,0,1.0,704.8095238095239,46.705882352941174,1152.32,564,0,0,0,0,0,0,17,794,25,28808,65535,61,3,32,271302.0,0.0,271302.0,271302.0,1.0024271E7,0.0,1.0024271E7,1.0024271E7,BENIGN
10.42.0.42-104.244.43.35-56914-443-6,10.42.0.42,56914,104.244.43.35,443,6,22/06/2017 10:33:22,10317613,10,9,794.0,5835.0,470.0,0.0,79.4,153.8167741177795,1448.0,0.0,648.3333333333334,696.8780381099695,642.4935690067073,1.8415112100056477,573200.7222222222,2374544.8158346624,1.0087626E7,11.0,229961.0,25551.222222222223,24268.17948352213,75878.0,55.0,1.0294215E7,1286776.875,3557318.433690806,1.0090107E7,11.0,0,0,0,0,328,296,0.9692164263187619,0.8722947836868857,0.0,1448.0,331.45,549.9729634503097,302470.2605263158,0,0,0,1,0,0,0,0,0.0,348.89473684210526,79.4,648.3333333333334,328,0,0,0,0,0,0,10,794,9,5835,65535,61,3,32,229961.0,0.0,229961.0,229961.0,1.0087626E7,0.0,1.0087626E7,1.0087626E7,BENIGN
