Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.142-10.42.0.42-443-39723-6,10.42.0.42,39723,172.217.12.142,443,6,22/06/2017 03:53:36,37003,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,621.5712239548144,54.04967164824473,37003.0,0.0,37003.0,37003.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.024835824122366,27.024835824122366,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.142-10.42.0.42-443-55692-6,10.42.0.42,55692,172.217.12.142,443,6,22/06/2017 03:53:38,74,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,418918.91891891893,27027.027027027027,74.0,0.0,74.0,74.0,74.0,74.0,0.0,74.0,74.0,0,0,0,0,0,1,0,0,0,64,0,27027.027027027027,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1638,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.142-10.42.0.42-443-55410-6,10.42.0.42,55410,172.217.12.142,443,6,22/06/2017 03:53:39,36916,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,623.0360819157006,54.177050601365266,36916.0,0.0,36916.0,36916.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.088525300682633,27.088525300682633,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1682,383,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-106.11.94.6-33700-443-6,10.42.0.42,33700,106.11.94.6,443,6,22/06/2017 03:53:34,5805012,9,9,1003.0,4089.0,671.0,0.0,111.44444444444444,222.70334029326497,1452.0,0.0,454.33333333333326,594.5449940921209,877.1730359902788,3.1007687839404987,341471.29411764705,1198430.5425949162,4976946.0,8.0,827965.0,103495.625,136678.62580723283,283991.0,8.0,5554562.0,694320.25,1743568.8233566682,4999303.0,12.0,0,0,0,0,200,200,1.5503843919702494,1.5503843919702494,0.0,1452.0,267.99999999999994,461.2504742544987,212752.0,0,0,0,1,0,0,0,0,1.0,282.8888888888889,111.44444444444444,454.3333333333333,200,0,0,0,0,0,0,9,1003,9,4089,65535,16775,3,20,0,0,0,0,0,0,0,0,BENIGN
173.194.68.113-10.42.0.42-443-50650-6,10.42.0.42,50650,173.194.68.113,443,6,22/06/2017 03:53:41,60,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,383333.3333333333,33333.333333333336,60.0,0.0,60.0,60.0,60.0,60.0,0.0,60.0,60.0,0,0,0,0,0,1,0,0,0,64,0,33333.333333333336,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1638,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
173.194.68.113-10.42.0.42-443-50650-6,173.194.68.113,443,10.42.0.42,50650,6,22/06/2017 03:53:41,19,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,105263.15789473684,19.0,0.0,19.0,19.0,19.0,19.0,0.0,19.0,19.0,0,0,0,0,0,0,0,0,0,64,0,105263.15789473684,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,357,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.202-10.42.0.42-443-43994-6,10.42.0.42,43994,172.217.12.202,443,6,22/06/2017 03:53:42,37764,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,820.8876178370936,79.4407372100413,18882.0,26186.992534462603,37399.0,365.0,0,0,0,0,0,365.0,365.0,0.0,365.0,365.0,1,0,0,0,32,64,26.480245736680438,52.960491473360875,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,1538,426,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.196-10.42.0.42-443-47738-6,10.42.0.42,47738,172.217.7.196,443,6,22/06/2017 03:53:26,16286820,6,7,589.0,720.0,540.0,0.0,98.16666666666667,216.78783791224697,455.0,0.0,102.85714285714286,173.05531733276172,80.37173616457972,0.7981914210386067,1357235.0,4572414.066292136,1.5876102E7,8.0,1.6245166E7,3249033.2,7059187.669318241,1.5876102E7,47.0,1.6205051E7,2700841.833333333,6478566.433931119,1.5924517E7,8.0,1,0,0,0,204,224,0.368396040479357,0.42979538055924976,0.0,540.0,132.07142857142856,213.7487613228038,45688.53296703295,0,1,0,0,1,0,0,0,1.0,142.23076923076923,98.16666666666667,102.85714285714286,204,0,0,0,0,0,0,6,589,7,720,1424,360,2,32,369064.0,0.0,369064.0,369064.0,1.5876102E7,0.0,1.5876102E7,1.5876102E7,BENIGN
172.217.12.142-10.42.0.42-443-38279-6,10.42.0.42,38279,172.217.12.142,443,6,22/06/2017 03:53:36,9487600,8,10,1138.0,1234.0,867.0,0.0,142.25,301.0010678671138,499.0,0.0,123.4,191.25445528579633,250.0105400733589,1.8972132046039039,558094.1176470588,2159499.040986557,8937334.0,20.0,9450508.0,1350072.5714285714,3346400.341915367,8937334.0,278.0,9450526.0,1050058.4444444445,2986118.805991655,9011986.0,20.0,0,0,0,0,276,328,0.8432058687128462,1.0540073358910578,0.0,867.0,124.84210526315792,233.5054753481037,54524.807017543855,0,0,0,1,0,0,0,0,1.0,131.77777777777777,142.25,123.4,276,0,0,0,0,0,0,8,1138,10,1234,65535,362,4,32,513174.0,0.0,513174.0,513174.0,8937334.0,0.0,8937334.0,8937334.0,BENIGN
172.217.12.202-10.42.0.42-443-45094-6,10.42.0.42,45094,172.217.12.202,443,6,22/06/2017 03:53:48,36627,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.6045267152647,36627.0,0.0,36627.0,36627.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.30226335763235,27.30226335763235,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1637,358,0,32,0,0,0,0,0,0,0,0,BENIGN
