Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.46-10.42.0.42-443-49269-6,10.42.0.42,49269,172.217.10.46,443,6,22/06/2017 08:09:46,36607,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,628.2951348102822,81.95153932308028,18303.5,25583.830450110476,36394.0,213.0,0,0,0,0,0,213.0,213.0,0.0,213.0,213.0,1,0,0,0,32,64,27.317179774360095,54.63435954872019,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.67-10.42.0.42-443-56670-6,10.42.0.42,56670,172.217.10.67,443,6,22/06/2017 08:09:44,10232844,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39089817063565124,3410948.0,5754343.858993569,1.0055227E7,37421.0,177617.0,177617.0,0.0,177617.0,177617.0,1.0195423E7,1.0195423E7,0.0,1.0195423E7,1.0195423E7,0,0,0,0,72,72,0.19544908531782562,0.19544908531782562,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,72,0,0,0,0,0,0,2,0,2,0,65535,332,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.194-10.42.0.42-443-46974-6,10.42.0.42,46974,172.217.12.194,443,6,22/06/2017 08:10:08,79,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,291139.2405063291,25316.455696202534,79.0,0.0,79.0,79.0,79.0,79.0,0.0,79.0,79.0,0,0,0,0,0,1,0,0,0,64,0,25316.455696202534,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1549,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.194-10.42.0.42-443-46974-6,172.217.12.194,443,10.42.0.42,46974,6,22/06/2017 08:10:08,420,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4761.9047619047615,420.0,0.0,420.0,420.0,420.0,420.0,0.0,420.0,420.0,0,0,0,0,0,0,0,0,0,64,0,4761.9047619047615,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,349,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.202-10.42.0.42-443-59351-6,10.42.0.42,59351,172.217.6.202,443,6,22/06/2017 08:10:20,36896,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.20641803989593,36896.0,0.0,36896.0,36896.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.103209019947965,27.103209019947965,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2995,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.202-10.42.0.42-443-34483-6,10.42.0.42,34483,172.217.6.202,443,6,22/06/2017 08:10:20,37534,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.28502158043374,37534.0,0.0,37534.0,37534.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.64251079021687,26.64251079021687,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2905,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.202-10.42.0.42-443-46445-6,10.42.0.42,46445,172.217.6.202,443,6,22/06/2017 08:10:20,36693,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,844.8477911318234,81.7594636579184,18346.5,25638.984779043025,36476.0,217.0,0,0,0,0,0,217.0,217.0,0.0,217.0,217.0,1,0,0,0,32,64,27.253154552639465,54.50630910527893,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,3193,481,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.0.36-10.42.0.42-443-55616-6,10.42.0.42,55616,157.240.0.36,443,6,22/06/2017 08:09:44,60254708,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06638485410965729,2.0084902666666668E7,3.462555368555718E7,6.0067029E7,59951.0,187679.0,187679.0,0.0,187679.0,187679.0,6.0194757E7,6.0194757E7,0.0,6.0194757E7,6.0194757E7,0,0,0,0,72,72,0.033192427054828645,0.033192427054828645,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,72,0,0,0,0,0,0,2,0,2,0,65535,110,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.67-10.42.0.42-443-56670-6,10.42.0.42,56670,172.217.10.67,443,6,22/06/2017 08:09:54,53336233,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.03749796128271751,5.3336233E7,0.0,5.3336233E7,5.3336233E7,5.3336233E7,5.3336233E7,0.0,5.3336233E7,5.3336233E7,0,0,0,0,0,0,0,0,0,64,0,0.03749796128271751,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.0.36-10.42.0.42-443-55616-6,157.240.0.36,443,10.42.0.42,55616,6,22/06/2017 08:10:45,2551809,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.175636577815973,1275904.5,1671584.167269031,2457893.0,93916.0,0,0,0,0,0,2457893.0,2457893.0,0.0,2457893.0,2457893.0,0,0,0,0,32,76,0.39187885927199095,0.7837577185439819,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,110,1369,0,32,0,0,0,0,0,0,0,0,BENIGN
