Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.42-54.225.136.132-59085-443-6,54.225.136.132,443,10.42.0.42,59085,6,22/06/2017 10:46:26,5016214,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.179959626921819,0.5980606090569501,2508107.0,3493360.6432892093,4978286.0,37928.0,5016214.0,5016214.0,0.0,5016214.0,5016214.0,0,0,0,0,0,1,0,0,0,64,32,0.39870707270463346,0.19935353635231673,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,126,1641,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.23.148.99-45987-443-6,23.23.148.99,443,10.42.0.42,45987,6,22/06/2017 10:46:28,5012421,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.184636126933472,0.598513173574207,2506210.5,3219896.288053468,4783021.0,229400.0,5012421.0,5012421.0,0.0,5012421.0,5012421.0,0,0,0,0,0,1,0,0,0,64,32,0.3990087823828046,0.1995043911914023,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,136,1686,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-108.174.11.1-46030-80-6,10.42.0.42,46030,108.174.11.1,80,6,22/06/2017 10:46:34,402421,3,4,401.0,170.0,401.0,0.0,133.66666666666666,231.51745794503992,170.0,0.0,42.5,85.0,1418.912034908715,17.39471846648162,67070.16666666667,126599.91908752022,322893.0,26.0,363289.0,181644.5,199755.54436485612,322893.0,40396.0,364697.0,121565.66666666666,209493.52787695694,363467.0,26.0,0,0,0,0,104,136,7.454879342777837,9.939839123703784,0.0,401.0,71.37500000000001,145.86974375399836,21277.98214285714,0,0,0,1,0,0,0,0,1.0,81.57142857142857,133.66666666666666,42.5,104,0,0,0,0,0,0,3,401,4,170,65535,16,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-108.174.11.1-46030-80-6,10.42.0.42,46030,108.174.11.1,80,6,22/06/2017 10:46:34,139505,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,14.336403713128563,139505.0,0.0,139505.0,139505.0,139505.0,139505.0,0.0,139505.0,139505.0,0,0,0,0,0,0,0,0,0,64,0,14.336403713128563,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.23.148.99-45987-443-6,10.42.0.42,45987,23.23.148.99,443,6,22/06/2017 10:46:33,4369499,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,7.094634876904651,0.6865775687327083,2184749.5,3088740.7080654246,4368819.0,680.0,4369499.0,2184749.5,3088740.7080654246,4368819.0,680.0,0,0,0,0,0,0,0,0,0,96,0,0.6865775687327083,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,96,0,0,0,0,0,0,3,31,0,0,1686,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.138-10.42.0.42-443-52422-6,10.42.0.42,52422,172.217.12.138,443,6,22/06/2017 10:46:39,37208,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,833.1541603956139,80.62782197376909,18604.0,25843.33863880594,36878.0,330.0,0,0,0,0,0,330.0,330.0,0.0,330.0,330.0,1,0,0,0,32,64,26.875940657923028,53.751881315846056,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,2290,426,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.42-443-56261-6,10.42.0.42,56261,172.217.12.206,443,6,22/06/2017 10:46:39,36556,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,629.1716818032608,82.06587153955576,18278.0,25812.22594043373,36530.0,26.0,0,0,0,0,0,26.0,26.0,0.0,26.0,26.0,1,0,0,0,32,64,27.355290513185253,54.710581026370505,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1453,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.206-10.42.0.42-80-44619-6,172.217.6.206,80,10.42.0.42,44619,6,22/06/2017 10:46:46,246201,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8.12344385278695,246201.0,0.0,246201.0,246201.0,246201.0,246201.0,0.0,246201.0,246201.0,0,0,0,0,0,0,0,0,0,64,0,8.12344385278695,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,340,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.3-54615-443-6,10.42.0.42,54615,31.13.71.3,443,6,22/06/2017 10:46:50,100060,1,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,309.81411153308017,39.97601439136518,33353.33333333333,34634.94312588565,69164.0,28.0,0,0,0,0,0,30896.0,15448.0,21807.173131793126,30868.0,28.0,0,0,0,0,32,96,9.994003597841296,29.982010793523887,0.0,31.0,6.2,13.863621460498695,192.2,0,0,0,0,1,1,0,0,3.0,7.75,0.0,10.333333333333334,32,0,0,0,0,0,0,1,0,3,31,1550,122,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.0.17-10.42.0.42-443-39242-6,10.42.0.42,39242,157.240.0.17,443,6,22/06/2017 10:46:50,255826,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7.8178136702289835,255826.0,0.0,255826.0,255826.0,255826.0,255826.0,0.0,255826.0,255826.0,0,0,0,0,0,0,0,0,0,64,0,7.8178136702289835,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1547,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.138-10.42.0.42-443-46770-6,10.42.0.42,46770,172.217.12.138,443,6,22/06/2017 10:46:50,37024,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.019014693172,37024.0,0.0,37024.0,37024.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.009507346586,27.009507346586,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
