Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.138-10.42.0.151-443-53452-6,10.42.0.151,53452,172.217.12.138,443,6,22/06/2017 12:02:25,36969,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.09938056209256,36969.0,0.0,36969.0,36969.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.04969028104628,27.04969028104628,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2034,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.151-443-44807-6,10.42.0.151,44807,172.217.11.14,443,6,22/06/2017 12:02:28,648,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,47839.5061728395,3086.4197530864194,648.0,0.0,648.0,648.0,648.0,648.0,0.0,648.0,648.0,0,0,0,0,0,1,0,0,0,64,0,3086.4197530864194,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1635,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.151-443-43050-6,10.42.0.151,43050,172.217.11.14,443,6,22/06/2017 12:02:28,36767,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,625.5609649957843,54.39660565180733,36767.0,0.0,36767.0,36767.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.198302825903664,27.198302825903664,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1679,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.42-10.42.0.151-443-37828-6,10.42.0.151,37828,172.217.10.42,443,6,22/06/2017 12:02:29,400921,11,9,1585.0,4589.0,1308.0,0.0,144.0909090909091,389.717193499454,1418.0,0.0,509.8888888888889,577.9585721408682,15399.542553271092,49.88513946637866,21101.105263157897,26061.96917369304,83092.0,10.0,364541.0,36454.1,39778.51943630437,97861.0,169.0,363839.0,45479.875,62186.538140012955,179894.0,10.0,0,0,0,0,360,296,27.436826706508263,22.448312759870397,0.0,1418.0,294.00000000000006,497.20176990835415,247209.59999999995,0,0,0,1,0,0,0,0,0.0,308.7,144.0909090909091,509.8888888888889,360,0,0,0,0,0,0,11,1585,9,4589,65535,362,4,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.151-443-48306-6,10.42.0.151,48306,172.217.11.14,443,6,22/06/2017 12:02:30,36564,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,629.0340225358276,54.69861065528936,36564.0,0.0,36564.0,36564.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.34930532764468,27.34930532764468,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1503,426,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.138-10.42.0.151-443-59490-6,10.42.0.151,59490,172.217.12.138,443,6,22/06/2017 12:02:31,36433,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.89528723959048,36433.0,0.0,36433.0,36433.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.44764361979524,27.44764361979524,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1857,378,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.138-10.42.0.151-443-56189-6,10.42.0.151,56189,172.217.12.138,443,6,22/06/2017 12:02:31,36874,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.23875901719369,36874.0,0.0,36874.0,36874.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.119379508596847,27.119379508596847,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,340,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.151-443-49035-6,10.42.0.151,49035,172.217.11.14,443,6,22/06/2017 12:02:32,404938,10,10,1146.0,7285.0,787.0,0.0,114.6,249.04314664107682,1418.0,0.0,728.5,687.0302031206488,20820.47128202342,49.39027703006386,21312.526315789477,25180.4873670256,81292.0,6.0,348064.0,38673.77777777778,40723.44986545767,98543.0,75.0,367815.0,40868.333333333336,50074.01682759233,120861.0,6.0,0,0,0,0,340,328,24.69513851503193,24.69513851503193,0.0,1418.0,401.4761904761905,585.6579734834676,342995.26190476195,0,0,0,1,0,0,0,0,1.0,421.55,114.6,728.5,340,0,0,0,0,0,0,10,1146,10,7285,65535,352,3,32,0,0,0,0,0,0,0,0,BENIGN
206.126.112.141-10.42.0.151-443-51430-6,10.42.0.151,51430,206.126.112.141,443,6,22/06/2017 12:02:32,501746,329,1000,1029.0,1440714.0,640.0,0.0,3.1276595744680855,38.13657414469099,1448.0,0.0,1440.714,96.59691075374604,2873451.905944442,2648.7505630338856,377.8207831325302,2238.849461517823,55794.0,-1.0,501746.0,1529.7134146341484,7126.994682334297,108587.0,1.0,450636.0,451.0870870870873,3054.1410853071866,62105.0,1.0,0,0,0,0,10536,32008,655.7102597728731,1993.0403032610125,0.0,1448.0,1084.0172932330831,627.0695629043363,393216.2367210353,0,0,0,1,0,0,0,0,3.0,1084.8329571106094,3.127659574468085,1440.714,10536,0,0,0,0,0,0,329,1029,1000,1440714,65535,123,4,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.132-10.42.0.151-443-54701-6,10.42.0.151,54701,172.217.7.132,443,6,22/06/2017 12:02:40,41891,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,549.0439473872669,47.74295194671887,41891.0,0.0,41891.0,41891.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,23.871475973359434,23.871475973359434,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1386,349,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.138-10.42.0.151-443-43898-6,10.42.0.151,43898,172.217.12.138,443,6,22/06/2017 12:02:41,37421,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,828.4118543064054,80.16888912642634,18710.5,26399.83167559975,37378.0,43.0,0,0,0,0,0,43.0,43.0,0.0,43.0,43.0,1,0,0,0,32,64,26.722963042142112,53.445926084284224,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,4028,468,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.151-443-45319-6,10.42.0.151,45319,172.217.11.14,443,6,22/06/2017 12:02:27,14550030,11,10,1176.0,5072.0,895.0,0.0,106.9090909090909,267.0173981393177,1418.0,0.0,507.1999999999999,624.396206124142,429.4149221685454,1.4432959932041378,727501.5,3152564.386250301,1.4120943E7,15.0,1.4513355E7,1451335.4999999998,4451797.67841989,1.4120943E7,66.0,1.4513355E7,1612595.0,4715445.66348736,1.4186383E7,15.0,0,0,0,0,360,328,0.7560121869164531,0.6872838062876846,0.0,1418.0,284.0,495.0050504792855,245030.0,0,0,0,1,0,0,0,0,0.0,297.5238095238095,106.9090909090909,507.2,360,0,0,0,0,0,0,11,1176,10,5072,65535,362,4,32,392412.0,0.0,392412.0,392412.0,1.4120943E7,0.0,1.4120943E7,1.4120943E7,BENIGN
