Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.106-10.42.0.151-443-47590-6,10.42.0.151,47590,172.217.10.106,443,6,22/06/2017 06:26:51,36955,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.11987552428629,36955.0,0.0,36955.0,36955.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.059937762143147,27.059937762143147,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2034,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.10-10.42.0.151-443-39583-6,10.42.0.151,39583,172.217.7.10,443,6,22/06/2017 06:26:53,36613,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.62540627645918,36613.0,0.0,36613.0,36613.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.31270313822959,27.31270313822959,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1857,378,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.238-10.42.0.151-443-54220-6,10.42.0.151,54220,172.217.9.238,443,6,22/06/2017 06:26:58,37172,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,618.7452921553859,53.80393844829442,37172.0,0.0,37172.0,37172.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.90196922414721,26.90196922414721,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1591,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.110-10.42.0.151-443-47902-6,10.42.0.151,47902,172.217.10.110,443,6,22/06/2017 06:27:01,236329,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8.462778584092515,236329.0,0.0,236329.0,236329.0,236329.0,236329.0,0.0,236329.0,236329.0,0,0,0,0,0,0,0,0,0,64,0,8.462778584092515,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.234-10.42.0.151-443-53032-6,10.42.0.151,53032,172.217.10.234,443,6,22/06/2017 06:27:01,37204,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.75766046661649,37204.0,0.0,37204.0,37204.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.878830233308246,26.878830233308246,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,340,0,32,0,0,0,0,0,0,0,0,BENIGN
180.149.134.142-10.42.0.151-80-38453-6,10.42.0.151,38453,180.149.134.142,80,6,22/06/2017 06:27:01,927531,3,4,398.0,470.0,398.0,0.0,132.66666666666666,229.78540713747105,470.0,0.0,117.5,235.0,935.8177785971574,7.546917569331915,154588.5,176894.35724946117,406926.0,20.0,673565.0,336782.5,99197.88901231719,406926.0,266639.0,662960.0,220986.6666666667,382340.1768822279,662475.0,20.0,0,0,0,0,80,84,3.234393243999392,4.3125243253325225,0.0,470.0,108.5,201.8224113280924,40732.28571428572,0,0,0,1,0,0,0,0,1.0,124.0,132.66666666666666,117.5,80,0,0,0,0,0,0,3,398,4,470,65535,15544,1,20,0,0,0,0,0,0,0,0,BENIGN
180.149.134.142-10.42.0.151-80-38453-6,10.42.0.151,38453,180.149.134.142,80,6,22/06/2017 06:27:02,44836,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,66.91051833348202,22418.0,31630.300536036644,44784.0,52.0,44836.0,22418.0,31630.300536036644,44784.0,52.0,0,0,0,0,0,0,0,0,0,60,0,66.91051833348202,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,60,0,0,0,0,0,0,3,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
172.217.10.110-10.42.0.151-443-47902-6,10.42.0.151,47902,172.217.10.110,443,6,22/06/2017 06:27:02,964908,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.0727364681399676,964908.0,0.0,964908.0,964908.0,964908.0,964908.0,0.0,964908.0,964908.0,0,0,0,0,0,0,0,0,0,64,0,2.0727364681399676,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-114.134.80.163-54011-80-6,10.42.0.151,54011,114.134.80.163,80,6,22/06/2017 06:27:02,573805,3,4,414.0,498.0,414.0,0.0,138.0,239.02301144450507,498.0,0.0,124.5,249.0,1589.3901238225528,12.199266301269596,95634.16666666667,120147.43780441873,248467.0,26.0,325237.0,162618.5,202363.3541738721,305711.0,19526.0,325338.0,108446.0,187611.4413488687,325081.0,26.0,0,0,0,0,80,92,5.228256986258398,6.971009315011197,0.0,498.0,114.0,212.27744648387468,45061.71428571428,0,0,0,1,0,0,0,0,1.0,130.28571428571428,138.0,124.5,80,0,0,0,0,0,0,3,414,4,498,65535,123,1,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-114.134.80.163-54011-80-6,10.42.0.151,54011,114.134.80.163,80,6,22/06/2017 06:27:03,45369,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,66.12444620776301,22684.5,20156.078797722537,36937.0,8432.0,45369.0,22684.5,20156.078797722537,36937.0,8432.0,0,0,0,0,0,0,0,0,0,60,0,66.12444620776301,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,60,0,0,0,0,0,0,3,0,0,0,1386,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
