Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.202-10.42.0.151-443-45186-6,10.42.0.151,45186,172.217.12.202,443,6,22/06/2017 10:54:57,37290,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.63368195226603,37290.0,0.0,37290.0,37290.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.816840976133015,26.816840976133015,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1857,378,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.202-10.42.0.151-443-54720-6,10.42.0.151,54720,172.217.12.202,443,6,22/06/2017 10:55:03,37093,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,835.7372010891543,80.87779365378913,18546.5,26165.072224245818,37048.0,45.0,0,0,0,0,0,45.0,45.0,0.0,45.0,45.0,1,0,0,0,32,64,26.95926455126304,53.91852910252608,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,3984,468,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.37-33690-443-6,31.13.71.37,443,10.42.0.151,33690,6,22/06/2017 10:55:04,46,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,913043.4782608695,43478.260869565216,46.0,0.0,46.0,46.0,46.0,46.0,0.0,46.0,46.0,0,0,0,0,0,1,0,0,0,64,0,43478.260869565216,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,133,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.37-33690-443-6,31.13.71.37,443,10.42.0.151,33690,6,22/06/2017 10:55:04,15319,1,4,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,10.5,21.0,2741.6933220184087,326.39206214504867,3829.7500000000005,7140.361446266802,14540.0,203.0,0,0,0,0,0,779.0,259.6666666666667,64.5936013342911,330.0,203.0,0,0,0,0,32,140,65.27841242900973,261.11364971603894,0.0,42.0,7.0,17.146428199482248,294.0,0,0,0,0,1,1,0,0,4.0,8.4,0.0,10.5,32,0,0,0,0,0,0,1,0,4,42,133,1631,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-23.194.108.102-35952-443-6,23.194.108.102,443,10.42.0.151,35952,6,22/06/2017 10:55:12,39,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,794871.7948717949,51282.05128205128,39.0,0.0,39.0,39.0,39.0,39.0,0.0,39.0,39.0,0,0,0,0,0,1,0,0,0,64,0,51282.05128205128,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,972,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.142-10.42.0.151-80-45259-6,10.42.0.151,45259,172.217.12.142,80,6,22/06/2017 10:55:13,349528,6,4,187.0,1677.0,187.0,0.0,31.166666666666664,76.34243031674238,1418.0,0.0,419.25,676.9349427136013,5332.9060904991875,28.610011215124395,38836.444444444445,40187.75224216674,98598.0,32.0,349528.0,69905.6,93369.81008762949,203604.0,109.0,238059.0,79353.0,71663.50829397065,139429.0,32.0,0,0,0,0,200,136,17.16600672907464,11.444004486049758,0.0,1418.0,169.45454545454547,423.8998380835651,179691.07272727272,0,0,0,1,0,0,0,0,0.0,186.4,31.166666666666668,419.25,200,0,0,0,0,0,0,6,187,4,1677,65535,340,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-118.89.22.209-46371-80-6,10.42.0.151,46371,118.89.22.209,80,6,22/06/2017 10:55:10,5810530,6,4,388.0,456.0,388.0,0.0,64.66666666666666,158.40033669997885,228.0,0.0,114.0,131.63586137523467,145.2535310892466,1.7210134015313576,645614.4444444445,1406283.372670504,4321504.0,8882.0,5810530.0,1162106.0,1797368.9243136758,4321504.0,21842.0,1215961.0,405320.3333333334,466920.4416796649,919992.0,8882.0,0,0,0,0,152,92,1.0326080409188145,0.6884053606125431,0.0,388.0,76.72727272727272,137.75129103503235,18975.418181818182,0,0,0,1,0,0,0,0,0.0,84.4,64.66666666666667,114.0,152,0,0,0,0,0,0,6,388,4,456,65535,31,1,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-47.89.68.225-42758-443-6,10.42.0.151,42758,47.89.68.225,443,6,22/06/2017 10:55:17,219975,8,5,327.0,3059.0,201.0,0.0,40.875,78.29511479013235,1460.0,0.0,611.8,776.3737502002499,15392.65825662007,59.09762473008296,18331.25,25923.89064559071,61804.0,5.0,219975.0,31425.0,34329.08547670134,79806.0,149.0,66165.0,16541.25,32224.70555722736,64871.0,5.0,0,0,0,0,180,112,36.36776906466644,22.729855665416522,0.0,1460.0,241.85714285714286,520.3452784365481,270759.2087912088,0,0,0,1,0,0,0,0,0.0,260.46153846153845,40.875,611.8,180,0,0,0,0,0,0,8,327,5,3059,65535,31,2,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-47.89.68.225-42759-443-6,10.42.0.151,42759,47.89.68.225,443,6,22/06/2017 10:55:17,220440,8,5,327.0,3059.0,201.0,0.0,40.875,78.29511479013235,1460.0,0.0,611.8,776.3737502002499,15360.188713482126,58.97296316457993,18370.0,25038.556413514085,62041.0,6.0,220440.0,31491.42857142857,33113.57117485791,80017.0,46.0,67158.0,16789.5,32414.376856574,65397.0,6.0,0,0,0,0,180,112,36.29105425512611,22.68190890945382,0.0,1460.0,241.85714285714286,520.3452784365481,270759.2087912088,0,0,0,1,0,0,0,0,0.0,260.46153846153845,40.875,611.8,180,0,0,0,0,0,0,8,327,5,3059,65535,31,2,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-47.89.68.225-42760-443-6,10.42.0.151,42760,47.89.68.225,443,6,22/06/2017 10:55:17,220885,8,5,327.0,3059.0,201.0,0.0,40.875,78.29511479013235,1460.0,0.0,611.8,776.3737502002499,15329.24372410983,58.85415487697218,18407.083333333332,24577.944789655085,61682.0,6.0,220885.0,31555.0,32598.110860395984,79986.0,18.0,68094.0,17023.5,32270.851600166985,65395.0,6.0,0,0,0,0,180,112,36.21794146275211,22.63621341422007,0.0,1460.0,241.85714285714286,520.3452784365481,270759.2087912088,0,0,0,1,0,0,0,0,0.0,260.46153846153845,40.875,611.8,180,0,0,0,0,0,0,8,327,5,3059,65535,31,2,20,0,0,0,0,0,0,0,0,BENIGN
