Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.202-10.42.0.211-443-56908-6,10.42.0.211,56908,172.217.12.202,443,6,23/06/2017 10:50:34,37242,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.702808656892756,37242.0,0.0,37242.0,37242.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.851404328446378,26.851404328446378,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4393,383,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-107.22.216.237-58898-443-6,107.22.216.237,443,10.42.0.211,58898,6,23/06/2017 10:50:31,5010264,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.18729871320154,0.5987708432130522,2505132.0,3301144.9785321457,4839394.0,170870.0,5010264.0,5010264.0,0.0,5010264.0,5010264.0,0,0,0,0,0,1,0,0,0,64,32,0.3991805621420348,0.1995902810710174,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,117,1641,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.235.121.103-54381-443-6,54.235.121.103,443,10.42.0.211,54381,6,23/06/2017 10:50:31,5012830,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.184131518523468,0.5984643405022712,2506415.0,3533727.9552135873,5005138.0,7692.0,5012830.0,5012830.0,0.0,5012830.0,5012830.0,0,0,0,0,0,1,0,0,0,64,32,0.3989762270015141,0.19948811350075704,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,136,1686,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.235.121.103-54381-443-6,10.42.0.211,54381,54.235.121.103,443,6,23/06/2017 10:50:36,1782519,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,17.391118972644893,1.6830115134817638,891259.5,1259244.7473150324,1781680.0,839.0,1782519.0,891259.5,1259244.7473150324,1781680.0,839.0,0,0,0,0,0,0,0,0,0,96,0,1.6830115134817638,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,96,0,0,0,0,0,0,3,31,0,0,1686,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.211-443-56657-6,10.42.0.211,56657,172.217.3.106,443,6,23/06/2017 10:50:48,37396,1,1,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,828.9656647769815,53.48165579206332,37396.0,0.0,37396.0,37396.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.74082789603166,26.74082789603166,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,1.0,31.0,31.0,0.0,32,0,0,0,0,0,0,1,31,1,0,1548,391,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.202-10.42.0.211-443-45357-6,172.217.12.202,443,10.42.0.211,45357,6,23/06/2017 10:51:38,47,2,0,55.0,0.0,55.0,0.0,27.5,38.890872965260115,0,0,0,0,1170212.7659574468,42553.19148936171,47.0,0.0,47.0,47.0,47.0,47.0,0.0,47.0,47.0,0,0,0,0,0,1,0,0,0,64,0,42553.19148936171,0.0,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,0,1,0,0,1,0,0,0,0.0,55.0,27.5,0.0,64,0,0,0,0,0,0,2,55,0,0,362,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.202-10.42.0.211-443-45357-6,10.42.0.211,45357,172.217.12.202,443,6,23/06/2017 10:51:38,25010,4,0,61.0,0.0,38.0,0.0,15.25,18.64358692240668,0,0,0,0,2439.0243902439024,159.93602558976409,8336.666666666668,10811.507403379666,20575.0,83.0,25010.0,8336.666666666668,10811.507403379666,20575.0,83.0,0,0,0,0,0,0,0,0,0,128,0,159.93602558976409,0.0,0.0,38.0,12.2,17.527121840165314,307.2,0,0,0,0,1,0,0,0,0.0,15.25,15.25,0.0,128,0,0,0,0,0,0,4,61,0,0,1866,-1,2,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.225.186.46-52650-443-6,10.42.0.211,52650,54.225.186.46,443,6,23/06/2017 10:50:38,65868980,12,11,1562.0,6120.0,1180.0,0.0,130.16666666666666,339.85179479332226,1448.0,0.0,556.3636363636364,668.050488021268,116.62545859978401,0.34917801975983237,2994044.5454545454,1.282388842177618E7,6.0212045E7,18.0,6.0861375E7,5532852.2727272725,1.8137484913874984E7,6.021853E7,291.0,6.5817897E7,6581789.7,1.892323331158928E7,6.0255093E7,18.0,0,0,0,0,392,360,0.18217983639643429,0.16699818336339808,0.0,1448.0,320.08333333333337,547.0391383078361,299251.81884057977,0,0,0,1,0,0,0,0,0.0,334.0,130.16666666666666,556.3636363636364,392,0,0,0,0,0,0,12,1562,11,6120,65535,128,3,32,642845.0,0.0,642845.0,642845.0,6.0212045E7,0.0,6.0212045E7,6.0212045E7,BENIGN
10.42.0.211-31.13.71.7-51497-443-6,10.42.0.211,51497,31.13.71.7,443,6,23/06/2017 10:50:37,66826894,46,97,1366.0,106412.0,330.0,0.0,29.695652173913043,75.27693156021154,1398.0,0.0,1097.0309278350514,532.3270347729598,1612.7937952645234,2.139857046176649,470611.9295774648,5450651.203147784,6.4960236E7,4.0,1866601.0,41480.022222222215,125713.12218327758,659965.0,10.0,6.6797149E7,695803.6354166667,6633280.29580178,6.5005821E7,4.0,0,0,0,0,1480,3112,0.6883456232456352,1.4515114229310135,0.0,1398.0,748.4583333333333,666.7381918216221,444539.8164335661,0,0,0,1,0,0,0,0,2.0,753.6923076923077,29.695652173913043,1097.0309278350514,1480,0,0,0,0,0,0,46,1366,97,106412,65535,126,10,32,1866601.0,0.0,1866601.0,1866601.0,6.4960236E7,0.0,6.4960236E7,6.4960236E7,BENIGN
10.42.0.211-31.13.71.7-51497-443-6,31.13.71.7,443,10.42.0.211,51497,6,23/06/2017 10:51:44,94219,2,0,60.0,0.0,60.0,0.0,30.0,42.42640687119285,0,0,0,0,636.8142306753415,21.227141022511383,94219.0,0.0,94219.0,94219.0,94219.0,94219.0,0.0,94219.0,94219.0,0,0,0,0,0,0,0,0,0,64,0,21.227141022511383,0.0,0.0,60.0,20.0,34.64101615137755,1200.0,0,0,0,0,1,1,0,0,0.0,30.0,30.0,0.0,64,0,0,0,0,0,0,2,60,0,0,126,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
