Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.211-31.13.71.3-47257-443-6,10.42.0.211,47257,31.13.71.3,443,6,23/06/2017 05:05:39,37604,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,824.3803850654186,79.7787469418147,18802.0,26362.355016196863,37443.0,161.0,0,0,0,0,0,161.0,161.0,0.0,161.0,161.0,0,0,0,0,32,64,26.592915647271568,53.185831294543135,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,1550,122,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.80.8-40529-443-6,10.42.0.211,40529,31.13.80.8,443,6,23/06/2017 05:05:39,255224,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7.836253643857944,255224.0,0.0,255224.0,255224.0,255224.0,255224.0,0.0,255224.0,255224.0,0,0,0,0,0,0,0,0,0,64,0,7.836253643857944,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1547,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.80.8-40529-443-6,10.42.0.211,40529,31.13.80.8,443,6,23/06/2017 05:05:39,1033359,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.9354357972398752,1033359.0,0.0,1033359.0,1033359.0,1033359.0,1033359.0,0.0,1033359.0,1033359.0,0,0,0,0,0,0,0,0,0,64,0,1.9354357972398752,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1547,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.80.8-40529-443-6,10.42.0.211,40529,31.13.80.8,443,6,23/06/2017 05:05:42,4163023,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.4804201177846003,4163023.0,0.0,4163023.0,4163023.0,4163023.0,4163023.0,0.0,4163023.0,4163023.0,0,0,0,0,0,0,0,0,0,64,0,0.4804201177846003,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1547,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
192.243.250.68-10.42.0.211-443-44944-6,10.42.0.211,44944,192.243.250.68,443,6,23/06/2017 05:05:51,3301,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,9391.093607997576,605.8770069675855,3301.0,0.0,3301.0,3301.0,3301.0,3301.0,0.0,3301.0,3301.0,0,0,0,0,0,1,0,0,0,64,0,605.8770069675855,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,65535,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
192.243.250.68-10.42.0.211-443-44944-6,192.243.250.68,443,10.42.0.211,44944,6,23/06/2017 05:05:51,58,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,34482.75862068965,58.0,0.0,58.0,58.0,58.0,58.0,0.0,58.0,58.0,0,0,0,0,0,0,0,0,0,64,0,34482.75862068965,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,6021,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.243.91.163-48291-443-6,10.42.0.211,48291,54.243.91.163,443,6,23/06/2017 05:05:52,290,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,106896.55172413793,6896.551724137931,290.0,0.0,290.0,290.0,290.0,290.0,0.0,290.0,290.0,0,0,0,0,0,1,0,0,0,64,0,6896.551724137931,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1641,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.243.91.163-48291-443-6,54.243.91.163,443,10.42.0.211,48291,6,23/06/2017 05:05:52,519,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,59730.25048169556,5780.346820809248,259.5,351.4320702497141,508.0,11.0,519.0,259.5,351.4320702497141,508.0,11.0,0,0,0,0,0,0,0,0,0,96,0,5780.346820809248,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,96,0,0,0,0,0,0,3,31,0,0,126,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
192.243.232.58-10.42.0.211-80-40886-6,192.243.232.58,80,10.42.0.211,40886,6,23/06/2017 05:05:48,4910521,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6109331372373725,2455260.5,3155999.2908783266,4686889.0,223632.0,0,0,0,0,0,4686889.0,4686889.0,0.0,4686889.0,4686889.0,0,0,0,0,20,40,0.2036443790791242,0.4072887581582484,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,2,0,2048,1403,0,20,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.211-443-41427-6,10.42.0.211,41427,172.217.12.170,443,6,23/06/2017 05:05:53,36547,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.7240539579172,36547.0,0.0,36547.0,36547.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.3620269789586,27.3620269789586,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2995,362,0,32,0,0,0,0,0,0,0,0,BENIGN
