Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.7.170-10.42.0.211-443-52974-6,10.42.0.211,52974,172.217.7.170,443,6,23/06/2017 10:17:33,42243,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.345122268778255,42243.0,0.0,42243.0,42243.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,23.672561134389127,23.672561134389127,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4352,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-10.42.0.211-443-40148-6,10.42.0.211,40148,172.217.10.238,443,6,23/06/2017 10:17:34,37630,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,611.2144565506245,53.14908317831518,37630.0,0.0,37630.0,37630.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.57454158915759,26.57454158915759,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1453,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-10.42.0.211-443-47531-6,10.42.0.211,47531,172.217.10.238,443,6,23/06/2017 10:17:35,36998,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,621.6552246067355,54.0569760527596,36998.0,0.0,36998.0,36998.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.0284880263798,27.0284880263798,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1453,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-10.42.0.211-443-60362-6,10.42.0.211,60362,172.217.10.238,443,6,23/06/2017 10:17:35,36741,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,626.0036471516834,54.43509975232029,36741.0,0.0,36741.0,36741.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.217549876160145,27.217549876160145,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,468,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-10.42.0.211-443-55652-6,10.42.0.211,55652,172.217.10.238,443,6,23/06/2017 10:17:41,211,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,109004.73933649289,9478.67298578199,211.0,0.0,211.0,211.0,211.0,211.0,0.0,211.0,211.0,0,0,0,0,0,1,0,0,0,64,0,9478.67298578199,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1486,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-10.42.0.211-443-55652-6,172.217.10.238,443,10.42.0.211,55652,6,23/06/2017 10:17:41,314,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,6369.426751592357,314.0,0.0,314.0,314.0,314.0,314.0,0.0,314.0,314.0,0,0,0,0,0,0,0,0,0,64,0,6369.426751592357,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,426,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-66.198.24.253-35964-80-6,10.42.0.211,35964,66.198.24.253,80,6,23/06/2017 10:17:40,10046195,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3981606966617709,3348731.6666666665,5767608.167961857,1.0008566E7,2722.0,1.0046195E7,5023097.5,7050517.16748385,1.0008566E7,37629.0,0,0,0,0,0,0,0,0,0,80,32,0.2986205224963282,0.09954017416544272,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,3,0,1,0,65535,14600,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-47.88.68.22-37584-443-6,10.42.0.211,37584,47.88.68.22,443,6,23/06/2017 10:17:45,5320665,7,9,739.0,3637.0,402.0,0.0,105.57142857142858,154.9105732811215,1452.0,0.0,404.1111111111111,610.0236561897507,822.4535842794087,3.007142904129465,354711.0,1283030.456994522,4991182.0,6.0,329222.0,54870.33333333333,44449.16259578651,98084.0,1921.0,5232422.0,654052.75,1756670.8376100636,5000083.0,6.0,0,0,0,0,160,200,1.3156250205566409,1.6915178835728242,0.0,1452.0,257.4117647058824,470.5283013304739,221396.8823529412,0,0,0,1,0,0,0,0,1.0,273.5,105.57142857142857,404.1111111111111,160,0,0,0,0,0,0,7,739,9,3637,65535,16616,3,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-106.11.92.1-36705-443-6,10.42.0.211,36705,106.11.92.1,443,6,23/06/2017 10:17:46,5871159,8,9,1081.0,3725.0,743.0,0.0,135.125,258.2354614909203,1452.0,0.0,413.88888888888886,610.6724663116155,818.5777288606901,2.895510068795616,366947.4375,1237504.1362372339,4991097.0,18.0,880016.0,125716.57142857142,144031.28724558096,280987.0,346.0,5598837.0,699854.625,1742077.1598920096,4999456.0,18.0,0,0,0,0,180,200,1.3625929735508782,1.532917095244738,0.0,1452.0,267.00000000000006,476.1839733449544,226751.17647058822,0,0,0,1,0,0,0,0,1.0,282.70588235294116,135.125,413.8888888888889,180,0,0,0,0,0,0,8,1081,9,3725,65535,17089,3,20,0,0,0,0,0,0,0,0,BENIGN
172.217.10.67-10.42.0.211-443-34083-6,10.42.0.211,34083,172.217.10.67,443,6,23/06/2017 10:17:52,37008,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.042369217466494,37008.0,0.0,37008.0,37008.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.021184608733247,27.021184608733247,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1775,349,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-47.88.68.22-37584-443-6,10.42.0.211,37584,47.88.68.22,443,6,23/06/2017 10:17:51,3985261,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.501849188798425,3985261.0,0.0,3985261.0,3985261.0,3985261.0,3985261.0,0.0,3985261.0,3985261.0,0,0,0,0,0,0,0,0,0,40,0,0.501849188798425,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-106.11.92.1-36705-443-6,10.42.0.211,36705,106.11.92.1,443,6,23/06/2017 10:17:52,2736597,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.7308346826368661,2736597.0,0.0,2736597.0,2736597.0,2736597.0,2736597.0,0.0,2736597.0,2736597.0,0,0,0,0,0,0,0,0,0,40,0,0.7308346826368661,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
172.217.7.170-10.42.0.211-443-60380-6,10.42.0.211,60380,172.217.7.170,443,6,23/06/2017 10:17:58,130,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,238461.53846153847,15384.615384615387,130.0,0.0,130.0,130.0,130.0,130.0,0.0,130.0,130.0,0,0,0,0,0,1,0,0,0,64,0,15384.615384615387,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1593,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.170-10.42.0.211-443-60380-6,172.217.7.170,443,10.42.0.211,60380,6,23/06/2017 10:17:58,50,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,40000.0,50.0,0.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,0,0,0,0,0,0,0,0,0,64,0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,362,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.170-10.42.0.211-443-53722-6,10.42.0.211,53722,172.217.7.170,443,6,23/06/2017 10:17:33,25226672,12,9,2844.0,4289.0,1368.0,0.0,237.00000000000003,414.23467218035194,1418.0,0.0,476.55555555555554,612.4175681491981,282.75628271537363,0.8324522552955063,1261333.6,5551729.374444862,2.4847862E7,25.0,2.5183727E7,2289429.727272727,7481852.49200413,2.4847862E7,105.0,2.5183977E7,3147997.125,8804023.694898542,2.493673E7,25.0,0,0,0,0,392,296,0.4756870030260036,0.3567652522695027,0.0,1418.0,324.22727272727275,502.0528270267394,252057.04112554112,0,0,0,1,0,0,0,0,0.0,339.6666666666667,237.0,476.55555555555554,392,0,0,0,0,0,0,12,2844,9,4289,65535,391,6,32,335865.0,0.0,335865.0,335865.0,2.4847862E7,0.0,2.4847862E7,2.4847862E7,BENIGN
198.11.188.78-10.42.0.211-443-57230-6,10.42.0.211,57230,198.11.188.78,443,6,23/06/2017 10:17:45,15350284,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2605814980361275,5116761.333333333,8666876.774104344,1.5123608E7,3712.0,1.5350284E7,7675142.0,1.0533721636074878E7,1.5123608E7,226676.0,0,0,0,0,0,0,0,0,0,80,40,0.19543612352709566,0.06514537450903188,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,3,0,1,0,65535,12960,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-64.71.142.124-57482-443-6,10.42.0.211,57482,64.71.142.124,443,6,23/06/2017 10:17:46,14613965,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2737107964881536,4871321.666666667,8371204.101841165,1.453747E7,3028.0,1.4613965E7,7306982.5,1.0225453485069133E7,1.453747E7,76495.0,0,0,0,0,0,0,0,0,0,80,32,0.20528309736611522,0.0684276991220384,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,3,0,1,0,65535,14600,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-47.88.68.22-37585-443-6,10.42.0.211,37585,47.88.68.22,443,6,23/06/2017 10:17:45,15084074,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26518034849205857,5028024.666666667,8630284.914875658,1.4993297E7,2631.0,1.5084074E7,7542037.0,1.0537672948768148E7,1.4993297E7,90777.0,0,0,0,0,0,0,0,0,0,80,40,0.19888526136904394,0.06629508712301464,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,3,0,1,0,65535,12960,0,20,0,0,0,0,0,0,0,0,BENIGN
