Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.151-52.179.153.195-53181-443-6,10.42.0.151,53181,52.179.153.195,443,6,23/06/2017 06:50:16,9434672,10,6,1290.0,4182.0,869.0,0.0,129.0,274.3469012440677,1448.0,0.0,697.0,639.0317675984504,579.9883663152253,1.6958724161263898,628978.1333333334,2295741.697662493,8926884.0,7.0,9434672.0,1048296.8888888889,2954912.0762100285,8926884.0,109.0,379083.0,75816.6,78430.07527281865,178470.0,7.0,0,0,0,0,328,200,1.0599202600789936,0.6359521560473962,0.0,1448.0,321.88235294117646,502.4395339681359,252445.4852941176,0,0,0,1,0,0,0,0,0.0,342.0,129.0,697.0,328,0,0,0,0,0,0,10,1290,6,4182,65535,510,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-13.107.3.128-36372-443-6,10.42.0.151,36372,13.107.3.128,443,6,23/06/2017 06:50:26,35443,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.64294783172981,17721.5,25026.630306535477,35418.0,25.0,0,0,0,0,0,25.0,25.0,0.0,25.0,25.0,0,0,0,0,32,64,28.214315943909938,56.428631887819876,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1550,1025,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-13.107.3.128-36376-443-6,10.42.0.151,36376,13.107.3.128,443,6,23/06/2017 06:50:26,35535,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.42380751371887,17767.5,24657.5205667561,35203.0,332.0,0,0,0,0,0,332.0,332.0,0.0,332.0,332.0,0,0,0,0,32,64,28.141269171239625,56.28253834247925,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,2093,1024,0,32,0,0,0,0,0,0,0,0,BENIGN
157.55.130.167-10.42.0.151-40019-59211-6,10.42.0.151,59211,157.55.130.167,40019,6,23/06/2017 06:50:26,46369,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.13226509090125,46369.0,0.0,46369.0,46369.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,21.566132545450625,21.566132545450625,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1401,33,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-65.52.108.74-43735-443-6,10.42.0.151,43735,65.52.108.74,443,6,23/06/2017 06:50:26,50227,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.72883110677524,25113.5,35456.45532903705,50185.0,42.0,0,0,0,0,0,42.0,42.0,0.0,42.0,42.0,0,0,0,0,32,64,19.90961036892508,39.81922073785016,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1550,514,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-104.209.188.76-49820-443-6,10.42.0.151,49820,104.209.188.76,443,6,23/06/2017 06:50:26,69858,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.62950556843883,69858.0,0.0,69858.0,69858.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,14.314752784219415,14.314752784219415,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1595,514,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-91.190.218.62-42187-12350-6,10.42.0.151,42187,91.190.218.62,12350,6,23/06/2017 06:50:26,97951,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.41837245153189,97951.0,0.0,97951.0,97951.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,10.209186225765945,10.209186225765945,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1386,9,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.206-10.42.0.151-443-39013-6,10.42.0.151,39013,172.217.6.206,443,6,23/06/2017 06:50:35,37137,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,619.3284325605191,53.85464630961036,37137.0,0.0,37137.0,37137.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.92732315480518,26.92732315480518,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1436,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.238-10.42.0.151-443-40349-6,10.42.0.151,40349,172.217.6.238,443,6,23/06/2017 06:50:36,36748,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,625.8844018722107,81.6370958963753,18374.0,25926.777238985953,36707.0,41.0,0,0,0,0,0,41.0,41.0,0.0,41.0,41.0,1,0,0,0,32,64,27.21236529879177,54.42473059758354,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1679,383,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.37-49070-443-6,31.13.71.37,443,10.42.0.151,49070,6,23/06/2017 06:50:37,39,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1076923.076923077,51282.05128205128,39.0,0.0,39.0,39.0,39.0,39.0,0.0,39.0,39.0,0,0,0,0,0,1,0,0,0,64,0,51282.05128205128,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,133,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
