Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.42-10.42.0.151-443-57804-6,10.42.0.151,57804,172.217.10.42,443,6,23/06/2017 01:13:15,36686,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.51670937142234,36686.0,0.0,36686.0,36686.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.25835468571117,27.25835468571117,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2034,350,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.36-39750-443-6,31.13.71.36,443,10.42.0.151,39750,6,23/06/2017 01:13:33,299,3,0,61.0,0.0,38.0,0.0,20.333333333333336,19.139836293274122,0,0,0,0,204013.3779264214,10033.444816053512,149.5,177.48380207782344,275.0,24.0,299.0,149.5,177.48380207782344,275.0,24.0,0,0,0,0,0,1,0,0,0,96,0,10033.444816053512,0.0,0.0,38.0,24.75,17.95132307101624,322.25,0,1,0,0,1,0,0,0,0.0,33.0,20.333333333333332,0.0,96,0,0,0,0,0,0,3,61,0,0,118,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.36-39750-443-6,10.42.0.151,39750,31.13.71.36,443,6,23/06/2017 01:13:33,259,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7722.007722007722,259.0,0.0,259.0,259.0,259.0,259.0,0.0,259.0,259.0,0,0,0,0,0,0,0,0,0,64,0,7722.007722007722,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1544,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.7-56934-443-6,31.13.71.7,443,10.42.0.151,56934,6,23/06/2017 01:13:33,57,3,0,61.0,0.0,38.0,0.0,20.333333333333336,19.139836293274122,0,0,0,0,1070175.4385964912,52631.57894736842,28.5,19.091883092036785,42.0,15.0,57.0,28.5,19.091883092036785,42.0,15.0,0,0,0,0,0,1,0,0,0,96,0,52631.57894736842,0.0,0.0,38.0,24.75,17.95132307101624,322.25,0,1,0,0,1,0,0,0,0.0,33.0,20.333333333333332,0.0,96,0,0,0,0,0,0,3,61,0,0,122,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.7-56934-443-6,10.42.0.151,56934,31.13.71.7,443,6,23/06/2017 01:13:33,507,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,5917.15976331361,253.5,222.73863607376248,411.0,96.0,507.0,253.5,222.73863607376248,411.0,96.0,0,0,0,0,0,0,0,0,0,96,0,5917.15976331361,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,0,0,3947,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-10.42.0.151-443-53198-6,10.42.0.151,53198,172.217.10.238,443,6,23/06/2017 01:13:39,37100,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,619.9460916442048,53.908355795148246,37100.0,0.0,37100.0,37100.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.954177897574123,26.954177897574123,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1403,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-10.42.0.151-443-58221-6,10.42.0.151,58221,172.217.10.238,443,6,23/06/2017 01:13:40,36641,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,627.7121257607598,54.58366310963129,36641.0,0.0,36641.0,36641.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.291831554815644,27.291831554815644,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1403,362,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.3-47610-443-6,10.42.0.151,47610,31.13.71.3,443,6,23/06/2017 01:14:30,141138,6,7,1064.0,201.0,537.0,0.0,177.33333333333331,256.4618230198535,137.0,0.0,28.714285714285715,50.07898523237828,8962.859045756635,92.10843288129348,11761.500000000002,13837.024256418981,30088.0,13.0,93880.0,18776.0,26002.462806434316,57633.0,266.0,111212.0,18535.333333333332,24076.55608816732,58379.0,13.0,0,0,0,0,200,232,42.511584406750835,49.59684847454264,0.0,537.0,90.35714285714286,180.6107617301562,32620.247252747256,0,0,0,1,0,0,0,0,1.0,97.3076923076923,177.33333333333334,28.714285714285715,200,0,0,0,0,0,0,6,1064,7,201,65535,122,3,32,0,0,0,0,0,0,0,0,BENIGN
157.240.2.15-10.42.0.151-443-45441-6,10.42.0.151,45441,157.240.2.15,443,6,23/06/2017 01:14:32,202181,6,7,1080.0,201.0,537.0,0.0,180.0,260.24373191298963,137.0,0.0,28.714285714285715,50.07898523237828,6335.906934875186,64.29882135314396,16848.416666666668,20707.487361111827,59319.0,15.0,138043.0,27608.6,40781.98613726408,94841.0,69.0,166659.0,27776.500000000004,37388.30021677905,95018.0,15.0,0,0,0,0,200,232,29.676379086066447,34.62244226707752,0.0,537.0,91.50000000000001,183.26976753493113,33587.807692307695,0,0,0,1,0,0,0,0,1.0,98.53846153846153,180.0,28.714285714285715,200,0,0,0,0,0,0,6,1080,7,201,65535,122,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.237-10.42.0.151-443-46033-6,172.217.6.237,443,10.42.0.151,46033,6,23/06/2017 01:14:46,44,2,0,55.0,0.0,55.0,0.0,27.5,38.890872965260115,0,0,0,0,1250000.0,45454.545454545456,44.0,0.0,44.0,44.0,44.0,44.0,0.0,44.0,44.0,0,0,0,0,0,1,0,0,0,64,0,45454.545454545456,0.0,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,0,1,0,0,1,0,0,0,0.0,55.0,27.5,0.0,64,0,0,0,0,0,0,2,55,0,0,349,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
