Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.151-31.13.71.3-52294-443-6,10.42.0.151,52294,31.13.71.3,443,6,23/06/2017 03:55:53,228990,6,7,1080.0,201.0,537.0,0.0,180.0,260.24373191298963,137.0,0.0,28.714285714285715,50.07898523237828,5594.130748067601,56.771038036595485,19082.500000000004,34853.3736504543,122210.0,13.0,76660.0,15332.0,17027.975554950743,35147.0,275.0,199053.0,33175.5,47540.549394175076,122210.0,13.0,0,0,0,0,200,232,26.202017555351762,30.569020481243722,0.0,537.0,91.50000000000001,183.26976753493113,33587.807692307695,0,0,0,1,0,0,0,0,1.0,98.53846153846153,180.0,28.714285714285715,200,0,0,0,0,0,0,6,1080,7,201,65535,122,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.14-10.42.0.151-443-43351-6,10.42.0.151,43351,172.217.10.14,443,6,23/06/2017 03:56:03,37114,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,619.7122379694994,80.83203103949991,18557.0,26192.649388712092,37078.0,36.0,0,0,0,0,0,36.0,36.0,0.0,36.0,36.0,1,0,0,0,32,64,26.944010346499972,53.888020692999945,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1591,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.163-10.42.0.151-443-42880-6,10.42.0.151,42880,172.217.12.163,443,6,23/06/2017 03:56:02,777790,54,204,609.0,284157.0,261.0,0.0,11.277777777777775,48.83797496561603,1418.0,0.0,1392.9264705882354,176.74208055723065,366121.9609406138,331.7090731431363,3026.420233463035,15504.308713202165,212458.0,5.0,772208.0,14569.962264150943,35423.07661895554,212458.0,8.0,740443.0,3647.5024630541852,21976.58793491685,259257.0,5.0,0,0,0,0,1736,6536,69.4274804253076,262.28159271782874,0.0,1418.0,1099.4826254826248,587.9575891464798,345694.1266349407,0,0,0,1,0,0,0,0,3.0,1103.7441860465117,11.277777777777779,1392.9264705882354,1736,0,0,0,0,0,0,54,609,204,284157,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-36.110.213.49-35191-80-6,10.42.0.151,35191,36.110.213.49,80,6,23/06/2017 03:56:02,517335,3,4,395.0,376.0,395.0,0.0,131.66666666666666,228.05335632990216,376.0,0.0,94.0,187.99999999999997,1490.3302502247093,13.5308842432853,86222.5,131625.70986057396,257022.0,15.0,260266.0,130133.0,180340.5134738171,257653.0,2613.0,262071.0,87357.0,151266.05944163416,262024.0,15.0,0,0,0,0,80,92,5.798950389979414,7.731933853305885,0.0,395.0,96.375,178.5240580025961,31870.83928571429,0,0,0,1,0,0,0,0,1.0,110.14285714285714,131.66666666666666,94.0,80,0,0,0,0,0,0,3,395,4,376,65535,123,1,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-36.110.213.49-35191-80-6,10.42.0.151,35191,36.110.213.49,80,6,23/06/2017 03:56:03,21106,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,94.7597839476926,21106.0,0.0,21106.0,21106.0,21106.0,21106.0,0.0,21106.0,21106.0,0,0,0,0,0,0,0,0,0,40,0,94.7597839476926,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1386,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
172.217.12.163-10.42.0.151-443-33155-6,10.42.0.151,33155,172.217.12.163,443,6,23/06/2017 03:56:02,470290,105,336,829.0,468612.0,517.0,0.0,7.895238095238095,56.45504062279659,1418.0,0.0,1394.6785714285709,174.01104172989497,998194.7309107147,937.7192795934424,1068.8409090909101,5217.515418805703,77291.0,1.0,455233.0,4377.240384615386,11681.115544293272,80098.0,8.0,432721.0,1291.7044776119396,6204.7068133756275,82887.0,3.0,0,0,0,0,3368,10760,223.2664951412958,714.4527844521466,0.0,1418.0,1062.0837104072402,612.5283720629764,375191.00658211997,0,0,0,1,0,0,0,0,3.0,1064.4920634920634,7.895238095238096,1394.6785714285713,3368,0,0,0,0,0,0,105,829,336,468612,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.163-10.42.0.151-443-42880-6,10.42.0.151,42880,172.217.12.163,443,6,23/06/2017 03:56:03,615491,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,50.36629292711022,4.874157380042925,307745.5,434690.3582005242,615118.0,373.0,615491.0,307745.5,434690.3582005242,615118.0,373.0,0,0,0,0,0,0,0,0,0,96,0,4.874157380042925,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,96,0,0,0,0,0,0,3,31,0,0,2848,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.163-10.42.0.151-443-33155-6,10.42.0.151,33155,172.217.12.163,443,6,23/06/2017 03:56:03,576378,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,53.784148596927714,5.204917606154295,288189.0,406173.44882205187,575397.0,981.0,576378.0,288189.0,406173.44882205187,575397.0,981.0,0,0,0,0,0,0,0,0,0,96,0,5.204917606154295,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,96,0,0,0,0,0,0,3,31,0,0,3251,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.163-10.42.0.151-443-50787-6,10.42.0.151,50787,172.217.12.163,443,6,23/06/2017 03:56:03,360342,101,114,829.0,153593.0,517.0,0.0,8.207920792079207,57.55055461621256,1418.0,0.0,1347.307017543859,302.42896122475855,428542.88425995305,596.6553995926092,1683.8411214953271,7195.9912251008445,76170.0,3.0,359430.0,3594.3,11503.205088279974,79857.0,5.0,323600.0,2863.71681415929,10489.544810419753,85134.0,4.0,0,0,0,0,3240,3656,280.2892807388536,316.3661188537556,0.0,1418.0,714.9166666666665,706.1570630351429,498657.79767441866,0,0,0,1,0,0,0,0,1.0,718.2418604651162,8.207920792079207,1347.3070175438597,3240,0,0,0,0,0,0,101,829,114,153593,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.163-10.42.0.151-443-45205-6,10.42.0.151,45205,172.217.12.163,443,6,23/06/2017 03:56:03,894406,215,849,829.0,1182550.0,517.0,0.0,3.85581395348837,39.554441970420875,1418.0,0.0,1392.8739693757364,161.75541136847608,1323089.290545904,1189.6163487275353,841.3979303857014,3892.7613936710773,76741.0,-2.0,892185.0,4169.088785046727,9883.162826351396,79541.0,5.0,857812.0,1011.5707547169804,4843.454467421647,88349.0,3.0,0,0,0,0,6888,27176,240.38300279738732,949.2333459301481,0.0,1418.0,1111.1539906103287,577.4201981981246,333414.08528716146,0,0,0,1,0,0,0,0,3.0,1112.1983082706768,3.855813953488372,1392.8739693757361,6888,0,0,0,0,0,0,215,829,849,1182550,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
