Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.151-109.236.91.212-33478-443-6,10.42.0.151,33478,109.236.91.212,443,6,23/06/2017 07:17:51,3153,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,9831.906121154456,634.3165239454488,3153.0,0.0,3153.0,3153.0,3153.0,3153.0,0.0,3153.0,3153.0,0,0,0,0,0,1,0,0,0,64,0,634.3165239454488,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1595,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.37-10.42.0.151-443-34776-6,10.42.0.151,34776,172.217.11.37,443,6,23/06/2017 07:17:51,36684,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.519681605059425,36684.0,0.0,36684.0,36684.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.259840802529713,27.259840802529713,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,3230,423,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.151-443-41543-6,10.42.0.151,41543,172.217.11.14,443,6,23/06/2017 07:17:52,70,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,442857.1428571429,28571.428571428572,70.0,0.0,70.0,70.0,70.0,70.0,0.0,70.0,70.0,0,0,0,0,0,1,0,0,0,64,0,28571.428571428572,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1635,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.151-443-41543-6,172.217.11.14,443,10.42.0.151,41543,6,23/06/2017 07:17:52,233,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8583.690987124464,233.0,0.0,233.0,233.0,233.0,233.0,0.0,233.0,233.0,0,0,0,0,0,0,0,0,0,64,0,8583.690987124464,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,357,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.42-10.42.0.151-443-40748-6,10.42.0.151,40748,172.217.10.42,443,6,23/06/2017 07:17:54,507705,11,9,1240.0,4605.0,963.0,0.0,112.72727272727272,287.03696309328905,1418.0,0.0,511.6666666666667,576.8682691915027,11512.590973104461,39.39295457007515,26721.315789473683,34917.93424119638,125038.0,6.0,471003.0,47100.3,56446.67534358817,162293.0,12.0,470450.0,58806.25,75582.00036809596,178697.0,6.0,0,0,0,0,360,296,21.66612501354133,17.726829556533815,0.0,1418.0,278.3333333333333,466.65119021956144,217763.33333333334,0,0,0,1,0,0,0,0,0.0,292.25,112.72727272727273,511.6666666666667,360,0,0,0,0,0,0,11,1240,9,4605,65535,362,4,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.42-10.42.0.151-443-41099-6,10.42.0.151,41099,172.217.10.42,443,6,23/06/2017 07:17:58,36670,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.540496318516496,36670.0,0.0,36670.0,36670.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.270248159258248,27.270248159258248,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,340,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.80.5-54609-443-6,10.42.0.151,54609,31.13.80.5,443,6,23/06/2017 07:18:01,284607,6,7,1079.0,201.0,537.0,0.0,179.83333333333331,260.0041666332804,137.0,0.0,28.714285714285715,50.07898523237828,4497.429789147843,45.67702129603278,23717.25,39836.57166502569,130788.0,13.0,131352.0,26270.4,40545.978546583385,96642.0,464.0,262168.0,43694.666666666664,59082.96145139195,130788.0,13.0,0,0,0,0,200,232,21.08170213663051,24.595319159402262,0.0,537.0,91.4285714285714,183.1017851804393,33526.26373626374,0,0,0,1,0,0,0,0,1.0,98.46153846153847,179.83333333333334,28.714285714285715,200,0,0,0,0,0,0,6,1079,7,201,65535,122,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.151-443-60753-6,10.42.0.151,60753,172.217.11.14,443,6,23/06/2017 07:18:01,37271,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,617.1017681307183,80.49153497357194,18635.5,26289.52301773465,37225.0,46.0,0,0,0,0,0,46.0,46.0,0.0,46.0,46.0,1,0,0,0,32,64,26.830511657857315,53.66102331571463,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1403,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.151-443-54941-6,10.42.0.151,54941,172.217.11.14,443,6,23/06/2017 07:18:03,36641,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,627.7121257607598,81.87549466444693,18320.5,25844.045745587126,36595.0,46.0,0,0,0,0,0,46.0,46.0,0.0,46.0,46.0,1,0,0,0,32,64,27.291831554815644,54.58366310963129,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1503,447,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.151-443-36164-6,10.42.0.151,36164,172.217.11.14,443,6,23/06/2017 07:18:07,295780,9,9,1146.0,5977.0,787.0,0.0,127.33333333333333,260.6746055909551,1418.0,0.0,664.1111111111111,695.5505812743679,24082.088038406924,60.85604165257962,17398.823529411766,22471.501661090915,65173.0,5.0,239068.0,29883.499999999996,33830.474258742346,88311.0,92.0,258609.0,32326.124999999996,49385.04120086075,140100.0,5.0,0,0,0,0,296,296,30.42802082628981,30.42802082628981,0.0,1418.0,374.8947368421052,570.5200254287353,325493.0994152047,0,0,0,1,0,0,0,0,1.0,395.72222222222223,127.33333333333333,664.1111111111111,296,0,0,0,0,0,0,9,1146,9,5977,65535,352,3,32,0,0,0,0,0,0,0,0,BENIGN
