AnotherMonitor Record,Starting date and time:,2019-07-21-16-38-53,Read interval (ms):,1000,MemTotal (kB),1550548
Total CPU usage (%),AnotherMonitor (Pid 4050) CPU usage (%),AnotherMonitor Memory (kB),,Memory used (kB),Memory available (MemFree+Cached) (kB),MemFree (kB),Cached (kB),Threshold (kB)
8.35443,6.329114,3544,,483188,1067360,336596,730764,147456
3.02267,1.2594458,3544,,484436,1066112,335240,730872,147456
2.2959185,1.0204082,3544,,483684,1066864,335992,730872,147456
1.2690356,0.7614213,3544,,483708,1066840,335968,730872,147456
1.5189873,1.0126582,3544,,484056,1066492,335620,730872,147456
1.511335,1.2594458,3544,,484560,1065988,335116,730872,147456
7.25,2.25,3544,,485304,1065244,334372,730872,147456
19.280205,5.655527,3544,,487244,1063304,318504,744800,147456
1.0362694,2.0725389,3544,,487196,1063352,318552,744800,147456
3.2745593,0.7556675,3544,,487276,1063272,318476,744796,147456
5.927835,3.6082475,3544,,487320,1063228,318428,744800,147456
9.022556,5.0125313,3544,,486848,1063700,318900,744800,147456
7.9691515,5.912596,3544,,486948,1063600,318800,744800,147456
1.2594458,1.0075567,3544,,486872,1063676,318876,744800,147456
1.7676767,0.75757575,3544,,486932,1063616,318816,744800,147456
1.5037594,1.0025063,3544,,486940,1063608,318808,744800,147456
1.0126582,0.75949365,3544,,487048,1063500,318700,744800,147456
1.7676767,1.010101,3544,,487064,1063484,318684,744800,147456
1.9900497,0.99502486,3544,,487064,1063484,318684,744800,147456
2.75,0.75,3544,,487180,1063368,318568,744800,147456
1.9950125,1.2468828,3544,,487428,1063120,318320,744800,147456
1.7766497,1.0152284,3544,,487460,1063088,318288,744800,147456
1.7456359,0.74812967,3544,,487576,1062972,318172,744800,147456
2.244389,0.99750626,3544,,487640,1062908,318048,744860,147456
1.2562814,0.75376886,3544,,487764,1062784,318048,744860,147456
2.4875622,0.99502486,3544,,487888,1062660,317800,744860,147456
1.754386,0.7518797,3544,,487888,1062660,317800,744860,147456
1.7632241,1.0075567,3544,,486532,1064016,319156,744860,147456
1.758794,0.75376886,3544,,486584,1063964,319156,744856,147456
2.7363183,0.99502486,3544,,486524,1064024,319164,744860,147456
3.7037036,1.9753087,3544,,486772,1063776,319040,744860,147456
2.2900763,1.7811705,3544,,486772,1063776,318916,744860,147456
1.4962593,0.74812967,3544,,486896,1063652,318792,744860,147456
1.7676767,0.75757575,3544,,487020,1063528,318668,744860,147456
1.5151515,0.75757575,3544,,487276,1063272,318536,744860,147456
