Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.0.163-10.42.0.151-443-47059-6,10.42.0.151,47059,172.217.0.163,443,6,14/06/2017 05:07:58,23406,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.4481756814492,23406.0,0.0,23406.0,23406.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,42.7240878407246,42.7240878407246,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,349,0,32,0,0,0,0,0,0,0,0,ADWARE_SELFMITE
172.217.12.170-10.42.0.151-443-34565-6,10.42.0.151,34565,172.217.12.170,443,6,14/06/2017 05:07:58,36447,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.87420089444947,36447.0,0.0,36447.0,36447.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.437100447224736,27.437100447224736,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2078,426,0,32,0,0,0,0,0,0,0,0,ADWARE_SELFMITE
172.217.6.234-10.42.0.151-443-57962-6,10.42.0.151,57962,172.217.6.234,443,6,14/06/2017 05:07:58,37050,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.98110661268556,37050.0,0.0,37050.0,37050.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.99055330634278,26.99055330634278,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1857,378,0,32,0,0,0,0,0,0,0,0,ADWARE_SELFMITE
172.217.12.174-10.42.0.151-443-56865-6,10.42.0.151,56865,172.217.12.174,443,6,14/06/2017 05:08:04,36406,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,631.763994945888,54.935999560512,36406.0,0.0,36406.0,36406.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.467999780256,27.467999780256,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1591,362,0,32,0,0,0,0,0,0,0,0,ADWARE_SELFMITE
172.217.0.238-10.42.0.151-443-39991-6,10.42.0.151,39991,172.217.0.238,443,6,14/06/2017 05:08:04,213,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,145539.9061032864,9389.671361502347,213.0,0.0,213.0,213.0,213.0,213.0,0.0,213.0,213.0,0,0,0,0,0,1,0,0,0,64,0,9389.671361502347,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1591,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_SELFMITE
172.217.0.238-10.42.0.151-443-39991-6,172.217.0.238,443,10.42.0.151,39991,6,14/06/2017 05:08:04,15,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,133333.33333333334,15.0,0.0,15.0,15.0,15.0,15.0,0.0,15.0,15.0,0,0,0,0,0,0,0,0,0,64,0,133333.33333333334,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,349,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_SELFMITE
172.217.6.234-10.42.0.151-443-55503-6,10.42.0.151,55503,172.217.6.234,443,6,14/06/2017 05:08:06,398258,11,9,1585.0,4574.0,1308.0,0.0,144.0909090909091,389.717193499454,1418.0,0.0,508.22222222222223,578.794172780311,15464.849419220705,50.218702449166116,20960.947368421053,25931.17689507637,94304.0,28.0,360956.0,36095.6,38013.07258825574,94304.0,28.0,360810.0,45101.25,55196.233460393705,143892.0,37.0,0,0,0,0,360,296,27.620286347041365,22.59841610212475,0.0,1418.0,293.2857142857143,497.2656375476937,247273.11428571428,0,0,0,1,0,0,0,0,0.0,307.95,144.0909090909091,508.22222222222223,360,0,0,0,0,0,0,11,1585,9,4574,65535,362,4,32,0,0,0,0,0,0,0,0,ADWARE_SELFMITE
10.42.0.151-31.13.71.37-58606-443-6,31.13.71.37,443,10.42.0.151,58606,6,14/06/2017 05:08:11,18,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,2333333.3333333335,111111.11111111111,18.0,0.0,18.0,18.0,18.0,18.0,0.0,18.0,18.0,0,0,0,0,0,1,0,0,0,64,0,111111.11111111111,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,133,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_SELFMITE
10.42.0.151-31.13.71.37-58606-443-6,31.13.71.37,443,10.42.0.151,58606,6,14/06/2017 05:08:11,12333,1,3,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,14.0,24.24871130596428,3405.4974458769157,324.33309008351574,4111.0,6864.240016199899,12036.0,32.0,0,0,0,0,0,297.0,148.5,164.75588001646557,265.0,32.0,0,0,0,0,32,108,81.08327252087894,243.24981756263682,0.0,42.0,8.4,18.782971010998235,352.8,0,0,0,0,1,1,0,0,3.0,10.5,0.0,14.0,32,0,0,0,0,0,0,1,0,3,42,133,1631,0,32,0,0,0,0,0,0,0,0,ADWARE_SELFMITE
172.217.6.234-10.42.0.151-443-34013-6,10.42.0.151,34013,172.217.6.234,443,6,14/06/2017 05:08:15,36648,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.57323728443571,36648.0,0.0,36648.0,36648.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.286618642217856,27.286618642217856,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,340,0,32,0,0,0,0,0,0,0,0,ADWARE_SELFMITE
